id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	FDR
ENSG00000055950|CD4_Memory_stim_40h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000055950|CD4_Memory_stim_40h	Wald ratio	1	-0.0172117381664541	0.119712800385885	0.885677945036992	0.981218364172694
ENSG00000055950|CD4_Naive_stim_16h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000055950|CD4_Naive_stim_16h	Wald ratio	1	-0.00395421522787049	0.0275027526958023	0.885677945036992	0.981218364172694
ENSG00000055950|CD4_Memory_stim_16h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000055950|CD4_Memory_stim_16h	Wald ratio	1	-0.00464261451057759	0.0238107818264429	0.845408990475522	0.975730504553797
ENSG00000055950|CD4_Naive_stim_40h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000055950|CD4_Naive_stim_40h	Wald ratio	1	-0.00502232341555181	0.0257582116363699	0.845408990475522	0.975730504553797
ENSG00000055950|CD4_Naive_stim_5d	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000055950|CD4_Naive_stim_5d	Wald ratio	1	0.0646481003928918	0.0470274345009385	0.169227859955942	0.806090379494455
ENSG00000120055|CD4_Naive_stim_40h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000120055|CD4_Naive_stim_40h	Wald ratio	1	-0.0359625853391776	0.0304229230360852	0.237170614587147	0.832625087268997
ENSG00000120055|CD4_Memory_stim_16h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000120055|CD4_Memory_stim_16h	Wald ratio	1	-0.00567950509001189	0.0399500485670223	0.88694954966021	0.981218364172694
ENSG00000120055|CD4_Memory_uns_0h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000120055|CD4_Memory_uns_0h	Wald ratio	1	-0.00477865458636613	0.0336134011299832	0.88694954966021	0.981218364172694
ENSG00000120055|CD4_Naive_stim_16h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000120055|CD4_Naive_stim_16h	Wald ratio	1	-0.00452999024904169	0.0318642782406546	0.88694954966021	0.981218364172694
ENSG00000120055|CD4_Naive_uns_0h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000120055|CD4_Naive_uns_0h	Wald ratio	1	-0.00467914304091321	0.0329134297397268	0.88694954966021	0.981218364172694
ENSG00000156398|CD4_Memory_stim_16h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000156398|CD4_Memory_stim_16h	Wald ratio	1	0.0110445215207098	0.0244658741795689	0.651682848183557	0.959791547252791
ENSG00000156398|CD4_Naive_stim_40h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000156398|CD4_Naive_stim_40h	Wald ratio	1	0.0111502075891893	0.0246999904379422	0.651682848183557	0.959791547252791
ENSG00000166272|CD4_Memory_stim_5d	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000166272|CD4_Memory_stim_5d	Wald ratio	1	0.0751296690047929	0.0333593927789691	0.0243140963351286	0.518746167853424
ENSG00000166275|CD4_Memory_stim_5d	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000166275|CD4_Memory_stim_5d	Wald ratio	1	0.0462197158254806	0.025028061378248	0.0647883438334568	0.659336842343922
ENSG00000166272|CD4_Naive_stim_5d	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000166272|CD4_Naive_stim_5d	Wald ratio	1	0.0609868766103676	0.0282318550792132	0.0307560300583644	0.562013991291521
ENSG00000166272|CD4_Memory_stim_16h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000166272|CD4_Memory_stim_16h	Wald ratio	1	0.0968337565947818	0.0469749013965335	0.0392655140800732	0.564235176722892
ENSG00000166275|CD4_Memory_stim_16h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000166275|CD4_Memory_stim_16h	Wald ratio	1	0.0469528592664998	0.0260796250995163	0.0718029326350853	0.659336842343922
ENSG00000166275|CD4_Memory_stim_40h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000166275|CD4_Memory_stim_40h	Wald ratio	1	0.125437271521832	0.0696732225875257	0.0718029326350853	0.659336842343922
ENSG00000166275|CD4_Memory_uns_0h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000166275|CD4_Memory_uns_0h	Wald ratio	1	0.0493377690099476	0.0274043059171908	0.0718029326350853	0.659336842343922
ENSG00000166275|CD4_Naive_stim_16h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000166275|CD4_Naive_stim_16h	Wald ratio	1	0.0488150666710033	0.0271139746945291	0.0718029326350853	0.659336842343922
ENSG00000166275|CD4_Naive_stim_40h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000166275|CD4_Naive_stim_40h	Wald ratio	1	0.0683878191442965	0.0379855180817348	0.0718029326350853	0.659336842343922
ENSG00000166275|CD4_Naive_stim_5d	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000166275|CD4_Naive_stim_5d	Wald ratio	1	0.0392890350992007	0.0218228095565622	0.0718029326350853	0.659336842343922
ENSG00000166275|CD4_Naive_uns_0h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000166275|CD4_Naive_uns_0h	Wald ratio	1	0.0508474832879686	0.0282428657619641	0.0718029326350853	0.659336842343922
ENSG00000166272|CD4_Naive_stim_16h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000166272|CD4_Naive_stim_16h	Wald ratio	1	0.112885378372454	0.0486576811666814	0.0203413686722981	0.492772225932627
ENSG00000148843|CD4_Naive_stim_40h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000148843|CD4_Naive_stim_40h	Wald ratio	1	0.0634649301814717	0.0687015053863482	0.355601980394179	0.890297452866075
