gene_id	SYMBOL	exposure	cell_type	timepoint	category	near_locus	dist_kb	MR_OR	MR_pval	MR_FDR	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	PP4_ratio
ENSG00000143799	PARP1	ENSG00000143799|CD4_Memory_stim_16h	Memory	16h	痣数目通路	PARP1	5	1.18731138477757	2.29285890874476e-06	0.00102576775429969	842	0.000134060593298878	0.00130244955921402	0.00400362763932552	0.037940142750265	0.956619719457897	0.961852328661214
ENSG00000143799	PARP1	ENSG00000143799|CD4_Naive_stim_40h	Naive	40h	痣数目通路	PARP1	14	1.21560214964367	4.94338392059226e-06	0.00196581900575552	842	7.89495026189533e-15	0.00269464760457585	2.3577727281242e-13	0.0795560526016373	0.91774929979354	0.920228992644458
ENSG00000141127	PRPSAP2	ENSG00000141127|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""		0.926997117657659	0.000498267977228048	0.120965627204142	382	3.22673336991894e-07	0.276528939446224	5.79315340908768e-08	0.0489724475983343	0.674498232350572	0.932309008567157
ENSG00000133731	IMPA1	ENSG00000133731|CD4_Naive_stim_16h	Naive	16h	潜在新位点	""		1.13760981072599	0.000925531022631604	0.165623776499926	1104	0.000616482505108162	0.33291288991192	3.15211518751914e-05	0.0163719856985626	0.650067120732534	0.975433635960774
ENSG00000163131	CTSS	ENSG00000163131|CD4_Naive_stim_5d	Naive	5d	痣数目通路	RP11-316M1.12	175	0.912832856177063	0.0384402790751832	0.568503135578847	539	2.9491756011921e-05	3.55526102400005e-05	0.169259938049961	0.203417310011775	0.627257707572012	0.755118059763658
ENSG00000181885	CLDN7	ENSG00000181885|CD4_Naive_stim_5d	Naive	5d	痣数目通路	TP53	431	0.918552861011051	0.000755814382017109	0.159121157249367	431	0.00412452104119576	0.364988132832243	0.000178560089362597	0.0151856603241641	0.615523125713035	0.975922865416895
ENSG00000159339	PADI4	ENSG00000159339|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""		1.08728594924021	0.00167634445528395	0.249984866894219	849	0.00144719840670956	0.392894286890761	0.000154881244517641	0.0414840892952251	0.564019544162787	0.931488290072991
ENSG00000170291	ELP5	ENSG00000170291|CD4_Memory_uns_0h	Memory	0h	痣数目通路	TP53	433	0.933724616703584	0.00148126934014282	0.23049838992918	433	4.79146719600564e-08	0.432080815516327	2.09369375124978e-09	0.0183307433836013	0.549588391091707	0.967722969220721
ENSG00000109861	CTSC	ENSG00000109861|CD4_Memory_uns_0h	Memory	0h	色素/发色通路	TYR	949	0.86763692678436	0.00212666824543283	0.27415953475924	1391	0.00249889847087089	0.0245555058236241	0.0464098193125553	0.455576616076155	0.470959160316795	0.508301106461601
ENSG00000141127	PRPSAP2	ENSG00000141127|CD4_Memory_stim_5d	Memory	5d	潜在新位点	""		0.919736747960135	0.00316991400721091	0.27415953475924	382	4.52941383723846e-06	0.458284202633857	8.13193598733139e-07	0.0818186973435509	0.459891757415155	0.848962307031724
ENSG00000100219	XBP1	ENSG00000100219|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""		1.13818033762863	0.0010863064407879	0.176722306889996	696	0.0837186065495879	0.432818779402318	0.00483197890994151	0.0245268568479461	0.454103778290207	0.9487561910013
ENSG00000164548	TRA2A	ENSG00000164548|CD4_Memory_stim_16h	Memory	16h	潜在新位点	""		0.892421664068069	0.00402315863735457	0.278742876356138	766	0.00162056297612423	0.510688926488019	0.000155542901829326	0.0485773649521043	0.438957602681924	0.900361270109821
ENSG00000120071	KANSL1	ENSG00000120071|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""		0.887343590983206	0.000503744293699243	0.120965627204142	1281	4.43405241350682e-06	0.0733156431841241	3.00546522788225e-05	0.496513958793969	0.430135909317214	0.464183856405195
ENSG00000120071	KANSL1	ENSG00000120071|CD4_Memory_stim_5d	Memory	5d	潜在新位点	""		0.860332576668255	0.000503744293699244	0.120965627204142	1281	5.49629839768429e-06	0.0733179164311247	3.72547100841338e-05	0.496529393162747	0.430109939397647	0.46416110808637
ENSG00000120071	KANSL1	ENSG00000120071|CD4_Memory_uns_0h	Memory	0h	潜在新位点	""		0.853459960352134	0.000506980834887434	0.120965627204142	1281	9.94021116661883e-06	0.073316336621985	6.73761972864279e-05	0.496518707286298	0.430087639683264	0.464153565416266
ENSG00000135968	GCC2	ENSG00000135968|CD4_Memory_uns_0h	Memory	0h	潜在新位点	""		0.925029837619289	0.0026614115377621	0.27415953475924	920	9.52371391990148e-27	0.485913714596263	1.73647065005502e-27	0.0881713393343654	0.425914946069368	0.828489220899716
ENSG00000135968	GCC2	ENSG00000135968|CD4_Naive_uns_0h	Naive	0h	潜在新位点	""		0.909954169618657	0.0026614115377621	0.27415953475924	920	1.48101296495615e-14	0.486057535610728	2.70034943051285e-15	0.0881977326137965	0.425744731775459	0.828389870997318
ENSG00000214401	KANSL1-AS1	ENSG00000214401|CD4_Naive_stim_16h	Naive	16h	潜在新位点	""		0.909699935099852	0.000734667839251938	0.159121157249367	1433	2.61385364102911e-17	0.0704573440932914	1.94995104561929e-16	0.525211830805822	0.404330825100888	0.434978236374197
ENSG00000170291	ELP5	ENSG00000170291|CD4_Naive_uns_0h	Naive	0h	痣数目通路	TP53	395	0.93753182114421	0.0054192602187184	0.296478543832834	433	1.95504844929378e-06	0.592744220433339	8.54283782864936e-08	0.0255189929358651	0.381734746153968	0.93733883697938
ENSG00000174837	ADGRE1	ENSG00000174837|CD4_Naive_stim_16h	Naive	16h	潜在新位点	""		0.945411535363269	0.00327490629346148	0.27415953475924	517	5.23606601851072e-20	0.608986867536611	1.36920066903682e-21	0.01554918680393	0.375463945659457	0.960233594442289
ENSG00000174837	ADGRE1	ENSG00000174837|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""		0.948807495324367	0.00327490629346148	0.27415953475924	517	1.94001621555206e-15	0.609286924903699	5.07302904677982e-17	0.0155573413406569	0.375155733755642	0.960182183980348
ENSG00000174837	ADGRE1	ENSG00000174837|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""		0.938938102724489	0.00327490629346148	0.27415953475924	517	2.08028315877978e-16	0.610201885484169	5.43981890739692e-18	0.0155822068513077	0.374215907664526	0.960024930159905
ENSG00000100219	XBP1	ENSG00000100219|CD4_Memory_stim_5d	Memory	5d	潜在新位点	""		1.13730569249031	0.0010863064407879	0.176722306889996	696	0.00341606178971278	0.592249864798168	0.000197164515789835	0.0338125051255932	0.370324403770736	0.91633403338999
ENSG00000099817	POLR2E	ENSG00000099817|CD4_Memory_uns_0h	Memory	0h	潜在新位点	""		0.910765431725684	0.00477910664924047	0.286059818717022	532	0.00701095918249273	0.618803400177295	0.000112620418664333	0.00957564007963736	0.364497380141911	0.974401682126217
ENSG00000149489	ROM1	ENSG00000149489|CD4_Naive_stim_40h	Naive	40h	色素/发色通路	AHNAK	174	1.10589555238484	0.00265916689208142	0.27415953475924	305	0.0250610017100611	0.591883339682775	0.000807054178348778	0.0186972159308802	0.363551388497935	0.951086241481983
ENSG00000170291	ELP5	ENSG00000170291|CD4_Memory_stim_5d	Memory	5d	痣数目通路	TP53	426	0.951117216201995	0.00408307819922474	0.278742876356138	433	2.51771959688392e-113	0.611054141781436	1.10015024036675e-114	0.0263381957864497	0.362607662432138	0.932283130852501
ENSG00000170291	ELP5	ENSG00000170291|CD4_Naive_stim_40h	Naive	40h	痣数目通路	TP53	426	0.953747416808661	0.00408307819922474	0.278742876356138	433	1.62063051882411e-168	0.611054141781436	7.08155529724878e-170	0.0263381957864504	0.362607662432138	0.932283130852499
ENSG00000170291	ELP5	ENSG00000170291|CD4_Memory_stim_40h	Memory	40h	痣数目通路	TP53	426	0.92607129879564	0.00408307819922474	0.278742876356138	433	3.22617205895699e-104	0.611054141781419	1.40971773446051e-105	0.0263381957864474	0.362607662432128	0.932283130852505
ENSG00000170291	ELP5	ENSG00000170291|CD4_Naive_stim_5d	Naive	5d	痣数目通路	TP53	426	0.956345622048811	0.00408307819922474	0.278742876356138	433	1.59930042196413e-108	0.611054141781436	6.98835067185445e-110	0.0263381957864489	0.362607662432128	0.932283130852501
ENSG00000170291	ELP5	ENSG00000170291|CD4_Naive_stim_16h	Naive	16h	痣数目通路	TP53	426	0.934728907342269	0.00408307819922474	0.278742876356138	433	5.26158153753745e-78	0.611323228505335	2.29911631160011e-79	0.0263502350058802	0.362326536488789	0.932205274566449
ENSG00000159479	MED8	ENSG00000159479|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""		0.921454746186793	0.010662909560902	0.353356975171003	614	0.000218649955057808	0.584315794703257	2.00761567287103e-05	0.0532889657583433	0.362156513426613	0.871730543649462
ENSG00000260349	""	ENSG00000260349|CD4_Memory_stim_5d	Memory	5d	潜在新位点	""		1.05906817413111	0.0032938977353024	0.27415953475924	853	2.14489627310763e-05	0.610514800017983	1.11943914003423e-06	0.0315053160408038	0.357957315539342	0.919105676678199
ENSG00000260349	""	ENSG00000260349|CD4_Naive_uns_0h	Naive	0h	潜在新位点	""		1.08158316635773	0.00329389773530241	0.27415953475924	853	0.00476132156333271	0.607928569897186	0.000248497318173863	0.0313726068587258	0.355689004362582	0.918946736257996
ENSG00000170291	ELP5	ENSG00000170291|CD4_Memory_stim_16h	Memory	16h	痣数目通路	TP53	434	0.947178401191202	0.00646739041207995	0.296478543832834	433	1.03896932118105e-75	0.618591534378347	4.5399112349353e-77	0.0266754265576374	0.354733039064006	0.930060738127141
ENSG00000168765	GSTM4	ENSG00000168765|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""		0.955788333476553	0.00420567625684031	0.278742876356138	568	1.81810381654091e-19	0.64330203424177	3.43851568320247e-21	0.0118216683941537	0.344876297364079	0.96685804369805
ENSG00000174837	ADGRE1	ENSG00000174837|CD4_Memory_stim_40h	Memory	40h	潜在新位点	""		0.921331868119078	0.00327490629346148	0.27415953475924	517	7.91150059535234e-07	0.643768367303647	2.06881117807653e-08	0.0164944302547515	0.339736390603429	0.953697352140908
ENSG00000260349	""	ENSG00000260349|CD4_Memory_stim_16h	Memory	16h	潜在新位点	""		1.05215889006248	0.00565831051924655	0.296478543832834	853	3.48143502413575e-07	0.644655874750075	1.81698979030675e-08	0.0333231036846152	0.32202065525191	0.906222909938408
ENSG00000260349	""	ENSG00000260349|CD4_Memory_uns_0h	Memory	0h	潜在新位点	""		1.07799195354562	0.0032938977353024	0.27415953475924	853	0.00525487994292498	0.646906887971632	0.000274256539024527	0.0334484911009053	0.314115484445513	0.903763066789877
ENSG00000168765	GSTM4	ENSG00000168765|CD4_Naive_stim_16h	Naive	16h	潜在新位点	""		0.946308362563177	0.00420567625684031	0.278742876356138	568	4.75806665362623e-08	0.675095179220429	8.99876380070755e-10	0.0124553878550176	0.312449384444012	0.961664497055912
ENSG00000260349	""	ENSG00000260349|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""		1.07076400910027	0.00329389773530241	0.27415953475924	853	0.0765946456131828	0.579213114503694	0.00399753802976305	0.0299193370843746	0.310275364768986	0.912052313215415
ENSG00000174837	ADGRE1	ENSG00000174837|CD4_Memory_stim_16h	Memory	16h	潜在新位点	""		0.933102538372098	0.00327490629346148	0.27415953475924	517	2.6613621340548e-09	0.675216460425883	6.95930647477501e-11	0.017349081449705	0.307434455393459	0.946582632794954
ENSG00000159479	MED8	ENSG00000159479|CD4_Memory_stim_16h	Memory	16h	潜在新位点	""		0.869894654045559	0.010662909560902	0.353356975171003	614	0.0138961984298256	0.623873778270061	0.00127593100824868	0.0569793104956736	0.303974781796192	0.842142500355418
ENSG00000149485	FADS1	ENSG00000149485|CD4_Memory_uns_0h	Memory	0h	色素/发色通路	AHNAK	657	1.07514835558453	0.00661706218400664	0.296478543832834	638	7.71204396524735e-07	0.689462596374997	9.7982013426354e-09	0.00845758749159096	0.302079035130813	0.972764605281758
ENSG00000168765	GSTM4	ENSG00000168765|CD4_Naive_uns_0h	Naive	0h	潜在新位点	""		0.95032894885832	0.0042056762568403	0.278742876356138	568	1.14468690747602e-10	0.685903887911339	2.16490601246383e-12	0.0126708332595261	0.301425278712502	0.959659375660612
ENSG00000158525	CPA5	ENSG00000158525|CD4_Memory_stim_5d	Memory	5d	黑色素瘤已知位点	MKLN1	690	0.956010742954475	0.00682865244197134	0.296478543832834	605	4.27876956505637e-25	0.68143970166689	1.17993942525707e-26	0.0184917256033042	0.300068572729808	0.941952196491329
ENSG00000158525	CPA5	ENSG00000158525|CD4_Naive_uns_0h	Naive	0h	黑色素瘤已知位点	MKLN1	690	0.94977075638471	0.00682865244197134	0.296478543832834	605	3.65171195837442e-15	0.681503663392927	1.00701821957358e-16	0.0184935552419879	0.300002781365081	0.941934794481471
ENSG00000158525	CPA5	ENSG00000158525|CD4_Naive_stim_16h	Naive	16h	黑色素瘤已知位点	MKLN1	690	0.948382174905567	0.00682865244197133	0.296478543832834	605	3.01634986944705e-13	0.681725592336353	8.31806919539656e-15	0.0184999035662921	0.299774504097046	0.941874360234893
ENSG00000158525	CPA5	ENSG00000158525|CD4_Naive_stim_40h	Naive	40h	黑色素瘤已知位点	MKLN1	690	0.949190764054779	0.00682865244197134	0.296478543832834	605	2.10919025406531e-17	0.681968782561667	5.81643086476159e-19	0.018506860074055	0.299524357364281	0.941808039402159
ENSG00000158525	CPA5	ENSG00000158525|CD4_Memory_stim_40h	Memory	40h	黑色素瘤已知位点	MKLN1	690	0.951334027123884	0.00682865244197134	0.296478543832834	605	1.60950243848406e-15	0.681968961400545	4.43846146266986e-17	0.0185068651897791	0.299524173409675	0.941807990593372
ENSG00000158525	CPA5	ENSG00000158525|CD4_Naive_stim_5d	Naive	5d	黑色素瘤已知位点	MKLN1	690	0.950824958427238	0.00682865244197134	0.296478543832834	605	3.21639794630849e-13	0.681971113211513	8.86973389536871e-15	0.0185069267427866	0.299521960045369	0.941807403315805
ENSG00000158525	CPA5	ENSG00000158525|CD4_Memory_stim_16h	Memory	16h	黑色素瘤已知位点	MKLN1	690	0.947859798738491	0.0059898113868113	0.296478543832834	605	5.07367419037334e-12	0.682675395367859	1.39914714197792e-13	0.0185270728826368	0.298797531744291	0.941614760997123
ENSG00000158525	CPA5	ENSG00000158525|CD4_Memory_uns_0h	Memory	0h	黑色素瘤已知位点	MKLN1	690	0.951303776999923	0.0059898113868113	0.296478543832834	605	2.81977982055077e-21	0.682946290806589	7.77599571611498e-23	0.0185348219038767	0.298518887289532	0.94154043505427
ENSG00000263715	CRHR1	ENSG00000263715|CD4_Naive_uns_0h	Naive	0h	潜在新位点	""		0.877658052536927	0.00049977902621971	0.120965627204142	2312	0.000139496076530085	0.0559062980823153	0.00161352208043117	0.646360532596908	0.295980151163815	0.314090388183824
ENSG00000164548	TRA2A	ENSG00000164548|CD4_Naive_stim_16h	Naive	16h	潜在新位点	""		0.872256075409763	0.00402315863735457	0.278742876356138	766	0.0509160302699674	0.592296698500148	0.0048869604048102	0.0565537537778106	0.295346557047264	0.839290412545493
ENSG00000168765	GSTM4	ENSG00000168765|CD4_Memory_stim_16h	Memory	16h	潜在新位点	""		0.946716734178305	0.00420567625684031	0.278742876356138	568	8.25443868728494e-07	0.691917045107702	1.56113290253489e-08	0.0127906918394231	0.295291421997678	0.958482848354558
ENSG00000187193	MT1X	ENSG00000187193|CD4_Memory_uns_0h	Memory	0h	潜在新位点	""		1.05996314483427	0.00445379182451536	0.28167121790163	757	5.3815468378272e-07	0.541946169372833	1.65860658439819e-07	0.166737888817982	0.291315237793842	0.63598569875218
ENSG00000183527	PSMG1	ENSG00000183527|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""		0.794074467529531	0.00815736980633783	0.320826665240473	1290	0.00669527369299838	0.671063938059041	0.000457066753380161	0.0455353239957112	0.276248397498869	0.858490902572031
ENSG00000125148	MT2A	ENSG00000125148|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""		0.878588460643713	0.00456466349211918	0.28167121790163	645	0.00843497509500397	0.544906238569206	0.00265199323688542	0.171047957129524	0.27295883596938	0.614762747354133
ENSG00000244459	""	ENSG00000244459|CD4_Naive_uns_0h	Naive	0h	潜在新位点	""		0.937226487605973	0.00609654200859334	0.296478543832834	735	0.00276180493464079	0.709772722211129	5.76620823566568e-05	0.0145460607050666	0.272861750066807	0.949388777340459
ENSG00000168765	GSTM4	ENSG00000168765|CD4_Memory_stim_40h	Memory	40h	潜在新位点	""		0.95484251742837	0.00720693861789789	0.296478543832834	568	1.00349359821718e-18	0.716724967368484	1.89787208192983e-20	0.0132851768977698	0.269989855733749	0.953101490186567
ENSG00000159479	MED8	ENSG00000159479|CD4_Memory_stim_40h	Memory	40h	潜在新位点	""		0.732523605655864	0.00834580139375219	0.324166510419185	614	0.00224740110788171	0.67134352682758	0.000206353469691687	0.0613770706874116	0.264825647907435	0.811843779378051
ENSG00000168765	GSTM4	ENSG00000168765|CD4_Memory_uns_0h	Memory	0h	潜在新位点	""		0.957054646313818	0.00720693861789789	0.296478543832834	568	5.29448095055097e-22	0.721874378532222	1.0013265258704e-23	0.0133878179488123	0.264737803518965	0.951864132911741
ENSG00000168765	GSTM4	ENSG00000168765|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""		0.961844172077319	0.00720693861789789	0.296478543832834	568	9.17788070530941e-23	0.721924436173499	1.73578023744596e-24	0.0133888157267621	0.264686748099737	0.951851879602352
ENSG00000185262	UBALD2	ENSG00000185262|CD4_Memory_stim_16h	Memory	16h	潜在新位点	""		0.904025071908402	0.00479563820145887	0.286059818717022	538	0.0764114249484517	0.630814243421689	0.00327768608664093	0.0267962252614869	0.262700420281732	0.907438563886619
ENSG00000168765	GSTM4	ENSG00000168765|CD4_Memory_stim_5d	Memory	5d	潜在新位点	""		0.955762390399241	0.00720693861789789	0.296478543832834	568	3.24249933226937e-08	0.726774805623612	6.13242473028544e-10	0.0134854961379336	0.259739665200219	0.950643286028685
ENSG00000139428	MMAB	ENSG00000139428|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""		1.10257602614467	0.00446516690392714	0.28167121790163	1220	0.0155374137357705	0.684965613072349	0.000892685001177448	0.0390944353732334	0.25950985281747	0.869076108685131
ENSG00000235750	KIAA0040	ENSG00000235750|CD4_Memory_stim_40h	Memory	40h	潜在新位点	""		0.905337125959123	0.0068443307611447	0.296478543832834	759	4.68748262440424e-25	0.72392295552918	1.19889096254857e-26	0.0182575491686124	0.257819495302204	0.933867920081481
ENSG00000100612	DHRS7	ENSG00000100612|CD4_Naive_uns_0h	Naive	0h	潜在新位点	""		1.10417672979889	0.0100079996281516	0.339433865702224	786	0.0134696444902553	0.507847598901604	0.00578356348396005	0.217803281988075	0.255095911136106	0.539429787246684
ENSG00000244459	""	ENSG00000244459|CD4_Memory_uns_0h	Memory	0h	潜在新位点	""		0.941607701539104	0.00609654200859335	0.296478543832834	735	0.0115126521139381	0.719595683005268	0.000240365815127266	0.0147701290402906	0.253881170025376	0.945021188836015
ENSG00000072778	ACADVL	ENSG00000072778|CD4_Memory_stim_5d	Memory	5d	痣数目通路	TP53	438	1.14729017175305	0.0178105480035314	0.448793457419274	404	0.047301833553997	0.681598659296371	0.00220331021556258	0.0315113482575595	0.23738484867651	0.882812220414981
ENSG00000083642	PDS5B	ENSG00000083642|CD4_Naive_stim_16h	Naive	16h	潜在新位点	""		1.08590547205375	0.00736620613124541	0.299586951633265	688	6.59048155653675e-11	0.723741924689439	5.2326046698518e-12	0.0572434840503751	0.219014591189047	0.792789825235826
ENSG00000054282	SDCCAG8	ENSG00000054282|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""		1.05756324071395	0.0171349799610129	0.448793457419274	215	0.000348723210134461	0.761589365837983	9.05207623788601e-06	0.0195506579845479	0.218502200891097	0.917872618388671
