gene	SYMBOL	profile	cell	time	category	near	MR_OR	MR_p	PP_H4	PP_H3	ratio	b_SMR	p_SMR	p_HEIDI	nsnp_HEIDI
ENSG00000090621	PABPC4	CD4_Memory_stim_16h	Memory	16h	潜在新位点		0.903989953359779	0.0411374988420649	0.0886987918584856	0.0318491538092495	0.7357967932773	-0.100937	5.253636e-02	6.360755e-01	16
ENSG00000164008	C1orf50	CD4_Memory_stim_16h	Memory	16h	潜在新位点		1.06098205954498	0.00895468054217619	0.173404227335514	0.11928121227804	0.592459356927587	0.059195	1.581317e-02	9.721523e-01	20
ENSG00000159479	MED8	CD4_Memory_stim_16h	Memory	16h	潜在新位点		0.869894654045559	0.010662909560902	0.303974781796192	0.0569793104956736	0.842142500355418	-0.0355594	5.173823e-01	6.575910e-02	10
ENSG00000168765	GSTM4	CD4_Memory_stim_16h	Memory	16h	潜在新位点		0.946716734178305	0.00420567625684031	0.295291421997678	0.0127906918394231	0.958482848354558	-0.0524521	1.043355e-02	7.697119e-01	10
ENSG00000198734	F5	CD4_Memory_stim_16h	Memory	16h	潜在新位点		1.1322618421122	0.00635131064181999	0.164701610405869	0.137260264507554	0.545438428123058	0.114901	1.716131e-02	5.141486e-03	10
ENSG00000235750	KIAA0040	CD4_Memory_stim_16h	Memory	16h	潜在新位点		0.915884946113152	0.0341374180240467	0.0842180936237155	0.0227502288412895	0.787318074014554	-0.0873413	4.547404e-02	3.199004e-01	18
ENSG00000143799	PARP1	CD4_Memory_stim_16h	Memory	16h	痣数目通路	PARP1	1.18731138477757	2.29285890874476e-06	0.956619719457897	0.037940142750265	0.961852328661214	0.173931	2.973817e-04	8.508988e-02	12
ENSG00000151725	CENPU	CD4_Memory_stim_16h	Memory	16h	潜在新位点		0.936663051136496	0.0481777304489995	0.0425465946874749	0.0569351033015785	0.427682634570195	-0.0654317	5.579529e-02	9.817276e-01	20
ENSG00000124570	SERPINB6	CD4_Memory_stim_16h	Memory	16h	潜在新位点		0.945911624463438	0.0370518767212614	0.207482520316894	0.0521052699471116	0.799276884732832	-0.0739005	1.407269e-02	4.798302e-01	3
ENSG00000196126	HLA-DRB1	CD4_Memory_stim_16h	Memory	16h	黑色素瘤已知位点	HLA-DQB2	1.04679230138087	0.044238546188531	0.0600277206481396	0.202300975298358	0.228826360118766	0.0457305	5.091063e-02	1.397656e-01	20
ENSG00000008018	PSMB1	CD4_Memory_stim_16h	Memory	16h	潜在新位点		1.17804153662382	0.0254142009350347	0.105123962430094	0.0153459819853667	0.872615679704778	0.167903	2.764867e-02	9.825872e-01	20
ENSG00000164548	TRA2A	CD4_Memory_stim_16h	Memory	16h	潜在新位点		0.892421664068069	0.00402315863735457	0.438957602681924	0.0485773649521043	0.900361270109821	-0.114193	8.190307e-03	1.418371e-01	10
