round	unit	genes
meta	record	CDK10,CHMP1A,KANSL1,KIAA0040,MDM4,PARP1,SMC2,SPATA33,VPS9D1-AS1,ZFYVE19
meta	snp	CDK10,CHMP1A,CRHR1,KANSL1,KIAA0040,MDM4,PARP1,SMC2,SPATA33,VPS9D1-AS1,ZFYVE19
meta	snp_simes	CDK10,CHMP1A,CRHR1,KANSL1,KIAA0040,MDM4,PARP1,SMC2,SPATA33,VPS9D1-AS1,ZFYVE19
meta	gene	CDK10,CHMP1A,CRHR1,FUBP1,HLA-DRB1,KANSL1,KIAA0040,MDM4,PARP1,SMC2,SPATA33,VPS9D1-AS1,ZFYVE19
meta	gene_simes	CDK10,CHMP1A,CRHR1,FUBP1,HLA-DRB1,KANSL1,KIAA0040,MDM4,PARP1,SMC2,SPATA33,VPS9D1-AS1,ZFYVE19
meta	locus	ADAL,AIF1,ARL17A,ASB16-AS1,BAK1,BMF,CDK10,CHMP1A,CPNE7,CRHR1,CTU2,DCAKD,ENSG00000272221,ENSG00000272501,FUBP1,HAUS2,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,IVD,KANSL1,KANSL1-AS1,KIAA0040,KLHDC4,LAX1,MDM4,MICB,NDUFAF1,NEXN,PARP1,POLR1H,PSMB9,RNF5,RPS10,RPS18,SLC25A39,SMC2,SPATA33,TAP2,TAPBP,TRAPPC2L,UQCC2,VARS2,VPS9D1-AS1,ZFP57,ZFYVE19
meta	locus_simes	ADAL,ARL17A,ASB16-AS1,BMF,CDK10,CHMP1A,CPNE7,CRHR1,CTU2,DCAKD,FUBP1,HAUS2,IVD,KANSL1,KANSL1-AS1,KIAA0040,KLHDC4,LAX1,MDM4,NDUFAF1,NEXN,PARP1,SLC25A39,SMC2,SPATA33,TRAPPC2L,VPS9D1-AS1,ZFYVE19
meta	hierarchical	CDK10,CHMP1A,CRHR1,FUBP1,HLA-DRB1,KANSL1,KIAA0040,MDM4,PARP1,SMC2,SPATA33,VPS9D1-AS1,ZFYVE19
finngen_R12	record	CDK10,CHMP1A,CTU2,PARP1,SPATA33,VPS9D1-AS1
finngen_R12	snp	CDK10,CHMP1A,CTU2,PARP1,SPATA33,VPS9D1-AS1
finngen_R12	snp_simes	CDK10,CHMP1A,CTU2,PARP1,SPATA33,VPS9D1-AS1
finngen_R12	gene	CDK10,CHMP1A,CTU2,PARP1,SPATA33,VPS9D1-AS1
finngen_R12	gene_simes	CDK10,CHMP1A,CTU2,PARP1,SPATA33,VPS9D1-AS1
finngen_R12	locus	CDK10,CHMP1A,CPNE7,CTU2,KLHDC4,PARP1,SPATA33,TRAPPC2L,VPS9D1-AS1
finngen_R12	locus_simes	CDK10,CHMP1A,CPNE7,CTU2,KLHDC4,PARP1,SPATA33,TRAPPC2L,VPS9D1-AS1
finngen_R12	hierarchical	CDK10,CHMP1A,CTU2,PARP1,SPATA33,VPS9D1-AS1
