row	pmid	pmc	journal	year	criterion	evidence	coder2	coder2_note
1	39614330	PMC11606077	Breast cancer research : BCR	2024	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
2	38783236	PMC11118997	Respiratory research	2024	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
3	41216857	PMC12697907	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	2025	C3_power_stability	Cancers For cancer‐type enrichment, more gene‐cancer pairs were observed for breast cancer and prostate cancer due to the greater power of the outcome GWAS data (Figure 4A ). Balancing out the influence of sample size (number of cases), we found that genes expressed in CD4+ T cel ||| 1) the sample size of a single‐cell eQTL study was usually 10–100 times smaller than that of a bulk eQTL study, which limited the statistical power of identifying many eQTLs with good instrument strength; 2) given insufficient number of cells and RNA for each cell‐type, the se ||| e Global Biobank Meta‐analysis Initiative (GBMI) [ 43 ] on the basis that we had full GWAS summary statistics and relatively good statistical power (more than 1000 cases; Table S2 , Supporting Information). 2.1.2 Summary of Dynamic and Non‐Dynamic eQTL MR Analyses We undertook ||| eclinical and clinical investigations are warranted for these targets to better understand these features. Third, given different statistical power and potential winner's curse in the eQTL datasets, the instrument strength of the eQTLs, indexed by F‐statistics, ranged from 10	1	Reports more gene-cancer pairs for outcomes with greater GWAS power.
4	40463915	PMC12130657	Clinical Medicine Insights. Oncology	2025	C3_power_stability	ons remains to be investigated. Second, although the F statistics of genetic variation indicate that no weak tools were used, the statistical power of some outcomes is modest. This modest strength may be due to insufficient sample size or genetic variation, so “false negatives	0	Generic modest outcome power/false-negative limitation; no candidate-list comparison across outcome GWAS.
5	42292469	PMC13254516	Frontiers in immunology	2026	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
6	41415264	PMC12709030	Cancer informatics	2025	C1_known_locus	Using TwoSampleMR, we established robust associations between eQTL-regulated genes (eg, CTSC, SMYD3, MFGE8) and susceptibility to PDAC.	0	Own gene associations only; no comparison with previously reported loci.
7	38783236	PMC11118997	Respiratory research	2024	C1_known_locus	40 3 740 52 10.1093/ije/dyq151 20813862 PMC3147064 14. Allen RJ Genome-wide association study across five cohorts identifies five novel loci associated with idiopathic pulmonary fibrosis Thorax 2022 77 8 829 33 10.1136/thoraxjnl-2021-218577 35688625 PMC9329250 15. Alle	0	The match is a cited paper title/reference entry, which the rules explicitly exclude.
8	41104896	PMC12572761	Molecular medicine reports	2026	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
9	40116326	PMC11927037	Journal of global health	2025	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
10	41165397	PMC12584030	Translational vision science &amp; technology	2025	C3_power_stability	el, cell-type-specific perspective, the sample size for the single-cell eQTL dataset ( n = 982) is modest. This may constrain the statistical power to detect anything but the strongest genetic effects and could increase the false negative rate. Therefore, our results, particul	0	Single-cell eQTL sample-size power, not outcome-GWAS candidate-list stability.
11	42033474	PMC13247016	Cellular and molecular neurobiology	2026	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
12	41528614	PMC12886693	Discover oncology	2026	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
13	42232515	PMC13225775	Frontiers in genetics	2026	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
14	41029778	PMC12487246	Hereditas	2025	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
15	40638267	PMC12626534	International journal of surgery (London, England)	2025	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
16	40116326	PMC11927037	Journal of global health	2025	C1_known_locus	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
17	41143248	PMC12549628	Frontiers in aging neuroscience	2025	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
18	39354406	PMC11443760	BMC cardiovascular disorders	2024	C3_power_stability	ts for DNAJC30 and ABO . Moreover, to identify the performance of the results in other datasets the above results was repeated in another GWAS outcome dataset (shown in Table 3 ). The result indicated that the most of the proteins are still meaningful in new datasets exce	1	Repeats the analysis in another outcome GWAS and compares which proteins/genes remain significant.
19	41499168	PMC13138598	European thyroid journal	2026	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
20	42292469	PMC13254516	Frontiers in immunology	2026	C3_power_stability	(none found)	0	No matched passage; "(none found)" normally codes 0 under the supplied rules.
