pmc	title	doi	url	passage_count
PMC10844634	Brain tissue- and cell type-specific eQTL Mendelian randomization reveals efficacy of FADS1 and FADS2 on cognitive function	10.1038/s41398-024-02784-4	https://pmc.ncbi.nlm.nih.gov/articles/PMC10844634/	157
PMC11118997	Identifying potential drug targets for idiopathic pulmonary fibrosis: a mendelian randomization study based on the druggable genes	10.1186/s12931-024-02848-5	https://pmc.ncbi.nlm.nih.gov/articles/PMC11118997/	123
PMC11284051	Integrated analyses of single-cell transcriptome and Mendelian randomization reveal the protective role of FCRL3 in multiple sclerosis	10.3389/fimmu.2024.1428962	https://pmc.ncbi.nlm.nih.gov/articles/PMC11284051/	106
PMC11310057	Integrating Mendelian randomization and single-cell RNA sequencing to identify therapeutic targets of baicalin for type 2 diabetes mellitus	10.3389/fphar.2024.1403943	https://pmc.ncbi.nlm.nih.gov/articles/PMC11310057/	175
PMC11443760	Exploration of protein and genetic targets causing atrioventricular block: mendelian-randomization analyses based on eQTL data and pQTL data	10.1186/s12872-024-04209-y	https://pmc.ncbi.nlm.nih.gov/articles/PMC11443760/	175
PMC11606077	Uncovering immune cell-associated genes in breast cancer: based on summary data-based Mendelian randomized analysis and colocalization study	10.1186/s13058-024-01928-0	https://pmc.ncbi.nlm.nih.gov/articles/PMC11606077/	201
PMC11720623	Association of antihypertensive drug target genes with alzheimer’s disease: a mendelian randomization study	10.1186/s13195-025-01671-4	https://pmc.ncbi.nlm.nih.gov/articles/PMC11720623/	112
PMC11725218	Possible linking and treatment between Parkinson’s disease and inflammatory bowel disease: a study of Mendelian randomization based on gut–brain axis	10.1186/s12967-024-06045-2	https://pmc.ncbi.nlm.nih.gov/articles/PMC11725218/	249
PMC11746978	Brain gliomas new transcriptomic discoveries from differentially expressed genes to therapeutic targets	10.1038/s41598-025-86316-0	https://pmc.ncbi.nlm.nih.gov/articles/PMC11746978/	135
PMC11867302	Single-cell transcriptome-wide Mendelian randomization and colocalization reveals immune-mediated regulatory mechanisms and drug targets for COVID-19	10.1016/j.ebiom.2025.105596	https://pmc.ncbi.nlm.nih.gov/articles/PMC11867302/	197
PMC11909985	Genetically proxied therapeutic inhibition of antihypertensive drug targets and risk of pancreatic cancer: a mendelian randomization analysis	10.1186/s12885-025-13824-7	https://pmc.ncbi.nlm.nih.gov/articles/PMC11909985/	126
PMC11914663	Genetic association of lipids and lipid-lowering drug target genes with breast cancer	10.1007/s12672-025-02041-0	https://pmc.ncbi.nlm.nih.gov/articles/PMC11914663/	186
PMC11927037	Identifying potential drug targets for sepsis-related adult respiratory distress syndrome through comprehensive genetic analysis and druggability assessment	10.7189/jogh.15.04117	https://pmc.ncbi.nlm.nih.gov/articles/PMC11927037/	118
PMC11937463	DNA methylation-regulated HLA-C expression modulates immune responses and metabolic alterations to influence prognosis in mesothelioma	10.1007/s00262-025-04012-4	https://pmc.ncbi.nlm.nih.gov/articles/PMC11937463/	185
PMC11976564	Association of intestinal anti-inflammatory drug target genes with psychiatric Disorders: A Mendelian randomization study	10.1016/j.jare.2024.05.002	https://pmc.ncbi.nlm.nih.gov/articles/PMC11976564/	126
PMC12000963	Single cell RNA-seq and bulk RNA-seq analysis identifies MUC1 as a key gene for lung adenocarcinoma to neuroendocrine transformation	10.21037/tlcr-24-806	https://pmc.ncbi.nlm.nih.gov/articles/PMC12000963/	142
PMC12130657	Causal Association Between Lung Cancer and Rash: A Bidirectional Mendelian Randomization Study	10.1177/11795549251341559	https://pmc.ncbi.nlm.nih.gov/articles/PMC12130657/	99
PMC12150496	Integrative multi-omics investigation of sleep apnea: gut microbiome metabolomics, proteomics and phenome-wide association study	10.1186/s12986-025-00925-0	https://pmc.ncbi.nlm.nih.gov/articles/PMC12150496/	298
PMC12257706	Multi-omics analysis for identifying cell-type-specific and bulk-level druggable targets in Alzheimer’s disease	10.1186/s12967-025-06739-1	https://pmc.ncbi.nlm.nih.gov/articles/PMC12257706/	204
PMC12327419	VOPP1 as a Novel Susceptibility Gene in Rheumatoid Arthritis: Insights Into Its Mechanisms From Mendelian Randomization and Experimental Validation	10.2147/JIR.S519727	https://pmc.ncbi.nlm.nih.gov/articles/PMC12327419/	146
PMC12329876	TRP channels in hepatocellular carcinoma: integrative Mendelian randomization and multi-omics analyses highlight MCOLN3/TRPV4 as candidate dual-effect biomarkers	10.1186/s40246-025-00807-9	https://pmc.ncbi.nlm.nih.gov/articles/PMC12329876/	169
PMC12487246	Multi-omics Mendelian randomization integrating RNA-seq, eQTL and pQTL data revealed CPXM1 as a potential drug target for osteoporosis	10.1186/s41065-025-00562-w	https://pmc.ncbi.nlm.nih.gov/articles/PMC12487246/	164
PMC12511179	EP300 Regulates CD8br AC (TBNK Panel) to Facilitate Insomnia	10.1007/s12035-025-05188-7	https://pmc.ncbi.nlm.nih.gov/articles/PMC12511179/	168
PMC12549628	Deciphering Alzheimer’s disease transcriptomics: exploration and validation of core genes in tau and Aβ pathological models toward novel therapeutic targets	10.3389/fnagi.2025.1621153	https://pmc.ncbi.nlm.nih.gov/articles/PMC12549628/	182
PMC12572761	Exploring the role of cytochrome P450 family 1 subfamily B member 1 and quercetin in modulating neuropathic pain after spinal cord injury	10.3892/mmr.2025.13717	https://pmc.ncbi.nlm.nih.gov/articles/PMC12572761/	199
PMC12584030	Druggable Genome Mendelian Randomization and GWAS-sceQTLs MR Analysis Reveal Genetic Associations Between Open-Angle Glaucoma and Immune Cells, and Identify Potential Drugs	10.1167/tvst.14.10.38	https://pmc.ncbi.nlm.nih.gov/articles/PMC12584030/	163
PMC12626534	Integrative multi-omics analysis reveal novel therapeutic targets for glioblastoma	10.1097/JS9.0000000000002941	https://pmc.ncbi.nlm.nih.gov/articles/PMC12626534/	146
PMC12647496	Integration of Mendelian randomization and transcriptome wide association studies for causal gene identification in ovarian cancer genetic architecture	10.1007/s12672-025-03976-0	https://pmc.ncbi.nlm.nih.gov/articles/PMC12647496/	104
PMC12661753	Integrative multi-omics and single-cell transcriptomics reveal ARHGEF12 driving chemoresistance in bladder cancer	10.1186/s41065-025-00606-1	https://pmc.ncbi.nlm.nih.gov/articles/PMC12661753/	136
PMC12697907	Integrating Single‐Cell Transcriptome‐Wide Mendelian Randomization and Differentially Expressed Gene Analyses to Prioritize Dynamic Immune‐Related Drug Targets for Cancers	10.1002/advs.202507451	https://pmc.ncbi.nlm.nih.gov/articles/PMC12697907/	161
PMC12709030	Integrative Analysis of eQTL Genes Reveals Key Biomarkers and Mechanisms for Early Diagnosis of Pancreatic Ductal Adenocarcinoma	10.1177/11769351251400465	https://pmc.ncbi.nlm.nih.gov/articles/PMC12709030/	184
PMC12850000	Mining Potential Therapeutic Targets for T Cell Exhaustion in Osteoarthritis by Integrating Mendelian Randomization and Single‐Cell Sequencing	10.1096/fj.202503295R	https://pmc.ncbi.nlm.nih.gov/articles/PMC12850000/	206
PMC12885728	Identification of putative causal associations between MicroRNAs and breast cancer via Mendelian randomization and bioinformatic analysis	10.1097/MD.0000000000047494	https://pmc.ncbi.nlm.nih.gov/articles/PMC12885728/	150
PMC12886693	Mendelian randomization analysis of PKD1 in endometrial cancer and comparative multi-cancer study with renal cell carcinoma	10.1007/s12672-026-04401-w	https://pmc.ncbi.nlm.nih.gov/articles/PMC12886693/	123
PMC12958419	Potential Therapeutic Targets for Neuroblastoma Screened through Mendelian Randomization Analysis	10.34172/aim.35114	https://pmc.ncbi.nlm.nih.gov/articles/PMC12958419/	116
PMC12998140	Targeting the PINK1/Parkin-FNDC5 pathway: a novel mechanism of icariin in regulating muscle-bone metabolic coupling in osteosarcopenia	10.1186/s12967-026-08017-0	https://pmc.ncbi.nlm.nih.gov/articles/PMC12998140/	164
PMC13096692	Single‐Cell Sequencing and Mendelian Randomization Reveal T Cell Nuclear Factor Genes in Hepatocellular Carcinoma Progression	10.1155/humu/7446280	https://pmc.ncbi.nlm.nih.gov/articles/PMC13096692/	175
PMC13138598	Network toxicology and Mendelian randomization reveal pathogenic factors of monoethyl phthalate-induced thyroid cancer	10.1530/ETJ-25-0198	https://pmc.ncbi.nlm.nih.gov/articles/PMC13138598/	116
PMC13147455	From early-onset asthma to chronic obstructive pulmonary disease: potential mediating proteins and therapeutic targets	10.1093/bib/bbag209	https://pmc.ncbi.nlm.nih.gov/articles/PMC13147455/	151
PMC13166711	Identifying therapeutic target genes for stroke through systematic druggable Mendelian randomization analysis	10.1097/MD.0000000000048634	https://pmc.ncbi.nlm.nih.gov/articles/PMC13166711/	227
PMC13225775	Multi-omics mendelian randomization integrating GWAS and eQTL data revealed potential drug target for irritable bowel syndrome	10.3389/fgene.2026.1798264	https://pmc.ncbi.nlm.nih.gov/articles/PMC13225775/	155
PMC13247016	Mapping the Neurovascular Unit Genetic Architecture of Early-Onset Ischemic Stroke: A Single-Cell Causal Framework for Target Discovery and Therapeutic Translation	10.1007/s10571-026-01722-w	https://pmc.ncbi.nlm.nih.gov/articles/PMC13247016/	143
PMC13254516	Metabolic-immune crosstalk in head and neck squamous cell carcinoma: CD44 and APP identified as causal therapeutic targets via integrated lactylation-Mendelian randomization analysis	10.3389/fimmu.2026.1808455	https://pmc.ncbi.nlm.nih.gov/articles/PMC13254516/	152
PMC13266786	Identification of potential drug target genes for atopic dermatitis leveraging Mendelian randomization, single-cell transcriptomics, and spatial transcriptomics	10.5114/aoms/208855	https://pmc.ncbi.nlm.nih.gov/articles/PMC13266786/	114
PMC13358490	An integrated multiomics-based risk model for predicting the prognosis and immune microenvironment status in patients with papillary thyroid carcinoma	10.21037/gs-2026-0267	https://pmc.ncbi.nlm.nih.gov/articles/PMC13358490/	151
PMC13448146	Checking your browser before accessing pmc.ncbi.nlm.nih.gov ...		https://pmc.ncbi.nlm.nih.gov/articles/PMC13448146/	1
