gene	set1	set2	set3	set4	mean_lfc	n_pos	consistent
SLC2A1	2.161789994192727	2.276911490556028	2.386601461059055	2.1510962856394693	2.2440998078618195	4	True
HK2	1.78263039286848	2.13442838509127	1.9000351818172514	2.0500651249717765	1.9667897711871944	4	True
PFKL	1.7687325115500434	1.194739532152554	2.8147997416927706	1.8482233853278525	1.9066237926808052	4	True
GPI	1.0615347542464404	1.3167318729812096	1.4658202284726125	1.459132642355606	1.3258048745139672	4	True
HK1	1.259607847185908	1.350669973260653	1.2823882003194265	1.3618466653744388	1.3136281715351066	4	True
PFKFB3	1.458918812651153	1.1024035862805137	1.2699890131056684	1.271414866318976	1.2756815695890777	4	True
SLC2A3	1.458435790850053	1.3992865555182996	1.0244016833056007	1.1417000949937124	1.2559560311669165	4	True
PGAM1	0.8282633312335949	1.3814572331694555	1.234667059652166	1.5361811022547947	1.2451421815775028	4	True
PFKP	0.9384772708778655	1.2455473328736026	1.1427472002861065	1.1269919687763896	1.113440943203491	4	True
LDHA	0.7486819541957245	1.2284281990861476	0.9507145036610722	1.2632887744484118	1.047778357847839	4	True
PGK1	0.8056632448446759	1.1996880114851278	0.9493081516205287	1.1999452681898368	1.0386511690350424	4	True
GAPDH	0.5957205337877345	1.149739907019341	0.8505450131464432	1.2782079368452552	0.9685533476996935	4	True
PKM	0.6557027841357774	1.0525295867162479	0.903533114106063	1.0359211212877528	0.9119216515614602	4	True
ENO1	0.5111074338759458	0.9564979907853655	0.719658129790812	0.9240937227409107	0.7778393192982584	4	True
ZBED2	0.49391987886787114	0.7541041188230623	0.7718680558536548	0.7205093780963332	0.6851003579102303	4	True
CCL20	0.3240976284935486	0.6850120882493418	0.9830184026756404	0.5996371935429406	0.6479413282403679	4	True
FABP5	0.2133773609503089	0.9860383739117651	0.5375465080969336	0.8319216534448043	0.642220974100953	4	True
DDIT4	0.6902371046132112	0.9319113708684326	0.560036810594586	0.3860094699849175	0.6420486890152868	4	True
TPI1	0.4636489628000787	0.8229683858978276	0.5176076957884076	0.7513553434831942	0.638895096992377	4	True
TUBA1B	0.3946945711641762	0.7201963448526466	0.5473111715340968	0.8383129512451492	0.6251287596990172	4	True
PPP1R14B	0.19052839964525214	0.7679102597244731	0.6256113163646424	0.8793970536973651	0.6158617573579332	4	True
NPM3	0.3240786808338385	0.8772458407146237	0.43045009303503134	0.8174437816751874	0.6123045990646703	4	True
CD3EAP	0.2791801775104468	0.8168354349079189	0.5872104384961379	0.7159177113452604	0.5997859405649411	4	True
DUSP2	0.27607665994355884	0.9272716840351719	0.5373774879753326	0.6445546007046714	0.5963201081646836	4	True
SLC25A5	0.2709167880139367	0.8206464035986852	0.4920080560877364	0.7556057025484335	0.584794237562198	4	True
WDR18	0.30500879547111825	0.6478165951011358	0.631221994079089	0.7441628162842374	0.5820525502338951	4	True
PRDX1	0.22685738717187492	0.7240462097936208	0.5548546228819536	0.8219858492095642	0.5819360172642534	4	True
NME1	0.25485319439053394	0.831384549677908	0.42683551865573827	0.8119624992438406	0.5812589404920052	4	True
HSPE1	0.17491337775619772	0.9332278441073559	0.4117542372605526	0.8035099637365416	0.580851355715162	4	True
TUBA4A	0.3797320652831199	0.7533887782049256	0.5318448515351412	0.6453696673237578	0.5775838405867361	4	True
DCTPP1	0.3178813016160241	0.7084065929870499	0.5088796326602008	0.7540678297668224	0.5723088392575243	4	True
ARL2	0.22041238236475008	0.6079512115790742	0.6219505367753634	0.8330850983194685	0.570849807259664	4	True
RAN	0.27396553190243067	0.7348538692936083	0.52122148240237	0.6896448202820957	0.5549214259701262	4	True
LTA	0.024422714545086016	0.8420755314257772	0.6335786049882376	0.7027528695616454	0.5507074301301866	4	True
TUBA1C	0.3368544436329705	0.7486445158262319	0.5477126085287224	0.5667208536171521	0.5499831054012693	4	True
FKBP4	0.2824000713317348	0.7085729364853393	0.46559632029748804	0.7427255416218663	0.5498237174341071	4	True
METTL26	0.2227636738470449	0.8293858556216088	0.43495040203142027	0.7110964916624796	0.5495491057906384	4	True
BOP1	0.26170035945586323	0.6801614167751601	0.6052887626570806	0.6468262727024878	0.5484942028976479	4	True
MRPL12	0.33279730239406086	0.6919611681807151	0.6198793764999224	0.5439321247558251	0.5471424929576308	4	True
PHB	0.24098549324850585	0.7364504895074396	0.4556146864808335	0.7516692059615655	0.5461799687995861	4	True
ZNF593	0.26187934775199184	0.6975832013130823	0.4759659943173882	0.7446473194224118	0.5450189657012185	4	True
TUBB	0.36503035211168156	0.6277571357299656	0.5081425740782481	0.673830096329699	0.5436900395623986	4	True
PNP	0.44014678997608475	0.7163800993013753	0.4600449526130709	0.5568879231038814	0.5433649412486031	4	True
ABCF2	0.2957280196670615	0.5864499235182846	0.525962779308218	0.7531853058175024	0.5403315070777666	4	True
NUDT1	0.192403383321483	0.7984719085496241	0.4407025698771003	0.7180052807979213	0.5373957856365321	4	True
SH3BGRL3	0.30979884830747695	0.613243447680217	0.429647244136677	0.7964582646383237	0.5372869511906736	4	True
RANBP1	0.20985777837185715	0.7464755703935473	0.5217040773314782	0.669275870857621	0.5368283242386259	4	True
HSP90AB1	0.3146711372128751	0.6373528442389714	0.495575714615063	0.6947498255723731	0.5355873804098207	4	True
NAA10	0.34434977750620593	0.7553518352844579	0.385262353995519	0.647622491291428	0.5331466145194027	4	True
IMPDH2	0.3601808618857524	0.6735009013942073	0.4759690595035436	0.6223034068197748	0.5329885574008195	4	True
SPRY1	0.17451905728575812	0.9886313262405447	0.4603762629140398	0.4917348198811257	0.5288153665803671	4	True
TRAPPC2L	0.2877184098362866	0.6164943199168565	0.4108250529965392	0.7843497196677001	0.5248468756043456	4	True
PRMT1	0.27154378833559234	0.7141443656051983	0.5015677743603368	0.6060657750227126	0.52333042583096	4	True
EEF2	0.38659757432246195	0.5792903704045336	0.44657660915865866	0.6751478076027377	0.521903090372098	4	True
PA2G4	0.254169593059872	0.7155477994161353	0.46764879102318124	0.6463817428627218	0.5209369815904776	4	True
KPNA2	0.3039519820015809	0.6123161361633156	0.5787681835438689	0.584605499139382	0.5199104502120369	4	True
EBNA1BP2	0.29064338835706754	0.7591040284493837	0.507759021923316	0.521850707626687	0.5198392865891135	4	True
LYAR	0.22273226015193207	0.7068024344991504	0.5116120103624814	0.6290903222227672	0.5175592568090828	4	True
C19orf53	0.2993337694391075	0.6667362329265749	0.44408393001155344	0.6516368896604761	0.515447705509428	4	True
STOML2	0.2141645235757618	0.6391047411566241	0.403978226826497	0.782184557345733	0.509858012226154	4	True
TNF	0.01389983131447727	0.6305504136909574	0.6933171829241124	0.6997411804106891	0.5093771520850591	4	True
RPL8	0.2707783510002267	0.6428158936643884	0.4301240077389149	0.6851953048288737	0.5072283893081009	4	True
CDK4	0.3900318900857528	0.8072257528523824	0.3345767139604835	0.49662641322043594	0.5071151925297637	4	True
MIF	0.2518141830491725	0.7047710781040232	0.36124031487385816	0.7035558717362579	0.5053453619408279	4	True
PRELID1	0.26043397298843957	0.6143729971352979	0.41335606999034774	0.7331723302757904	0.5053338425974689	4	True
CALM3	0.387013121285674	0.628891245502509	0.4283433512685552	0.5761032026399805	0.5050877301741796	4	True
MRPL41	0.24644613893083123	0.73853098882371	0.4938252106315066	0.5394912500267081	0.5045733971031889	4	True
NPM1	0.24270254752315182	0.7041059065968153	0.4588452202764982	0.609332244303687	0.5037464796750382	4	True
ALYREF	0.25712692216935185	0.6662491116753485	0.4583910693698013	0.6265458731358938	0.5020782440875988	4	True
PUF60	0.1035946417899955	0.6636794094245672	0.5573381192358342	0.6821140834168975	0.5016815634668236	4	True
MCM2	0.33303030616953716	0.7326710185597101	0.41906500846644246	0.5216733742425146	0.5016099268595511	4	True
TIMM13	0.13844251670995156	0.7693923078756271	0.4434007706075858	0.6510948465426571	0.5005826104339555	4	True
IFNG	0.16803996059287465	0.4362280872619591	0.7587991992466899	0.6263419760685033	0.4973523057925068	4	True
C1QBP	0.24542396701765043	0.7676589772542082	0.3684415568061322	0.6022284139141805	0.49593822874804283	4	True
MCM4	0.20867344127328388	0.883877039912365	0.3134347839711729	0.5756102644784953	0.49539888240882923	4	True
IER3	0.07786909630910058	0.8069819181700223	0.48249155965118473	0.6114599829572871	0.49470063927189867	4	True
CD40LG	0.46892803281422235	0.6507056570649196	0.31677156651201616	0.5412398023255518	0.49441126467917745	4	True
SLC29A1	0.09737660730455154	0.9324005116976077	0.36916630118648686	0.5786420532241332	0.49439636835319484	4	True
EIF5A	0.25364166285839407	0.6573393593155588	0.4840270509181985	0.579453811144442	0.4936154710591483	4	True
PFN1	0.22063282089625313	0.5912645113167788	0.49033326452841797	0.6700874161553868	0.4930795032242091	4	True
PTMA	0.2753749117147501	0.6264342172805409	0.44600166903299243	0.6238956905296948	0.49292662213949456	4	True
PHB2	0.22179678888200546	0.7534955197133855	0.4450990800143355	0.5501285821850697	0.49262999269869906	4	True
RRP9	0.2708931653463551	0.5793635730767551	0.49070576205973054	0.6283881493022099	0.49233766244626265	4	True
MRPL17	0.25081350911838496	0.7283766310028019	0.3766274575292875	0.6119686791461589	0.49194656919915836	4	True
RPS19BP1	0.23666548564498496	0.7306273496701884	0.45091865881928517	0.5478704216547952	0.49152047894731343	4	True
UBE2S	0.21989242217799015	0.7122008575462797	0.40895715132174765	0.6236273415370462	0.49116944314576594	4	True
TOMM6	0.21636806666361186	0.664690390275961	0.4143641927091807	0.6682039896392511	0.49090665982200116	4	True
DDX39A	0.1642545061397419	0.6038399293074979	0.5813845129302005	0.6084916708263537	0.4894926548009485	4	True
ILF2	0.3054204471139724	0.5333104157812013	0.49625692811037336	0.6218506735021792	0.4892096161269316	4	True
NHP2	0.26491595385609806	0.62656730932746	0.3480617243390571	0.7165969325408466	0.48903548001586544	4	True
NCL	0.267940112130293	0.6133443314065264	0.43195476505833563	0.6417127719875907	0.4887379951456865	4	True
CCDC124	0.375833554586488	0.6783327183282467	0.4102812840973386	0.48974573050172737	0.4885483218784502	4	True
ODC1	0.19817047209392022	0.8354519808250034	0.4867253908315937	0.43010851003295164	0.4876140884458672	4	True
MRPL36	0.14786714425287026	0.5073425847710274	0.3668113278920801	0.9280825968850598	0.4875259134502594	4	True
CCDC85B	0.1517960138494756	0.46879054763192946	0.5479428291244696	0.7809720521050667	0.48737536067773535	4	True
HSP90AA1	0.26217797665474785	0.5777962472242455	0.4561179772559147	0.6509791402545912	0.48676783534737483	4	True
PFDN2	0.2841299619043063	0.6020740547846165	0.48572073639357616	0.5743123369506387	0.4865592725082844	4	True
FKBP1A	0.25606530702454	0.7782106721182458	0.4461233786164901	0.46355436159989666	0.4859884298397931	4	True
TOMM5	0.22808756906449587	0.6441294292712461	0.5880605042794568	0.4829609477025146	0.48580961257942834	4	True
RBM8A	0.25394802334052263	0.5995283880648375	0.5253671985640729	0.563196698804504	0.48551007719348427	4	True
EIF3I	0.2981148291657227	0.5951757905866062	0.4979179939910723	0.5480945406202429	0.484825788590911	4	True
GRWD1	0.2868749103465514	0.46444659188887	0.5509525945613692	0.6328904521970012	0.483791137248448	4	True
MRTO4	0.1735232372481107	0.654248149345819	0.47351721168595234	0.6326875367737443	0.4834940337634066	4	True
TIMM8A	0.06130900455503467	0.6417430570468244	0.5275648827204265	0.7016945410433993	0.4830778713414212	4	True
PDCD5	0.19346483636319545	0.7132700573091623	0.4712774191027315	0.5541253400941689	0.48303441321731455	4	True
BNIP3	0.8042591521047363	0.48781354394221094	0.22753906279090794	0.4115141538733342	0.4827814781777974	4	True
FAM174C	0.057351534768879206	0.64391730463192	0.5221771101319223	0.7074650622886777	0.48272775295534975	4	True
HSPD1	0.2377663246525188	0.6864355218935332	0.4234464930476924	0.5810295179582496	0.4821694643879985	4	True
FBL	0.2935523024278745	0.6573895760756271	0.3713216866473895	0.6049857135683426	0.4818123196798084	4	True
CORO1A	0.3638283236879999	0.5439724894661425	0.4306937297939021	0.5860381994104725	0.48113318558962925	4	True
RACK1	0.2789145353618888	0.6236452764464171	0.4083224434356989	0.612832863358789	0.48092877965069847	4	True
CSRNP1	0.36480557923258	0.6187498958974416	0.476266970890539	0.4618758155016237	0.480424565380546	4	True
PCNA	0.26571284588717997	0.6441015819483031	0.46000184414770284	0.545751581259938	0.478891963310781	4	True
PSMB6	0.19960498759749573	0.5576437396650994	0.4686154638174248	0.6889607917248202	0.47870624570121	4	True
HSD17B10	0.21040741780224342	0.6813971447553157	0.3835716409862705	0.6388942444128815	0.47856761198917774	4	True
SEMA7A	0.18605810094714767	0.6814898447034837	0.4635498944741756	0.5796464921385329	0.477686083065835	4	True
ARPC4	0.1506073231789161	0.6207014370605924	0.4782764006080635	0.6593127163304952	0.4772244692945168	4	True
MRPS34	0.2122546270003103	0.6567319630706829	0.4712568713082417	0.5673736264256558	0.47690427195122265	4	True
MRPL23	0.221561774819904	0.5879015687289876	0.4508406564568599	0.6377405647856961	0.47451114119786186	4	True
H2AZ1	0.25068783604212014	0.7358886181534986	0.3926532758369075	0.5163740704651626	0.47390095012442224	4	True
BANF1	0.27527979355121024	0.5703735158490111	0.4833123059321438	0.5645999501334815	0.4733913913664617	4	True
TUBB4B	0.1324855116312136	0.5834229986537179	0.5116252867853754	0.6648813069344212	0.47310377600118203	4	True
ATP5F1B	0.3133939136549058	0.5946745881236312	0.43378612138811284	0.5500016317323425	0.4729640637247481	4	True
FOSL1	0.219583092812877	0.7372522347935625	0.4669343676557696	0.4633531408917737	0.4717807090384957	4	True
GADD45GIP1	0.27678751499493537	0.595414913226499	0.4366626116078117	0.5766456915637611	0.47137768284825177	4	True
MRPL4	0.2083506986690692	0.6161395109017682	0.37381174744857987	0.6810453768476307	0.46983683346676197	4	True
CCT2	0.18502115701216607	0.6107836825735383	0.4678232096767306	0.6145674698489281	0.46954887977784077	4	True
ACTG1	0.24969245587021677	0.5408215974326556	0.4786285857294585	0.6082494483789167	0.4693480218528119	4	True
HSPA8	0.15969427299241803	0.5189287392139482	0.5447379530667605	0.6510003746915636	0.4685903349911726	4	True
MRPL11	0.17690432480850543	0.7258231134990634	0.42705183641386396	0.5378363100176502	0.46690389618477074	4	True
ATP5F1D	0.22385131163985741	0.6875808677146168	0.3839741189565397	0.5719993747996166	0.46685141827765764	4	True
TRIM28	0.28761022952704157	0.5823967568209019	0.3749140505443338	0.6197540477390838	0.4661687711578403	4	True
TSTA3	0.3839020110345731	0.6633599897438632	0.3219935968892888	0.4925865745727412	0.4654605430601166	4	True
RPL7A	0.22094820888895098	0.6006069548928812	0.40991333071028974	0.6297527849586309	0.4653053198626882	4	True
TNFSF14	0.0390010074421051	0.8448269339927307	0.4443927668203621	0.5325909514712215	0.46520291493160487	4	True
HMGA1	0.2576754795402874	0.6861832734109728	0.47846683571394016	0.4379901829442503	0.4650789429023627	4	True
PPIF	0.28450311277560336	0.4974275146662445	0.4020439975666595	0.67613410423151	0.4650271823100043	4	True
TRMT112	0.1501270850604569	0.7229338826202111	0.356433784797541	0.6297483405813529	0.46481077326489045	4	True
RPL35	0.20404187657137746	0.6392365360613453	0.4539782548915427	0.5612948633749327	0.46463788272479956	4	True
LRRC59	0.26536264686536604	0.5292596539203952	0.46667525983405134	0.5972260015481697	0.4646308905419956	4	True
NOP16	0.23465922624401725	0.6183330214015318	0.467524449172488	0.5328767525452054	0.4633483623408106	4	True
OAZ1	0.23581897807032715	0.6514056007336685	0.3601267849533519	0.603540541283178	0.46272297626013137	4	True
YRDC	0.19548953120105814	0.6846127750859621	0.4789565129943739	0.48972865312534564	0.4621968681016849	4	True
GRPEL1	0.2907029443537356	0.6069242529959098	0.427513461613478	0.5196626500440259	0.46120082725178735	4	True
PSMB4	0.1626271644102919	0.6182515630251079	0.43356659899872285	0.6273587621725345	0.4604510221516643	4	True
ATP5MC3	0.21211894747800936	0.6712792688240301	0.4130272338679038	0.5452973003453147	0.46043068762881445	4	True
SLC25A6	0.3097890508197955	0.5560280522302695	0.37168545264843444	0.6029534848905516	0.4601140101472627	4	True
CHCHD10	0.18010301480292712	0.7889594251150073	0.4417504019865737	0.42837136805940246	0.45979605249097766	4	True
CCT5	0.24941570063983395	0.554610177376838	0.45463374820916475	0.5796763994549945	0.4595840064202078	4	True
CCT6A	0.21924351183375218	0.574022484162373	0.4599240165798458	0.5839701685008172	0.45929004526919703	4	True
DKC1	0.23193692182346165	0.7081270500546927	0.371138852571575	0.5240572260816597	0.4588150126328472	4	True
APRT	0.2293728811957947	0.5770906442028866	0.40992252921573774	0.6173417293680421	0.45843194599561526	4	True
PNPO	0.2443455920303306	0.9575231134079978	0.2465579575898514	0.38515780866578436	0.458396117923491	4	True
POLR2H	0.24032913819351734	0.6904979280584613	0.3760799739989289	0.526524110153481	0.45835778760109713	4	True
MLF2	0.18723321665499645	0.5212697867236447	0.46484042297789735	0.6592898255690214	0.45815831298139	4	True
CISD1	0.25723441943253544	0.712849814922145	0.31069606039356	0.5514162262155182	0.4580491302409397	4	True
CORO1B	0.4206627380102214	0.5762923096104077	0.304849229469349	0.5284010074574904	0.45755132113686714	4	True
RPL7	0.2524273726591269	0.6096209561010457	0.3847004348768488	0.5820346370228326	0.4571958501649635	4	True
POP7	0.2278925444516039	0.5751619515330397	0.4043780160820763	0.6206505296547037	0.4570207604303559	4	True
POLR2I	0.03438706599143445	0.6243117642277217	0.41216607284516055	0.7548586314793544	0.4564308836359178	4	True
PES1	0.27268339346090253	0.6288960652906235	0.43592252200695475	0.4868042872105554	0.456076566992259	4	True
ADRM1	0.18847611965039	0.5358969424122171	0.5180061834857935	0.5803415831354316	0.45568020717095803	4	True
PSMC3	0.21169017482052205	0.628235822482489	0.41814520488855095	0.5646065861273124	0.4556694470797186	4	True
CFAP298	0.28911647866509516	0.44610757553708585	0.48362273582419796	0.5990083855941906	0.4544637939051424	4	True
BCL2A1	0.2775128809719113	0.6603953806678788	0.4798992994150276	0.39910329011304213	0.45422771279196494	4	True
SRM	0.17892501594899637	0.6214801117599477	0.46166345055060654	0.5547227813731772	0.45419783990818197	4	True
CYCS	0.24424993938424316	0.6009454558312128	0.39586324789441024	0.5739195077366488	0.45374453771162876	4	True
PFDN6	0.2161578121906009	0.5475960103977849	0.49431785168866094	0.5549067202722406	0.45324459863732186	4	True
YBX1	0.19641757529207401	0.5843509785174387	0.4570648019270304	0.5744769511095662	0.4530775767115273	4	True
PPP1CA	0.2622391744285282	0.503993117653652	0.3823628746166122	0.6628469882306681	0.4528605387323651	4	True
RPL14	0.24949766647826596	0.5758407236183056	0.42247203075040585	0.5603084943966277	0.4520297288109013	4	True
