locus	n_named	named	named_truncated
10_23	2	OBFC1;RP11-541N10.3	False
11_0	1	ODF3	False
11_17	1	ACAT1	False
11_20	1	ARHGEF12	False
15_2	2	HERC2P9;WHAMMP2	False
16_15	16	AC137932.6;AC137934.1;ACSF3;AFG3L1P;C16orf55;CDK10...	True
17_0	1	TP53	False
1_23	7	C1orf138;CERS2;GOLPH3L;HORMAD1;MCL1;Metazoa_SRP...	True
1_24	1	ZBTB7B	False
20_12	1	HELZ2	False
20_8	7	CHMP4B;EIF2S2;ITCH;MAP1LC3A;RP1-64K7.4;RP5-1125A11.1...	True
21_6	1	MX2	False
22_1	3	PLA2G6;RP1-5O6.6;TMEM184B	False
2_41	4	ALS2CR12;CASP10;CASP8;CFLAR	False
2_8	2	ATL2;RMDN2	False
6_0	1	IRF4	False
6_4	1	SOX4	False
6_6	2	HLA-DQA2;HLA-DRB1	False
9_0	1	C9orf66	False
9_23	1	RP11-308N19.1	False
