study_label	dataset_id	sample_group	condition_label	sample_size
Schmiedel_2018	QTD000484	CD4_T-cell_anti-CD3-CD28	anti-CD3-CD28_4h	89
Schmiedel_2018	QTD000494	CD8_T-cell_anti-CD3-CD28	anti-CD3-CD28_4h	88
Nathan_2022	QTD000666	CD4+_activated	naive	147
Nathan_2022	QTD000684	CD8+_activated	naive	42
Cytoimmgen	QTD000690	combined_CD4_Naive_STIM_40H	anti-CD3-CD28_40h	94
Cytoimmgen	QTD000691	combined_CD4_Memory_STIM_40H	anti-CD3-CD28_40h	93
Cytoimmgen	QTD000692	combined_CD4_Memory_STIM_5D	anti-CD3-CD28_5D	93
Cytoimmgen	QTD000693	combined_CD4_Naive_STIM_16H	anti-CD3-CD28_16h	99
Cytoimmgen	QTD000695	combined_CD4_Memory_STIM_16H	anti-CD3-CD28_16h	95
Cytoimmgen	QTD000696	combined_CD4_Naive_STIM_5D	anti-CD3-CD28_5D	88
Cytoimmgen	QTD000698	TEM_STIM_16H	anti-CD3-CD28_16h	89
Cytoimmgen	QTD000701	TEM_STIM_5D	anti-CD3-CD28_5D	92
Cytoimmgen	QTD000702	TN2_Lowly_Active_STIM_16H	anti-CD3-CD28_16h	66
Cytoimmgen	QTD000703	nTreg_STIM_40H	anti-CD3-CD28_40h	90
Cytoimmgen	QTD000704	TEM_STIM_40H	anti-CD3-CD28_40h	90
Cytoimmgen	QTD000706	TN_STIM_5D	anti-CD3-CD28_5D	92
Cytoimmgen	QTD000708	TCM_STIM_40H	anti-CD3-CD28_40h	91
Cytoimmgen	QTD000709	TEM_HLA+_STIM_40H	anti-CD3-CD28_40h	72
Cytoimmgen	QTD000711	TN_HSP_STIM_5D	anti-CD3-CD28_5D	80
Cytoimmgen	QTD000712	TN_A_STIM_16H	anti-CD3-CD28_16h	99
Cytoimmgen	QTD000713	T_NFKB_STIM_16H	anti-CD3-CD28_16h	96
Cytoimmgen	QTD000715	TCM1_Lowly_Active_STIM_16H	anti-CD3-CD28_16h	71
Cytoimmgen	QTD000716	TCM_STIM_5D	anti-CD3-CD28_5D	94
Cytoimmgen	QTD000717	TN_NFKB_STIM_5D	anti-CD3-CD28_5D	93
Cytoimmgen	QTD000718	TN_B_STIM_16H	anti-CD3-CD28_16h	97
Cytoimmgen	QTD000721	nTreg_STIM_16H	anti-CD3-CD28_16h	80
Cytoimmgen	QTD000723	TN2_STIM_16H	anti-CD3-CD28_16h	97
Cytoimmgen	QTD000724	TEM_Lowly_Active_STIM_40H	anti-CD3-CD28_40h	57
Cytoimmgen	QTD000726	TCM_STIM_16H	anti-CD3-CD28_16h	99
Cytoimmgen	QTD000727	TN_cycling_STIM_5D	anti-CD3-CD28_5D	93
Cytoimmgen	QTD000728	TN_IFN_STIM_5D	anti-CD3-CD28_5D	90
Cytoimmgen	QTD000729	TM_cycling_STIM_5D	anti-CD3-CD28_5D	70
Cytoimmgen	QTD000730	TEM_HLA+_STIM_5D	anti-CD3-CD28_5D	79
Cytoimmgen	QTD000732	TM_ER-stress_STIM_40H	anti-CD3-CD28_40h	61
Cytoimmgen	QTD000733	TN1_STIM_40H	anti-CD3-CD28_40h	95
Cytoimmgen	QTD000735	TN2_STIM_40H	anti-CD3-CD28_40h	93
Cytoimmgen	QTD000737	TN_IFN_STIM_40H	anti-CD3-CD28_40h	93
Cytoimmgen	QTD000738	TN_cycling_STIM_40H	anti-CD3-CD28_40h	86
Cytoimmgen	QTD000741	TN_C_STIM_16H	anti-CD3-CD28_16h	99
Cytoimmgen	QTD000742	TEM_Lowly_Active_STIM_16H	anti-CD3-CD28_16h	83
Cytoimmgen	QTD000743	T_ER-stress_STIM_5D	anti-CD3-CD28_5D	93
