id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
ENSG00000151725|CD4_Memory_stim_16h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000151725|CD4_Memory_stim_16h	Inverse variance weighted	6.29388955316865	6	0.391086343944454
ENSG00000254635|CD4_Memory_stim_5d	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000254635|CD4_Memory_stim_5d	Inverse variance weighted	3.31920491130287	2	0.190214583805419
ENSG00000079459|CD4_Memory_uns_0h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000079459|CD4_Memory_uns_0h	Inverse variance weighted	18.714598935045	9	0.0277319682563798
ENSG00000079459|CD4_Naive_uns_0h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000079459|CD4_Naive_uns_0h	Inverse variance weighted	15.6013414449596	9	0.0756879553745347
ENSG00000136982|CD4_Memory_stim_16h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000136982|CD4_Memory_stim_16h	Inverse variance weighted	3.26112795821946	3	0.353089656216907
ENSG00000155158|CD4_Memory_stim_5d	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000155158|CD4_Memory_stim_5d	Inverse variance weighted	4.9753822804518	3	0.173608675520336
ENSG00000155158|CD4_Naive_stim_5d	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000155158|CD4_Naive_stim_5d	Inverse variance weighted	3.73043160148584	3	0.292082462072847
ENSG00000148290|CD4_Naive_stim_16h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000148290|CD4_Naive_stim_16h	Inverse variance weighted	2.3770716654821	7	0.936065833320859
ENSG00000100804|CD4_Memory_stim_40h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000100804|CD4_Memory_stim_40h	Inverse variance weighted	12.2002142815319	6	0.0576484440611287
ENSG00000100804|CD4_Naive_stim_40h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000100804|CD4_Naive_stim_40h	Inverse variance weighted	14.0964765765112	5	0.0150080595147546
ENSG00000165410|CD4_Naive_uns_0h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000165410|CD4_Naive_uns_0h	Inverse variance weighted	4.35760055894815	5	0.499158951786125
ENSG00000115446|CD4_Naive_stim_16h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000115446|CD4_Naive_stim_16h	Inverse variance weighted	1.38812363719129	2	0.499542890059086
ENSG00000115816|CD4_Memory_stim_40h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000115816|CD4_Memory_stim_40h	Inverse variance weighted	1.30272949578346	2	0.521333801831442
ENSG00000158525|CD4_Naive_stim_16h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000158525|CD4_Naive_stim_16h	Inverse variance weighted	4.19464689342652	4	0.380303708548349
ENSG00000158525|CD4_Naive_stim_40h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000158525|CD4_Naive_stim_40h	Inverse variance weighted	4.62414980364547	6	0.592839297019059
ENSG00000158525|CD4_Naive_stim_5d	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000158525|CD4_Naive_stim_5d	Inverse variance weighted	6.73240458622829	6	0.346304739403613
ENSG00000174837|CD4_Memory_stim_16h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000174837|CD4_Memory_stim_16h	Inverse variance weighted	3.74505739162052	4	0.441606539587157
ENSG00000174837|CD4_Memory_stim_40h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000174837|CD4_Memory_stim_40h	Inverse variance weighted	7.64854095184011	4	0.105334850650109
ENSG00000105483|CD4_Naive_stim_40h	finngen_R12_melanoma	Melanoma_FinnGen_R12	ENSG00000105483|CD4_Naive_stim_40h	Inverse variance weighted	11.72080074464	6	0.0684952176898794
