cell	locus_kb	known_kb	bg_loci	bg_known	sig_loci	sig_known	pct_known	fold	fisher_p
melanoma x Soskic_CD4	1000	100	554	13	7	3	42.9	18.26	0.0003361896157234458
melanoma x Soskic_CD4	1000	250	554	29	7	3	42.9	8.19	0.003929335816495441
melanoma x Soskic_CD4	1000	500	554	42	7	3	42.9	5.65	0.011470299500690962
melanoma x Soskic_CD4	1000	1000	554	58	7	3	42.9	4.09	0.028123181205575935
melanoma x eQTLGen_blood	1000	100	559	59	30	14	46.7	4.42	1.8676556975728244e-07
melanoma x eQTLGen_blood	1000	250	559	74	30	18	60.0	4.53	5.357720802711548e-10
melanoma x eQTLGen_blood	1000	500	559	80	30	18	60.0	4.19	2.2733531389024436e-09
melanoma x eQTLGen_blood	1000	1000	559	84	30	20	66.7	4.44	3.724056802770761e-11
HCC_high x Soskic_CD4	1000	100	549	6	2	0	0.0	0.0	0.999999999999887
HCC_high x Soskic_CD4	1000	250	549	15	2	0	0.0	0.0	1.0
HCC_high x Soskic_CD4	1000	500	549	19	2	1	50.0	14.45	0.06807998617260647
HCC_high x Soskic_CD4	1000	1000	549	31	2	1	50.0	8.85	0.10984138380326619
HCC_low x Soskic_CD4	1000	100	564	6	2	1	50.0	47.0	0.021182117077978013
HCC_low x Soskic_CD4	1000	250	564	14	2	1	50.0	20.14	0.04907221949286181
HCC_low x Soskic_CD4	1000	500	564	18	2	2	100.0	31.33	0.0009636824005141619
HCC_low x Soskic_CD4	1000	1000	564	32	2	2	100.0	17.62	0.0031240945794450406
