cell	locus_kb	known_kb	bg_loci	bg_known	sig_loci	sig_known	pct_known	fold	fisher_p
melanoma x Soskic_CD4	100	1000	1065	100	8	4	50.0	5.33	0.003817394683115093
melanoma x Soskic_CD4	250	1000	876	81	7	3	42.9	4.63	0.020299904356983107
melanoma x Soskic_CD4	500	1000	728	68	7	3	42.9	4.59	0.020767428243743363
melanoma x Soskic_CD4	1000	1000	554	58	7	3	42.9	4.09	0.028123181205575935
melanoma x eQTLGen_blood	100	1000	4815	440	45	33	73.3	8.02	1.7007630399812857e-25
melanoma x eQTLGen_blood	250	1000	2402	215	32	20	62.5	6.98	4.0363298486059434e-14
melanoma x eQTLGen_blood	500	1000	1193	118	30	20	66.7	6.74	2.2371286379795542e-14
melanoma x eQTLGen_blood	1000	1000	559	84	30	20	66.7	4.44	3.724056802770761e-11
HCC_high x Soskic_CD4	100	1000	1040	78	2	1	50.0	6.67	0.1444417709334799
HCC_high x Soskic_CD4	250	1000	861	53	2	1	50.0	8.12	0.11939064905575267
HCC_high x Soskic_CD4	500	1000	716	40	2	1	50.0	8.95	0.10868461147800781
HCC_high x Soskic_CD4	1000	1000	549	31	2	1	50.0	8.85	0.10984138380326619
HCC_low x Soskic_CD4	100	1000	1087	82	2	2	100.0	13.26	0.005626515270882274
HCC_low x Soskic_CD4	250	1000	892	54	2	2	100.0	16.52	0.003601032749014425
HCC_low x Soskic_CD4	500	1000	739	42	2	2	100.0	17.6	0.003157419936850825
HCC_low x Soskic_CD4	1000	1000	564	32	2	2	100.0	17.62	0.0031240945794450406
