cell	known_kb	old_sig_known	old_fold	old_fisher_p	new_sig_known	new_fold	new_fisher_p	changed
melanoma x Soskic_CD4	100	3	18.26	0.0003361896157234458	3	18.26	0.0003361896157234458	False
melanoma x Soskic_CD4	250	3	8.19	0.003929335816495441	3	8.19	0.003929335816495441	False
melanoma x Soskic_CD4	500	3	5.65	0.011470299500690962	3	5.65	0.011470299500690962	False
melanoma x Soskic_CD4	1000	3	4.09	0.028123181205575935	3	4.09	0.028123181205575935	False
melanoma x Soskic_CD4	distances	5;11;74;2167;7275;20136;38494			5;11;42;2167;4808;20121;36448			True
melanoma x eQTLGen_blood	100	14	4.42	1.8676556975728244e-07	21	6.63	5.941728303631104e-16	True
melanoma x eQTLGen_blood	250	18	4.53	5.357720802711548e-10	21	5.29	1.3340755677276635e-13	True
melanoma x eQTLGen_blood	500	18	4.19	2.2733531389024436e-09	21	4.89	7.994520851033989e-13	True
melanoma x eQTLGen_blood	1000	20	4.44	3.724056802770761e-11	22	4.88	1.3173331755977672e-13	True
melanoma x eQTLGen_blood	distances	0;1;1;1;4;4;8;9;21;23;26;32;48;50;128;159;189;222;597;746;3550;5939;6101;7293;8541;15179;19408;21212;39045;45105			0;1;1;1;3;4;4;5;8;9;11;21;26;31;32;38;50;64;76;78;79;597;1718;2474;6263;14459;16185;19631;24241;26550			True
HCC_high x Soskic_CD4	100	0	0.0	0.999999999999887	0	0.0	0.999999999999887	False
HCC_high x Soskic_CD4	250	0	0.0	1.0	1	18.3	0.0539467911132343	True
HCC_high x Soskic_CD4	500	1	14.45	0.06807998617260647	1	14.45	0.06807998617260647	False
HCC_high x Soskic_CD4	1000	1	8.85	0.10984138380326619	1	8.85	0.10984138380326619	False
HCC_high x Soskic_CD4	distances	408;20563			235;19538			True
HCC_low x Soskic_CD4	100	1	47.0	0.021182117077978013	1	47.0	0.021182117077978013	False
HCC_low x Soskic_CD4	250	1	20.14	0.04907221949286181	2	40.29	0.0005731705780836537	True
HCC_low x Soskic_CD4	500	2	31.33	0.0009636824005141619	2	31.33	0.0009636824005141619	False
HCC_low x Soskic_CD4	1000	2	17.62	0.0031240945794450406	2	17.62	0.0031240945794450406	False
HCC_low x Soskic_CD4	distances	26;401			26;235			True
