cell	tolerance	matched_fraction	observed_known	fold_vs_null	empirical_p	ok	n_draws_used	n_draws_exhausted	effective_draw_fraction	min_pool_size	median_pool_size	max_pool_size	rng_kind	r_version	collate
melanoma x Soskic_CD4	0.1	0.75	4	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
melanoma x Soskic_CD4	0.25	1	4	5.12820512820513	0.0028997100289971	TRUE	10000	0	1	4	6	124	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
melanoma x Soskic_CD4	0.5	1	4	4.17014178482068	0.0096990300969903	TRUE	10000	0	1	12	40.5	124	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
melanoma x Soskic_CD4	1	1	4	4.8721071863581	0.004999500049995	TRUE	10000	0	1	42	151	213	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
melanoma x Soskic_CD4	2	1	4	5.42667209333876	0.0041995800419958	TRUE	10000	0	1	123	240.5	315	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
melanoma x eQTLGen_blood	0.1	0.970588235294118	23	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
melanoma x eQTLGen_blood	0.25	1	23	5.96736112912851	9.99900009999e-05	TRUE	10000	0	1	5	100	278	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
melanoma x eQTLGen_blood	0.5	1	23	5.87919531709312	9.99900009999e-05	TRUE	10000	0	1	39	323	644	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
melanoma x eQTLGen_blood	1	1	23	6.13955474881213	9.99900009999e-05	TRUE	10000	0	1	84	818.5	1173	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
melanoma x eQTLGen_blood	2	1	23	6.65933175053564	9.99900009999e-05	TRUE	10000	0	1	312	1310.5	1451	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
HCC_high x Soskic_CD4	0.1	1	1	1.96618167518679	0.508649135086491	TRUE	10000	0	1	1	1.5	2	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
HCC_high x Soskic_CD4	0.25	1	1	2.23663609930664	0.408959104089591	TRUE	10000	0	1	3	6	9	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
HCC_high x Soskic_CD4	0.5	1	1	10.9170305676856	0.0900909909009099	TRUE	10000	0	1	15	26.5	38	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
HCC_high x Soskic_CD4	1	1	1	9.18273645546373	0.107089291070893	TRUE	10000	0	1	120	133.5	147	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
HCC_high x Soskic_CD4	2	1	1	7.8125	0.124287571242876	TRUE	10000	0	1	348	367.5	387	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
HCC_high x eQTLGen_blood	0.1	1	3	8.41987089531294	0.001999800019998	TRUE	10000	0	1	10	39	61	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
HCC_high x eQTLGen_blood	0.25	1	3	8.40807174887892	0.0031996800319968	TRUE	10000	0	1	38	218	251	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
HCC_high x eQTLGen_blood	0.5	1	3	7.41839762611276	0.0043995600439956	TRUE	10000	0	1	212	517	599	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
HCC_high x eQTLGen_blood	1	1	3	8.24175824175824	0.0044995500449955	TRUE	10000	0	1	486	1037	1152	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
HCC_high x eQTLGen_blood	2	1	3	9.99666777740753	0.0027997200279972	TRUE	10000	0	1	1300	1418	1450	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
HCC_low x Soskic_CD4	0.1	0.5	2	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
HCC_low x Soskic_CD4	0.25	1	2	6.35324015247776	0.0208979102089791	TRUE	10000	0	1	5	7	9	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
HCC_low x Soskic_CD4	0.5	1	2	24.0096038415366	0.0017998200179982	TRUE	10000	0	1	18	27.5	37	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
HCC_low x Soskic_CD4	1	1	2	12.853470437018	0.0064993500649935	TRUE	10000	0	1	56	106.5	157	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
HCC_low x Soskic_CD4	2	1	2	19.8807157057654	0.001999800019998	TRUE	10000	0	1	147	272.5	398	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
HCC_low x eQTLGen_blood	0.1	1	3	13.2275132275132	9.99900009999e-05	TRUE	10000	0	1	28	35.5	57	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
HCC_low x eQTLGen_blood	0.25	1	3	11.3938473224459	0.000999900009999	TRUE	10000	0	1	86	235.5	283	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
HCC_low x eQTLGen_blood	0.5	1	3	10.8147080028839	0.000999900009999	TRUE	10000	0	1	202	497.5	590	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
HCC_low x eQTLGen_blood	1	1	3	12.0870265914585	0.0011998800119988	TRUE	10000	0	1	522	1026	1112	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
HCC_low x eQTLGen_blood	2	1	3	12.0433560818948	0.0012998700129987	TRUE	10000	0	1	1170	1432	1447	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
RA x Soskic_CD4	0.1	0.439024390243902	16	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
RA x Soskic_CD4	0.25	0.926829268292683	16	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
RA x Soskic_CD4	0.5	1	16	4.47289703950127	9.99900009999e-05	TRUE	10000	0	1	4	30	82	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
RA x Soskic_CD4	1	1	16	4.51505488613596	9.99900009999e-05	TRUE	10000	0	1	16	132	192	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
RA x Soskic_CD4	2	1	16	4.32397373185958	9.99900009999e-05	TRUE	10000	0	1	95	250	351	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
RA x eQTLGen_blood (VOID on mismatch)	0.1	0.990825688073395	42	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
RA x eQTLGen_blood (VOID on mismatch)	0.25	1	42	3.83652739463252	9.99900009999e-05	TRUE	10000	0	1	6	123	279	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
RA x eQTLGen_blood (VOID on mismatch)	0.5	1	42	3.93649127411101	9.99900009999e-05	TRUE	10000	0	1	33	373	655	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
RA x eQTLGen_blood (VOID on mismatch)	1	1	42	4.13593437650789	9.99900009999e-05	TRUE	10000	0	1	116	859	1137	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
RA x eQTLGen_blood (VOID on mismatch)	2	1	42	4.51661468975159	9.99900009999e-05	TRUE	10000	0	1	156	1330	1379	Mersenne-Twister/Inversion/Rejection	R version 4.4.1 (2024-06-14 ucrt)	Chinese (Simplified)_China.utf8
