cell	role	known_kb	locus_kb	bg_loci	bg_known	sig_loci	sig_known	fold	fisher_p	mismatch_fold	mismatch_p	control
melanoma x Soskic_CD4	main	100	1000	655	15	8	4	21.83	1.19067757570557e-05	0	1	clean
melanoma x Soskic_CD4	main	250	1000	655	31	8	4	10.56	0.00025325346605341	0	1	clean
melanoma x Soskic_CD4	main	500	1000	655	46	8	4	7.12	0.0012164606541685	0	1	clean
melanoma x Soskic_CD4	main	1000	1000	655	66	8	4	4.96	0.00484067292102242	0	1	clean
melanoma x eQTLGen_blood	main	100	1000	1678	71	34	19	13.21	7.36778395329799e-19	4.11	0.0344009002000198	FAILED
melanoma x eQTLGen_blood	main	250	1000	1678	99	34	20	9.97	2.70572954435171e-17	3.44	0.0540223021849913	clean
melanoma x eQTLGen_blood	main	500	1000	1678	128	34	21	8.1	2.74664114823435e-16	2.55	0.110151807259835	clean
melanoma x eQTLGen_blood	main	1000	1000	1678	180	34	23	6.31	1.34733811096808e-15	1.59	0.290590161170249	clean
HCC_high x Soskic_CD4	main	100	1000	646	8	2	0	0	1	0	1	clean
HCC_high x Soskic_CD4	main	250	1000	646	18	2	1	17.94	0.0549931600547195	0	1	clean
HCC_high x Soskic_CD4	main	500	1000	646	23	2	1	14.04	0.0699930400556795	0	1	clean
HCC_high x Soskic_CD4	main	1000	1000	646	41	2	1	7.88	0.122999016007872	0	1	clean
HCC_high x eQTLGen_blood	main	100	1000	1666	37	5	2	18.01	0.00460299796303263	0	1	clean
HCC_high x eQTLGen_blood	main	250	1000	1666	44	5	3	22.72	0.0001658529053846	0	1	clean
HCC_high x eQTLGen_blood	main	500	1000	1666	58	5	3	17.23	0.000381456564718373	0	1	clean
HCC_high x eQTLGen_blood	main	1000	1000	1666	92	5	3	10.87	0.00150414083167835	0	1	clean
RA x Soskic_CD4	main	100	1000	641	15	41	7	7.3	1.15277893722951e-05	4.17	0.0117794146678062	FAILED
RA x Soskic_CD4	main	250	1000	641	35	41	14	6.25	1.73718891937902e-09	3.03	0.0104566659976225	FAILED
RA x Soskic_CD4	main	500	1000	641	46	41	14	4.76	1.12581084269688e-07	2.38	0.0212520490839417	FAILED
RA x Soskic_CD4	main	1000	1000	641	64	41	16	3.91	2.33226619689043e-07	1.71	0.10241284647765	clean
RA x eQTLGen_blood	main	100	1000	1678	62	109	27	6.7	1.57881621094681e-17	2.39	0.0048815367861399	FAILED
RA x eQTLGen_blood	main	250	1000	1678	85	109	32	5.8	1.76960726606518e-18	2.02	0.00956440733904772	FAILED
RA x eQTLGen_blood	main	500	1000	1678	110	109	36	5.04	1.7388900224933e-18	1.92	0.00663714577996953	FAILED
RA x eQTLGen_blood	main	1000	1000	1678	164	109	42	3.94	3.25522920094405e-17	2.05	0.000289447282199804	FAILED
HCC_low x Soskic_CD4	power sensitivity	100	1000	666	8	2	1	41.62	0.0238975817923185	0	1	clean
HCC_low x Soskic_CD4	power sensitivity	250	1000	666	17	2	2	39.18	0.000614147982569035	0	1	clean
HCC_low x Soskic_CD4	power sensitivity	500	1000	666	22	2	2	30.27	0.00104314841156947	0	1	clean
HCC_low x Soskic_CD4	power sensitivity	1000	1000	666	43	2	2	15.49	0.00407776197249882	0	1	clean
HCC_low x eQTLGen_blood	power sensitivity	100	1000	1678	36	4	2	23.31	0.00261443077510187	0	1	clean
HCC_low x eQTLGen_blood	power sensitivity	250	1000	1678	43	4	2	19.51	0.00372626199821915	0	1	clean
HCC_low x eQTLGen_blood	power sensitivity	500	1000	1678	58	4	2	14.47	0.00673885463402595	0	1	clean
HCC_low x eQTLGen_blood	power sensitivity	1000	1000	1678	93	4	3	13.53	0.000633737339612804	2.33	0.36511867117564	clean
