cell	role	list_name	relation	bg_loci	bg_known	sig_loci	sig_known	fold	fisher_p
melanoma x Soskic_CD4	main	melanoma	own outcome	655	66	8	4	4.96	0.00484067292102242
melanoma x Soskic_CD4	main	HCC	unrelated control	655	43	8	0	0	1
melanoma x Soskic_CD4	main	colorectal	unrelated control	655	208	8	1	0.39	0.953888552952008
melanoma x Soskic_CD4	main	prostate	unrelated control	655	264	8	4	1.24	0.412692819380494
melanoma x Soskic_CD4	main	breast	unrelated control	655	190	8	5	2.15	0.0495210257219799
melanoma x Soskic_CD4	main	lung	unrelated control	655	68	8	0	0	1
melanoma x Soskic_CD4	main	RA	unrelated control	655	66	8	0	0	1
melanoma x eQTLGen_blood	main	melanoma	own outcome	1678	180	34	23	6.31	1.34733811096808e-15
melanoma x eQTLGen_blood	main	HCC	unrelated control	1678	93	34	3	1.59	0.290590161170249
melanoma x eQTLGen_blood	main	colorectal	unrelated control	1678	513	34	13	1.25	0.211774304694223
melanoma x eQTLGen_blood	main	prostate	unrelated control	1678	640	34	24	1.85	0.000108738798779709
melanoma x eQTLGen_blood	main	breast	unrelated control	1678	496	34	22	2.19	1.92421511593176e-05
melanoma x eQTLGen_blood	main	lung	unrelated control	1678	155	34	7	2.23	0.0317967185901052
melanoma x eQTLGen_blood	main	RA	unrelated control	1678	164	34	7	2.11	0.0416555910827965
HCC_high x Soskic_CD4	main	melanoma	unrelated control	646	65	2	0	0	1
HCC_high x Soskic_CD4	main	HCC	own outcome	646	41	2	1	7.88	0.122999016007872
HCC_high x Soskic_CD4	main	colorectal	unrelated control	646	195	2	1	1.66	0.512923896608827
HCC_high x Soskic_CD4	main	prostate	unrelated control	646	261	2	1	1.24	0.645186838505292
HCC_high x Soskic_CD4	main	breast	unrelated control	646	185	2	1	1.75	0.491060071519428
HCC_high x Soskic_CD4	main	lung	unrelated control	646	68	2	0	0	1
HCC_high x Soskic_CD4	main	RA	unrelated control	646	66	2	0	0	1
HCC_high x eQTLGen_blood	main	melanoma	unrelated control	1666	180	5	0	0	1
HCC_high x eQTLGen_blood	main	HCC	own outcome	1666	92	5	3	10.87	0.00150414083167835
HCC_high x eQTLGen_blood	main	colorectal	unrelated control	1666	510	5	3	1.96	0.170958182901946
HCC_high x eQTLGen_blood	main	prostate	unrelated control	1666	634	5	3	1.58	0.284171207100982
HCC_high x eQTLGen_blood	main	breast	unrelated control	1666	493	5	4	2.7	0.0290650436254836
HCC_high x eQTLGen_blood	main	lung	unrelated control	1666	155	5	1	2.15	0.386690884292845
HCC_high x eQTLGen_blood	main	RA	unrelated control	1666	163	5	1	2.04	0.40277679767851
RA x Soskic_CD4	main	melanoma	unrelated control	641	64	41	7	1.71	0.10241284647765
RA x Soskic_CD4	main	HCC	unrelated control	641	41	41	8	3.05	0.00276618147944775
RA x Soskic_CD4	main	colorectal	unrelated control	641	201	41	22	1.71	0.00181423444957947
RA x Soskic_CD4	main	prostate	unrelated control	641	259	41	23	1.39	0.0264116356964167
RA x Soskic_CD4	main	breast	unrelated control	641	185	41	20	1.69	0.00422748810117695
RA x Soskic_CD4	main	lung	unrelated control	641	66	41	14	3.32	1.52650864632063e-05
RA x Soskic_CD4	main	RA	own outcome	641	64	41	16	3.91	2.33226619689043e-07
RA x eQTLGen_blood	main	melanoma	unrelated control	1678	180	109	24	2.05	0.000289447282199804
RA x eQTLGen_blood	main	HCC	unrelated control	1678	93	109	18	2.98	1.32097612678212e-05
RA x eQTLGen_blood	main	colorectal	unrelated control	1678	513	109	45	1.35	0.00923215448072231
RA x eQTLGen_blood	main	prostate	unrelated control	1678	640	109	62	1.49	3.17403910909239e-05
RA x eQTLGen_blood	main	breast	unrelated control	1678	496	109	55	1.71	1.71973118731647e-06
RA x eQTLGen_blood	main	lung	unrelated control	1678	155	109	24	2.38	2.35899969845959e-05
RA x eQTLGen_blood	main	RA	own outcome	1678	164	109	42	3.94	3.25522920094405e-17
HCC_low x Soskic_CD4	power sensitivity	melanoma	unrelated control	666	67	2	0	0	1
HCC_low x Soskic_CD4	power sensitivity	HCC	own outcome	666	43	2	2	15.49	0.00407776197249882
HCC_low x Soskic_CD4	power sensitivity	colorectal	unrelated control	666	208	2	2	3.2	0.0972160130054867
HCC_low x Soskic_CD4	power sensitivity	prostate	unrelated control	666	269	2	2	2.48	0.162776310144731
HCC_low x Soskic_CD4	power sensitivity	breast	unrelated control	666	192	2	1	1.73	0.493774977985504
HCC_low x Soskic_CD4	power sensitivity	lung	unrelated control	666	69	2	0	0	1
HCC_low x Soskic_CD4	power sensitivity	RA	unrelated control	666	67	2	0	0	1
HCC_low x eQTLGen_blood	power sensitivity	melanoma	unrelated control	1678	180	4	1	2.33	0.36511867117564
HCC_low x eQTLGen_blood	power sensitivity	HCC	own outcome	1678	93	4	3	13.53	0.000633737339612804
HCC_low x eQTLGen_blood	power sensitivity	colorectal	unrelated control	1678	513	4	3	2.45	0.0878385027787144
HCC_low x eQTLGen_blood	power sensitivity	prostate	unrelated control	1678	640	4	3	1.97	0.158173055126368
HCC_low x eQTLGen_blood	power sensitivity	breast	unrelated control	1678	496	4	2	1.69	0.34046973643214
HCC_low x eQTLGen_blood	power sensitivity	lung	unrelated control	1678	155	4	0	0	1
HCC_low x eQTLGen_blood	power sensitivity	RA	unrelated control	1678	164	4	0	0	1
