list_name	bg_loci	bg_known	sig_loci	sig_known	fold	fisher_p	cell	swept	kb	relation
melanoma	655	15	8	4	21.83	1.19067757570557e-05	melanoma x Soskic_CD4	known_kb	100	own outcome
HCC	655	8	8	0	0	1	melanoma x Soskic_CD4	known_kb	100	unrelated control
colorectal	655	50	8	0	0	1	melanoma x Soskic_CD4	known_kb	100	unrelated control
prostate	655	71	8	2	2.31	0.211636465187704	melanoma x Soskic_CD4	known_kb	100	unrelated control
breast	655	48	8	4	6.82	0.00143559878616201	melanoma x Soskic_CD4	known_kb	100	unrelated control
lung	655	22	8	0	0	1	melanoma x Soskic_CD4	known_kb	100	unrelated control
RA	655	16	8	0	0	1	melanoma x Soskic_CD4	known_kb	100	unrelated control
melanoma	1119	102	9	5	6.09	0.000536212521131746	melanoma x Soskic_CD4	locus_kb	100	own outcome
HCC	1119	85	9	0	0	1	melanoma x Soskic_CD4	locus_kb	100	unrelated control
colorectal	1119	337	9	1	0.37	0.960795897048501	melanoma x Soskic_CD4	locus_kb	100	unrelated control
prostate	1119	442	9	3	0.84	0.759684796047709	melanoma x Soskic_CD4	locus_kb	100	unrelated control
breast	1119	314	9	6	2.38	0.0176785349317488	melanoma x Soskic_CD4	locus_kb	100	unrelated control
lung	1119	126	9	0	0	1	melanoma x Soskic_CD4	locus_kb	100	unrelated control
RA	1119	113	9	0	0	1	melanoma x Soskic_CD4	locus_kb	100	unrelated control
melanoma	655	31	8	4	10.56	0.00025325346605341	melanoma x Soskic_CD4	known_kb	250	own outcome
HCC	655	17	8	0	0	1	melanoma x Soskic_CD4	known_kb	250	unrelated control
colorectal	655	87	8	0	0	1	melanoma x Soskic_CD4	known_kb	250	unrelated control
prostate	655	131	8	3	1.88	0.202062930730611	melanoma x Soskic_CD4	known_kb	250	unrelated control
breast	655	87	8	5	4.71	0.00149977099411566	melanoma x Soskic_CD4	known_kb	250	unrelated control
lung	655	34	8	0	0	1	melanoma x Soskic_CD4	known_kb	250	unrelated control
RA	655	35	8	0	0	1	melanoma x Soskic_CD4	known_kb	250	unrelated control
melanoma	941	91	8	4	5.17	0.00423754501347866	melanoma x Soskic_CD4	locus_kb	250	own outcome
HCC	941	63	8	0	0	1	melanoma x Soskic_CD4	locus_kb	250	unrelated control
colorectal	941	279	8	1	0.42	0.940753136056808	melanoma x Soskic_CD4	locus_kb	250	unrelated control
prostate	941	368	8	3	0.96	0.666520615647141	melanoma x Soskic_CD4	locus_kb	250	unrelated control
breast	941	263	8	5	2.24	0.0427608844214272	melanoma x Soskic_CD4	locus_kb	250	unrelated control
lung	941	95	8	0	0	1	melanoma x Soskic_CD4	locus_kb	250	unrelated control
RA	941	91	8	0	0	1	melanoma x Soskic_CD4	locus_kb	250	unrelated control
melanoma	655	46	8	4	7.12	0.0012164606541685	melanoma x Soskic_CD4	known_kb	500	own outcome
HCC	655	22	8	0	0	1	melanoma x Soskic_CD4	known_kb	500	unrelated control
colorectal	655	139	8	0	0	1	melanoma x Soskic_CD4	known_kb	500	unrelated control
