coverage	path	n_rep	retention	R	n_eff_ext	cases_if_large_control	median_sig_loci	pct_ge8	pct_pass	qualifies
1	fast	10000	0.5	0.5	24668	6167	3	0.58	0.43	FALSE
1	fast	10000	0.5	1	49337	12334	5	19.94	13.57	FALSE
1	fast	10000	0.5	1.5	74006	18501	10	75.97	57.86	FALSE
1	fast	10000	0.5	2	98674	24668	21	98.61	80.22	TRUE
1	fast	10000	0.5	3	148011	37003	57	100	90.76	TRUE
1	fast	10000	0.5	4	197348	49337	102	100	94.21	TRUE
1	fast	10000	0.5	5	246685	61671	146	100	94.22	TRUE
1	fast	10000	0.5	6	296022	74006	186	100	93.43	TRUE
1	fast	10000	0.5	8	394696	98674	251	100	88.07	TRUE
1	fast	10000	0.5	10	493370	123342	300	100	82.12	TRUE
1	fast	10000	0.5	12	592044	148011	338	100	75.69	FALSE
1	fast	10000	0.5	16	789392	197348	392	100	63.94	FALSE
1	fast	10000	0.75	0.5	24668	6167	6	32.86	23.18	FALSE
1	fast	10000	0.75	1	49337	12334	28	99.91	83.89	TRUE
1	fast	10000	0.75	1.5	74006	18501	73	100	93.06	TRUE
1	fast	10000	0.75	2	98674	24668	124	100	94.53	TRUE
1	fast	10000	0.75	3	148011	37003	213	100	91.59	TRUE
1	fast	10000	0.75	4	197348	49337	278	100	84.57	TRUE
1	fast	10000	0.75	5	246685	61671	325	100	78.11	FALSE
1	fast	10000	0.75	6	296022	74006	361	100	70.97	FALSE
1	fast	10000	0.75	8	394696	98674	412	100	59.83	FALSE
1	fast	10000	0.75	10	493370	123342	446	100	51.27	FALSE
1	fast	10000	0.75	12	592044	148011	471	100	44.23	FALSE
1	fast	10000	0.75	16	789392	197348	505	100	33.13	FALSE
1	fast	10000	1	0.5	24668	6167	21	98.69	80.51	TRUE
1	fast	10000	1	1	49337	12334	102	100	94.53	TRUE
1	fast	10000	1	1.5	74006	18501	186	100	92.96	TRUE
1	fast	10000	1	2	98674	24668	252	100	87.99	TRUE
1	fast	10000	1	3	148011	37003	338	100	75.64	FALSE
1	fast	10000	1	4	197348	49337	391	100	64.12	FALSE
1	fast	10000	1	5	246685	61671	429	100	56.02	FALSE
1	fast	10000	1	6	296022	74006	455	100	49.43	FALSE
1	fast	10000	1	8	394696	98674	491	100	38.23	FALSE
1	fast	10000	1	10	493370	123342	515	100	29.98	FALSE
1	fast	10000	1	12	592044	148011	532.5	100	24.53	FALSE
1	fast	10000	1	16	789392	197348	555	100	18.5	FALSE
0.95	exact	2000	0.5	4	197348	49337	98	100	93.55	TRUE
0.95	exact	2000	0.5	6	296022	74006	179	100	92.85	TRUE
0.95	exact	2000	0.5	8	394696	98674	244	100	88.3	TRUE
0.95	exact	2000	0.5	10	493370	123342	291	100	82.15	TRUE
0.95	exact	2000	0.5	12	592044	148011	328	100	76.5	FALSE
0.95	exact	2000	0.5	16	789392	197348	381	100	63.3	FALSE
