cell	n_eff_disc	g	R_at_f1	R_at_f0.5	n_eff_needed_f0.5	sig_loci	sig_known	fold	fisher_p	meets_8	passes
melanoma x Soskic_CD4	49337	1	1	4	197346	8	4	4.96212121212121	0.00484067292102242	TRUE	TRUE
melanoma x Soskic_CD4	49337	1.25	1.5625	6.25	308354	57	15	2.61164274322169	0.000184142460669825	TRUE	TRUE
melanoma x Soskic_CD4	49337	1.5	2.25	9	444029	169	31	1.82042316657701	7.1574138821713e-05	TRUE	TRUE
melanoma x Soskic_CD4	49337	1.75	3.0625	12.25	604373	260	35	1.33595571095571	0.0144925016022944	TRUE	TRUE
melanoma x Soskic_CD4	49337	2	4	16	789385	326	41	1.24814091838632	0.0231902700719639	TRUE	TRUE
melanoma x Soskic_CD4	49337	2.5	6.25	25	1233415	416	50	1.1928175990676	0.0185106230115819	TRUE	TRUE
melanoma x Soskic_CD4	49337	3	9	36	1776117	477	54	1.12349914236707	0.0526916255715868	TRUE	FALSE
melanoma x Soskic_CD4	49337	3.5	12.25	49	2417493	519	56	1.07082384539032	0.152092232125067	TRUE	FALSE
melanoma x Soskic_CD4	49337	4	16	64	3157542	538	57	1.0514531936465	0.222519163182399	TRUE	FALSE
HCC_high x Soskic_CD4	14962	1	1	4	59848	2	1	7.87804878048781	0.122999016007872	FALSE	FALSE
HCC_high x Soskic_CD4	14962	1.25	1.5625	6.25	93512	14	2	2.25087108013937	0.221084747309101	TRUE	FALSE
HCC_high x Soskic_CD4	14962	1.5	2.25	9	134657	96	9	1.47713414634146	0.138339215675549	TRUE	FALSE
HCC_high x Soskic_CD4	14962	1.75	3.0625	12.25	183283	198	15	1.19364375461936	0.246043362401482	TRUE	FALSE
HCC_high x Soskic_CD4	14962	2	4	16	239390	272	21	1.21646341463415	0.145167215669632	TRUE	FALSE
HCC_high x Soskic_CD4	14962	2.5	6.25	25	374047	391	25	1.00742311770944	0.545452271695824	TRUE	FALSE
HCC_high x Soskic_CD4	14962	3	9	36	538628	456	30	1.03658536585366	0.429845208718211	TRUE	FALSE
HCC_high x Soskic_CD4	14962	3.5	12.25	49	733132	506	35	1.08984864552203	0.176026371946342	TRUE	FALSE
HCC_high x Soskic_CD4	14962	4	16	64	957560	534	36	1.06220882433543	0.253852371995155	TRUE	FALSE
