row	list_name	relation	bg_loci	bg_known	sig_loci	sig_known	fold	fisher_p
Melanoma	melanoma	own outcome	655	66	8	4	4.96212121212121	0.00484067292102242
Melanoma	HCC	unrelated control	655	43	8	0	0	1
Melanoma	colorectal	unrelated control	655	208	8	1	0.393629807692308	0.953888552952008
Melanoma	prostate	unrelated control	655	264	8	4	1.2405303030303	0.412692819380494
Melanoma	breast	unrelated control	655	190	8	5	2.15460526315789	0.0495210257219799
Melanoma	lung	unrelated control	655	68	8	0	0	1
Lung	melanoma	unrelated control	655	66	10	3	2.97727272727273	0.0700454656294981
Lung	HCC	unrelated control	655	43	10	1	1.52325581395349	0.495357749894642
Lung	colorectal	unrelated control	655	208	10	4	1.25961538461538	0.397420139058179
Lung	prostate	unrelated control	655	264	10	3	0.744318181818182	0.839559016672791
Lung	breast	unrelated control	655	190	10	3	1.03421052631579	0.591606553417181
Lung	lung	own outcome	655	68	10	4	3.85294117647059	0.0138094424084657
Colorectal	melanoma	unrelated control	655	66	6	1	1.6540404040404	0.472620941222395
Colorectal	HCC	unrelated control	655	43	6	0	0	1
Colorectal	colorectal	own outcome	655	208	6	6	3.14903846153846	0.000975678638489542
Colorectal	prostate	unrelated control	655	264	6	2	0.827020202020202	0.772633900224031
Colorectal	breast	unrelated control	655	190	6	3	1.72368421052632	0.236769908799111
Colorectal	lung	unrelated control	655	68	6	2	3.21078431372549	0.121111039826899
Breast	melanoma	unrelated control	655	66	23	4	1.72595520421607	0.193421783076753
Breast	HCC	unrelated control	655	43	23	4	2.64914054600607	0.057063583113941
Breast	colorectal	unrelated control	655	208	23	14	1.91680602006689	0.00323812610357068
Breast	prostate	unrelated control	655	264	23	10	1.07872200263505	0.455332571432829
Breast	breast	own outcome	655	190	23	15	2.24828375286041	0.000264878884530407
Breast	lung	unrelated control	655	68	23	5	2.09398976982097	0.0794865558300317
Prostate	melanoma	unrelated control	655	66	28	6	2.12662337662338	0.052708544064955
Prostate	HCC	unrelated control	655	43	28	4	2.17607973421927	0.103868745484613
Prostate	colorectal	unrelated control	655	208	28	15	1.68698489010989	0.0119119418328864
Prostate	prostate	own outcome	655	264	28	23	2.03801406926407	4.65844096892307e-06
Prostate	breast	unrelated control	655	190	28	14	1.72368421052632	0.0135451786716462
Prostate	lung	unrelated control	655	68	28	8	2.75210084033613	0.00509808859833879
Pancreas	melanoma	unrelated control	655	66	0	0	NA	NA
Pancreas	HCC	unrelated control	655	43	0	0	NA	NA
Pancreas	colorectal	unrelated control	655	208	0	0	NA	NA
Pancreas	prostate	unrelated control	655	264	0	0	NA	NA
Pancreas	breast	unrelated control	655	190	0	0	NA	NA
Pancreas	lung	unrelated control	655	68	0	0	NA	NA
