setting	list_name	bg_known	bg_loci	bg_share	n_rep	rejection_rate	mcse	median_sig_loci	median_fold	median_A	verdict
null (circular shift)	melanoma	66	655	0.100763358778626	10000	0.0357	0.00185541127516246	10	0.992424242424243	-0.000848896434634967	calibrated
null (circular shift)	lung	68	655	0.10381679389313	10000	0.0048	0.000691155554126566	10	0.875668449197861	-0.0144029735171132	conservative
null (circular shift)	breast	190	655	0.290076335877863	10000	0.0272	0.00162665792347377	10	0.940191387559809	-0.0244379276637341	conservative
null (circular shift)	colorectal	208	655	0.317557251908397	10000	0.0105	0.00101930123123638	10	0.787259615384615	-0.098993288590604	conservative
null (circular shift)	prostate	264	655	0.403053435114504	10000	0.0394	0.00194544699233878	10	1.1026936026936	0.069337880079568	calibrated
null (circular shift)	HCC	43	655	0.0656488549618321	10000	0.0177	0.00131858674344921	10	0	-0.0702614379084967	conservative
alt g=1.25	melanoma	66	655	0.100763358778626	10000	0.5285	0.00499187089175992	15	2.75673400673401	0.196849651009244	-
alt g=1.25	lung	68	655	0.10381679389313	10000	0.7536	0.00430914190993984	18	3.21078431372549	0.25610448608745	-
alt g=1.25	breast	190	655	0.290076335877863	10000	0.9194	0.00272219837631279	25	2.046875	0.427755376344086	-
alt g=1.25	colorectal	208	655	0.317557251908397	10000	0.9473	0.00223433905215838	28	1.98272792022792	0.457287264893529	-
alt g=1.25	prostate	264	655	0.403053435114504	10000	0.9697	0.00171411522366497	29	1.82430926916221	0.556566872273206	-
alt g=1.25	HCC	43	655	0.0656488549618321	10000	0.4518	0.0049767133733017	14	3.04651162790698	0.143790849673203	-
alt g=1.50	melanoma	66	655	0.100763358778626	10000	0.995	0.000705336798983295	25	4.96212121212121	0.443972835314092	-
alt g=1.50	lung	68	655	0.10381679389313	10000	0.9999	9.99949998749882e-05	29	4.98225152129818	0.461317041649533	-
alt g=1.50	breast	190	655	0.290076335877863	10000	1	0	60	2.60064635272392	0.654027541973213	-
alt g=1.50	colorectal	208	655	0.317557251908397	10000	1	0	66	2.46270956607495	0.680634428956577	-
alt g=1.50	prostate	264	655	0.403053435114504	10000	1	0	81	2.08409090909091	0.731969309462916	-
alt g=1.50	HCC	43	655	0.0656488549618321	10000	0.9738	0.00159729646590732	22	5.85867620751342	0.341377576671694	-
alt g=2.00	melanoma	66	655	0.100763358778626	10000	1	0	51	6.10722610722611	0.572286796395455	-
alt g=2.00	lung	68	655	0.10381679389313	10000	1	0	54	6.12967914438503	0.594238810593155	-
alt g=2.00	breast	190	655	0.290076335877863	10000	1	0	129	2.73684210526316	0.709677419354839	-
alt g=2.00	colorectal	208	655	0.317557251908397	10000	1	0	136	2.54575192648663	0.719276064226443	-
alt g=2.00	prostate	264	655	0.403053435114504	10000	1	0	168	2.10471995233231	0.745897870628466	-
alt g=2.00	HCC	43	655	0.0656488549618321	10000	1	0	42	8.06429548563611	0.496347558631296	-
