pmc	chars	cis	wald	ivw	wmedian	egger	mode	single
PMC10554754	142302	1	0	1	0	1	0	1
PMC10844634	56926	1	1	1	1	1	1	1
PMC10985171	49763	0	0	1	1	1	1	0
PMC11047424	57661	1	1	1	0	1	0	0
PMC11118997	31076	1	1	1	1	1	1	1
PMC11187347	54107	0	0	0	0	0	0	1
PMC11261789	35476	1	1	1	0	1	0	1
PMC11269132	65931	0	1	1	1	1	1	1
PMC11284051	36103	0	1	1	1	1	0	0
PMC11310057	78671	1	1	1	1	1	0	1
PMC11390638	66495	0	0	1	0	1	0	0
PMC11443760	59930	1	1	1	1	1	1	0
PMC11446024	42343	1	1	0	0	0	0	0
PMC11463126	39908	1	0	1	1	1	0	0
PMC11606077	57481	0	0	0	0	0	0	0
PMC11667973	19330	1	0	1	1	0	0	0
PMC11668092	45554	1	1	1	1	1	0	0
PMC11703992	109952	0	1	1	1	1	1	1
PMC11720623	46346	1	0	1	1	1	1	0
PMC11725218	78505	1	0	1	1	0	1	1
PMC11741481	70854	1	0	0	0	0	0	0
PMC11746978	64422	0	0	1	1	1	1	0
PMC11771784	43392	0	0	0	0	0	0	0
PMC11802419	41931	1	0	1	1	1	1	1
PMC11821612	40944	1	0	1	0	0	0	0
PMC11825984	75382	0	1	1	1	0	0	0
PMC11834470	67644	1	0	0	0	0	0	0
PMC11867302	71362	1	1	1	0	0	0	0
PMC11909985	54729	1	1	1	0	1	0	1
PMC11914663	92088	1	1	1	1	1	1	1
PMC11927037	40925	1	0	1	1	1	0	0
PMC11937463	60530	0	1	1	1	1	0	0
PMC11938603	74706	1	1	1	1	1	0	1
PMC11939929	44583	0	0	0	0	0	0	0
PMC11976564	43677	0	1	1	0	1	0	0
PMC11983800	93701	0	1	1	1	1	1	1
PMC12000963	50464	1	0	1	1	1	1	0
PMC12039192	61199	1	1	1	0	1	0	1
PMC12074789	97712	0	0	0	1	0	0	0
PMC12074867	38724	0	0	1	1	0	0	0
PMC12081795	66964	1	0	0	0	0	0	1
PMC12121511	53391	0	0	1	1	0	1	1
PMC12130657	39943	0	0	1	1	1	1	1
PMC12149120	73584	1	1	1	0	1	0	0
PMC12150496	123516	0	0	1	1	1	1	1
PMC12181140	4066	0	0	0	0	0	0	0
PMC12184172	44991	1	1	1	1	1	1	1
PMC12217002	55752	0	0	1	0	1	0	0
PMC12231756	58230	0	0	0	0	0	0	0
PMC12231758	70419	1	0	1	1	1	1	0
PMC12256824	63626	0	1	1	0	0	0	1
PMC12257706	95175	1	0	0	0	0	0	0
PMC12257857	40175	0	0	0	0	0	0	1
PMC12270988	43692	0	1	0	0	0	0	0
PMC12275929	95389	1	0	1	1	1	0	0
PMC12323976	38279	0	0	1	0	1	0	0
PMC12327419	50657	0	0	1	1	1	1	0
PMC12329876	61538	1	1	1	1	1	1	0
PMC12391104	75533	1	0	0	0	0	0	1
PMC12425328	45412	0	0	1	1	1	1	0
PMC12459491	48106	1	0	0	0	0	0	0
PMC12463778	72287	0	0	1	1	1	1	1
PMC12487071	88937	1	1	1	0	0	0	1
PMC12487246	65005	1	0	1	1	1	1	1
PMC12511179	51165	1	1	1	1	1	1	1
PMC12511739	39201	0	0	1	0	1	0	0
PMC12540756	84814	1	1	1	0	0	0	1
PMC12540951	62464	1	1	1	1	1	0	1
PMC12549628	70809	0	0	1	1	1	1	0
PMC12552295	82310	1	1	1	1	1	0	0
PMC12572761	95832	1	0	0	0	0	0	1
PMC12582833	32839	1	1	1	0	1	0	1
PMC12584030	43977	1	1	1	1	1	1	0
PMC12595268	57751	0	0	1	1	1	0	0
PMC12595932	45011	1	1	1	1	1	1	1
PMC12599766	42726	0	0	1	1	1	1	0
PMC12613605	58506	1	1	1	1	1	1	1
