phase	step	status	rc
1	cqtna testthat	ok	0
1	step127 numbers (pre)	ok	0
1	step153 pre-registrations (pre)	ok	0
1	step154 cross-references (pre)	ok	0
1	step155 reference order (pre)	ok	0
2	step140 identity	ok	0
2	step141 decomposition	ok	0
2	step101 effect-size matching	ok	0
2	step147 fine-mapping	ok	0
2	step151 corpus scan	ok	0
2	step156 C6 score	ok	0
2	step158 visibility	not rerunnable	2
2	step120_tpi1_window.py	not rerunnable	1
2	step121_window_sensitivity.py	not rerunnable	1
2	step122_locus_convention_recheck.py	not rerunnable	1
2	step123_fixed_centre_grid.R	ok	0
2	step124_cells.R	ok	0
2	step124_full_grid.R	ok	0
2	step125_mismatch_loci.R	ok	0
2	step126_recompute_on_fixed_anchor.R	ok	0
2	step128_window_sensitivity_fixed_anchor.R	ok	0
2	step129_selfcheck_on_fixed_anchor.R	ok	0
2	step130_multilist_control.R	ok	0
2	step131_render_s38_scan.py	ok	0
2	step132_external_power_gate.R	ok	0
2	step133_projection_reading_b.R	ok	0
2	step134_candidate_cohorts.R	ok	0
2	step135_hcc_gate_distance.R	ok	0
2	step137_rebuild_known_lists.py	ok	0
2	step138_transport_grid.R	ok	0
2	step139_transport_independence.R	ok	0
2	step142_power_matched_transport.R	ok	0
2	step144_relaxed_outcome_lookup.py	ok	0
2	step145_method_benchmark.R	ok	0
2	step146_extend_finemapping.py	ok	0
2	step148_publish_litaudit.py	ok	0
2	step149_typeI_calibration.R	ok	0
2	step85e_matched_background.py	not rerunnable	1
3	step127 numbers (post)	ok	0
3	step153 pre-registrations (post)	ok	0
3	step154 cross-references (post)	ok	0
3	step155 reference order (post)	ok	0
