variable	decile	a	b	c	d
readable	0	20	15	388	838
readable	1	117	12	934	197
readable	2	169	14	986	91
readable	3	211	11	993	46
readable	4	248	7	958	47
readable	5	256	12	957	35
readable	6	246	11	974	30
readable	7	292	9	913	46
readable	8	310	22	884	44
readable	9	287	59	806	109
verifiable_kd	0	23	12	429	797
verifiable_kd	1	119	10	940	191
verifiable_kd	2	167	16	986	91
verifiable_kd	3	212	10	989	50
verifiable_kd	4	244	11	944	61
verifiable_kd	5	251	17	930	62
verifiable_kd	6	243	14	957	47
verifiable_kd	7	283	18	879	80
verifiable_kd	8	299	33	836	92
verifiable_kd	9	269	77	748	167
