table	where	baseline	container
141a_enrichment_decomposition.tsv	row 2 col 7	0.413019883209858	0.413019883209857
141a_enrichment_decomposition.tsv	row 3 col 7	0.413019883209858	0.413019883209857
141b_reviewer_conditioning.tsv	row 1 col 7	0.413019883209858	0.413019883209857
147a_finemap_decomposition.tsv	row 1 col 16	0.216203444629451	0.216203444640382
147a_finemap_decomposition.tsv	row 2 col 16	0.332827075622714	0.33282708555233
147a_finemap_decomposition.tsv	row 3 col 16	0.0400042166809043	0.0400042166776764
147a_finemap_decomposition.tsv	row 4 col 16	0.0737904574508604	0.0737904513601626
147a_finemap_decomposition.tsv	row 5 col 16	0.0248380096461265	0.0248380096421912
147a_finemap_decomposition.tsv	row 6 col 16	0.0819072572267837	0.0819072634105613
147a_finemap_decomposition.tsv	row 7 col 16	0.0123557477906081	0.0123557477911328
147a_finemap_decomposition.tsv	row 8 col 16	0.0381138028052072	0.0381138028059093
147a_finemap_decomposition.tsv	row 9 col 16	0.0318828113370417	0.031882811336564
147a_finemap_decomposition.tsv	row 10 col 16	0.0489052904933592	0.0489052904888072
147a_finemap_decomposition.tsv	row 11 col 16	0.0637335836382592	0.0637335836404272
147a_finemap_decomposition.tsv	row 12 col 16	0.0892528776562527	0.0892528776601279
147a_finemap_decomposition.tsv	row 13 col 16	0.0137316288706292	0.0137316288684284
147a_finemap_decomposition.tsv	row 14 col 16	0.0403785219357033	0.0403785219356818
85e_matched_background_fixed_anchor.tsv	row 6 col 6	3.545	3.514
85e_matched_background_fixed_anchor.tsv	row 6 col 7	6.489	6.546
