gene	SYMBOL	profile	cell	time	category	near	MR_OR	MR_p	MR_FDR	b_SMR	p_SMR	p_HEIDI	nsnp_HEIDI
ENSG00000090621	PABPC4	CD4_Memory_stim_16h	Memory	16h	潜在新位点		0.9226813331899189	0.011817325335842344	0.31256287055538473	-0.0804714	1.975433e-02	6.201520e-02	16
ENSG00000159479	MED8	CD4_Memory_stim_16h	Memory	16h	潜在新位点		0.8698946540455587	0.01066290956090199	0.30469602864155404	0.00748483	8.392681e-01	3.935408e-02	10
ENSG00000162613	FUBP1	CD4_Memory_stim_16h	Memory	16h	色素/发色通路	DNAJB4	0.9259701394146046	0.00042465594002727425	0.0593486593254975	-0.0769133	1.952801e-03	NA	NA
ENSG00000143575	HAX1	CD4_Memory_stim_16h	Memory	16h	痣数目通路	DCST2	1.0815317334903507	0.03769459003085529	0.44367585622632333	0.0636674	1.053082e-01	2.869329e-01	18
ENSG00000198734	F5	CD4_Memory_stim_16h	Memory	16h	潜在新位点		1.0810278274490661	0.010551209317476329	0.30469602864155404	0.0744164	2.054881e-02	3.112545e-03	10
ENSG00000235750	KIAA0040	CD4_Memory_stim_16h	Memory	16h	潜在新位点		0.9007600646716002	0.00018852583380390975	0.03528409815824753	-0.104025	1.308346e-03	3.027821e-01	18
ENSG00000198625	MDM4	CD4_Memory_stim_16h	Memory	16h	色素/发色通路	RP11-23I7.1	0.9162440831255375	0.00018068558334571883	0.03528409815824753	-0.0874725	9.393327e-04	4.326262e-02	9
ENSG00000143799	PARP1	CD4_Memory_stim_16h	Memory	16h	痣数目通路	PARP1	1.1639571749549598	1.3237477780592144e-08	5.884058873473208e-06	0.157081	5.787027e-05	7.176113e-01	12
ENSG00000079785	DDX1	CD4_Memory_stim_16h	Memory	16h	潜在新位点		1.092302305750468	0.04667770406972893	0.4664502934247178	0.0882877	5.894123e-02	2.155226e-01	6
ENSG00000163599	CTLA4	CD4_Memory_stim_16h	Memory	16h	潜在新位点		1.0687498126903803	0.02953873582422617	0.40399901765749485	0.0664896	3.500713e-02	9.848847e-02	20
ENSG00000155542	SETD9	CD4_Memory_stim_16h	Memory	16h	色素/发色通路	AC008940.1	0.9622893303837514	0.01760010790657851	0.3333034982529688	-0.0384401	2.167225e-02	1.307354e-02	20
ENSG00000124588	NQO2	CD4_Memory_stim_16h	Memory	16h	潜在新位点		0.9660570908390805	0.013857755027876673	0.31925415338981655	-0.0345323	1.799215e-02	1.510990e-01	20
ENSG00000079691	CARMIL1	CD4_Memory_stim_16h	Memory	16h	潜在新位点		0.9641295299948436	0.033934557053830305	0.42609757819184263	-0.0368218	4.651494e-02	NA	NA
ENSG00000186470	BTN3A2	CD4_Memory_stim_16h	Memory	16h	潜在新位点		0.9530845202424953	0.015049482330298791	0.31925415338981655	-0.0481066	1.786910e-02	5.467515e-01	20
ENSG00000198502	HLA-DRB5	CD4_Memory_stim_16h	Memory	16h	黑色素瘤已知位点	HLA-DQB2	0.970987927452297	0.01048030239870279	0.30469602864155404	-0.0210313	2.253605e-01	8.467010e-03	20
