id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	OR	OR_LCI	OR_UCI	FDR	SYMBOL	category
ENSG00000010626|CD4_Memory_stim_40h	finngen_rashkin_meta	Melanoma_meta	ENSG00000010626|CD4_Memory_stim_40h	Inverse variance weighted	3	-0.036182759171805	0.0232178192755599	0.119137338199444	0.964464012730949	0.921557887610251	1.00936777207259	0.168137372458892	LRRC23	潜在新位点
ENSG00000010626|CD4_Memory_stim_40h	finngen_rashkin_meta	Melanoma_meta	ENSG00000010626|CD4_Memory_stim_40h	Inverse variance weighted (multiplicative random effects)	3	-0.036182759171805	0.0232178192755599	0.119137338199444	0.964464012730949	0.921557887610251	1.00936777207259	0.166792273479221	LRRC23	潜在新位点
ENSG00000010626|CD4_Memory_stim_40h	finngen_rashkin_meta	Melanoma_meta	ENSG00000010626|CD4_Memory_stim_40h	Weighted median	3	-0.0418539847023353	0.0218483452342711	0.0554084821964221	0.95900980045119	0.918809249427621	1.00096924136796	0.0884113486412855	LRRC23	潜在新位点
ENSG00000010626|CD4_Memory_stim_5d	finngen_rashkin_meta	Melanoma_meta	ENSG00000010626|CD4_Memory_stim_5d	Inverse variance weighted	2	-0.0681517670065155	0.0213221797883922	0.00139209450871112	0.934118694420804	0.895884984830038	0.973984105149355	0.00919307694431869	LRRC23	潜在新位点
ENSG00000010626|CD4_Memory_stim_5d	finngen_rashkin_meta	Melanoma_meta	ENSG00000010626|CD4_Memory_stim_5d	Inverse variance weighted (multiplicative random effects)	2	-0.0681517670065155	0.0122526791675493	2.66405333929527e-08	0.934118694420804	0.911952824128596	0.956823327018267	1.86483733750669e-07	LRRC23	潜在新位点
ENSG00000035499|CD4_Naive_stim_40h	finngen_rashkin_meta	Melanoma_meta	ENSG00000035499|CD4_Naive_stim_40h	Inverse variance weighted	2	0.0866460131755654	0.0828794577518639	0.295816799017216	1.09051058500709	0.927003698179503	1.28285716480737	0.346273845003431	DEPDC1B	潜在新位点
ENSG00000035499|CD4_Naive_stim_40h	finngen_rashkin_meta	Melanoma_meta	ENSG00000035499|CD4_Naive_stim_40h	Inverse variance weighted (multiplicative random effects)	2	0.0866460131755654	0.0828794577518639	0.295816799017216	1.09051058500709	0.927003698179503	1.28285716480737	0.345119598853419	DEPDC1B	潜在新位点
ENSG00000041357|CD4_Naive_stim_16h	finngen_rashkin_meta	Melanoma_meta	ENSG00000041357|CD4_Naive_stim_16h	Inverse variance weighted	3	-0.0909591220252983	0.0451510257471649	0.0439515349728227	0.913055033976995	0.835725447022041	0.997539919409375	0.0795757856500016	PSMA4	潜在新位点
ENSG00000041357|CD4_Naive_stim_16h	finngen_rashkin_meta	Melanoma_meta	ENSG00000041357|CD4_Naive_stim_16h	Inverse variance weighted (multiplicative random effects)	3	-0.0909591220252983	0.0451510257471649	0.0439515349728227	0.913055033976995	0.835725447022041	0.997539919409375	0.0738746587650369	PSMA4	潜在新位点
ENSG00000041357|CD4_Naive_stim_16h	finngen_rashkin_meta	Melanoma_meta	ENSG00000041357|CD4_Naive_stim_16h	Weighted median	3	-0.102536139830747	0.0468928763955825	0.0287714626506758	0.902545531320773	0.823290488561978	0.989430155484875	0.0622316081036839	PSMA4	潜在新位点
ENSG00000042286|CD4_Memory_stim_40h	finngen_rashkin_meta	Melanoma_meta	ENSG00000042286|CD4_Memory_stim_40h	Inverse variance weighted	4	-0.0670888337778803	0.0339754830511574	0.0483107346753834	0.935112128103895	0.874869295321171	0.999503236430288	0.0849172485188902	AIFM2	潜在新位点
ENSG00000042286|CD4_Memory_stim_40h	finngen_rashkin_meta	Melanoma_meta	ENSG00000042286|CD4_Memory_stim_40h	Inverse variance weighted (multiplicative random effects)	4	-0.0670888337778803	0.0159155383991998	2.49441873228179e-05	0.935112128103895	0.906392096433144	0.964742185603883	0.000110512222316282	AIFM2	潜在新位点
