id.exposure	id.outcome	outcome	exposure	method	Q	Q_df	Q_pval
ENSG00000174749|CD4_Naive_stim_40h	finngen_rashkin_meta	Melanoma_meta	ENSG00000174749|CD4_Naive_stim_40h	Inverse variance weighted	1.09082500695213	5	0.954912575477302
ENSG00000180992|CD4_Naive_stim_16h	finngen_rashkin_meta	Melanoma_meta	ENSG00000180992|CD4_Naive_stim_16h	Inverse variance weighted	1.25963655428292	5	0.939029724966641
ENSG00000254635|CD4_Memory_stim_5d	finngen_rashkin_meta	Melanoma_meta	ENSG00000254635|CD4_Memory_stim_5d	Inverse variance weighted	1.11880498649771	2	0.571550467105999
ENSG00000155542|CD4_Memory_stim_16h	finngen_rashkin_meta	Melanoma_meta	ENSG00000155542|CD4_Memory_stim_16h	Inverse variance weighted	1.91739934234919	2	0.383391096480329
ENSG00000131507|CD4_Naive_stim_5d	finngen_rashkin_meta	Melanoma_meta	ENSG00000131507|CD4_Naive_stim_5d	Inverse variance weighted	3.37504323840608	3	0.33733384773201
ENSG00000155158|CD4_Memory_stim_5d	finngen_rashkin_meta	Melanoma_meta	ENSG00000155158|CD4_Memory_stim_5d	Inverse variance weighted	3.99700514774323	3	0.261787701532502
ENSG00000155158|CD4_Naive_stim_5d	finngen_rashkin_meta	Melanoma_meta	ENSG00000155158|CD4_Naive_stim_5d	Inverse variance weighted	2.62564918342481	3	0.4530106470696
ENSG00000064201|CD4_Memory_stim_40h	finngen_rashkin_meta	Melanoma_meta	ENSG00000064201|CD4_Memory_stim_40h	Inverse variance weighted	4.51440514546718	3	0.211008974674913
ENSG00000177465|CD4_Naive_uns_0h	finngen_rashkin_meta	Melanoma_meta	ENSG00000177465|CD4_Naive_uns_0h	Inverse variance weighted	4.85751681649486	5	0.433515525694104
ENSG00000165898|CD4_Memory_stim_40h	finngen_rashkin_meta	Melanoma_meta	ENSG00000165898|CD4_Memory_stim_40h	Inverse variance weighted	1.56446126432007	2	0.457384615716491
ENSG00000211812|CD4_Naive_stim_40h	finngen_rashkin_meta	Melanoma_meta	ENSG00000211812|CD4_Naive_stim_40h	Inverse variance weighted	9.99266151943005	5	0.0754434459651711
ENSG00000165410|CD4_Naive_uns_0h	finngen_rashkin_meta	Melanoma_meta	ENSG00000165410|CD4_Naive_uns_0h	Inverse variance weighted	2.78967124718426	5	0.732373132028775
