timepoint	gene	n_patient	rho_prolif	p_prolif	rho_exhaust	p_exhaust	FDR_prolif	FDR_exhaust
Pre	ZFYVE19	19	0.173684210526316	0.477017148882221	0.0315789473684211	0.897883203161019	0.477017148882221	0.971568935802999
Pre	SMC2	19	0.659649122807018	0.00212053114720393	0.308771929824562	0.198359433824935	0.0127231868832236	0.304407128288026
Pre	SPSB2	19	0.239016186347909	0.32437864066661	-0.305800120768649	0.202938085525351	0.389254368799932	0.304407128288026
Pre	TPI1	19	0.536842105263158	0.0177904519031712	0.703508771929825	0.000777271195126073	0.0355809038063423	0.00466362717075644
Pre	HLA-C	19	-0.612280701754386	0.00532742794148892	-0.333333333333333	0.163138852844047	0.0159822838244668	0.304407128288026
Pre	KIAA0040	19	0.396491228070175	0.0928337813785118	-0.0087719298245614	0.971568935802999	0.139250672067768	0.971568935802999
Post	ZFYVE19	25	0.386153846153846	0.0565685463587176	0.553846153846154	0.00407369946193392	0.0848528195380763	0.0122210983858018
Post	SMC2	25	0.761538461538462	9.79256823537189e-06	0.425384615384615	0.034013001096716	5.87554094122314e-05	0.0408156013160593
Post	SPSB2	25	0.19	0.362986538245939	0.386923076923077	0.0560361998966148	0.362986538245939	0.0560361998966148
Post	TPI1	25	0.690769230769231	0.000132077671996135	0.674615384615385	0.000216769937758721	0.00026415534399227	0.00130061962655233
Post	HLA-C	25	-0.72	4.95416048753053e-05	-0.497692307692308	0.0113554309557014	0.000148624814625916	0.0227108619114028
Post	KIAA0040	25	0.277692307692308	0.178952168772647	0.473076923076923	0.0169225338767499	0.214742602527177	0.0253838008151249
