timepoint	variable	n_R	n_NR	median_R	median_NR	diff	p	FDR
Pre	ZFYVE19	9	10	0.38474154198528	0.651534497201419	-0.266792955216139	0.347745598910698	0.347745598910698
Pre	SMC2	9	10	0.362118319954935	0.43883309456498	-0.0767147746100455	0.236444715572304	0.347745598910698
Pre	SPSB2	9	10	0.338145350661192	0.369214135628377	-0.0310687849671853	0.269502358156694	0.347745598910698
Pre	TPI1	9	10	3.52304695422134	4.85054014265453	-1.32749318843319	0.0127630075326412	0.03403468675371
Pre	HLA-C	9	10	6.64580360327734	6.57659817892039	0.0692054243569436	0.307434165927395	0.347745598910698
Pre	KIAA0040	9	10	0.754576181922595	0.867572047475569	-0.112995865552974	0.205667179617355	0.347745598910698
Pre	ProlifScore	9	10	0.2830253735062	0.765001773465333	-0.481976399959132	0.0101123339213335	0.03403468675371
Pre	ExhaustScore	9	10	1.57259545381213	2.49513767778494	-0.922542223972807	0.0127630075326412	0.03403468675371
Post	ZFYVE19	9	18	0.502305010336445	0.520977734821278	-0.0186727244848333	0.816961321715391	0.816961321715391
Post	SMC2	9	18	0.15415853104991	0.572299546714353	-0.418141015664443	0.0288182301302167	0.076848613680578
Post	SPSB2	9	18	0.309510719056639	0.400278062001019	-0.0907673429443803	0.129186851175455	0.172249134900607
Post	TPI1	9	18	3.10305203910798	4.59856175370587	-1.49550971459789	0.00185960366891672	0.0148768293513337
Post	HLA-C	9	18	6.69221722758438	6.59479207822951	0.0974251493548772	0.455788527055501	0.520901173777716
Post	KIAA0040	9	18	0.586078682000406	0.850203450895452	-0.264124768895046	0.0167704561263819	0.0670818245055277
Post	ProlifScore	9	18	0.357648141016086	0.559957105876108	-0.202308964860023	0.0848787467755344	0.169757493551069
Post	ExhaustScore	9	18	2.00614933778225	2.54354263023559	-0.537393292453344	0.129186851175455	0.172249134900607
