group	gene	n	rho_prolif	p_prolif	rho_exhaust	p_exhaust	FDR_prolif	FDR_exhaust
All	ZFYVE19	16	0.167647058823529	0.534856824581943	0.135294117647059	0.617367408970642	0.761048234809778	0.617367408970642
All	SMC2	16	0.597058823529412	0.014609731954981	0.611764705882353	0.0117884050531152	0.0876583917298863	0.0707304303186915
All	SPSB2	16	-0.0825962295681784	0.761048234809778	0.233039361995932	0.385069944072335	0.761048234809778	0.462083932886802
All	TPI1	16	0.182352941176471	0.4990748572458	0.435294117647059	0.0919523585057293	0.761048234809778	0.275857075517188
All	HLA-C	16	0.105882352941176	0.696334105038116	0.361764705882353	0.168558822503884	0.761048234809778	0.337117645007769
All	KIAA0040	16	-0.35	0.183868822026193	-0.235294117647059	0.380355801188657	0.55160646607858	0.462083932886802
treatment.naive	ZFYVE19	7	0.321428571428571	0.482072038299678	0.0357142857142857	0.939408205471286	0.723108057449517	1
treatment.naive	SMC2	7	0.392857142857143	0.383316870426973	0.714285714285714	0.0713435614675377	0.723108057449517	0.428061368805226
treatment.naive	SPSB2	7	-0.75	0.052181400457058	0.214285714285714	0.64451158102072	0.313088402742348	1
treatment.naive	TPI1	7	-0.0714285714285714	0.879048193148154	0	1	0.879048193148154	1
treatment.naive	HLA-C	7	-0.0714285714285714	0.879048193148154	0.285714285714286	0.534509228601041	0.879048193148154	1
treatment.naive	KIAA0040	7	-0.535714285714286	0.215217455678013	0	1	0.645652367034038	1
post.treatment	ZFYVE19	9	0	1	0.183333333333333	0.636819811762894	1	0.668231040071504
post.treatment	SMC2	9	0.566666666666667	0.111632987611491	0.6	0.0876228290414023	0.669797925668947	0.262868487124207
post.treatment	SPSB2	9	0.284521318976946	0.458068843705731	0.209206852188931	0.589047241106164	0.916137687411462	0.668231040071504
post.treatment	TPI1	9	0.333333333333333	0.380713181676864	0.716666666666667	0.0298180356958453	0.916137687411462	0.178908214175072
post.treatment	HLA-C	9	0.0666666666666667	0.864689784626204	0.5	0.170470660787054	1	0.340941321574108
post.treatment	KIAA0040	9	0	1	-0.166666666666667	0.668231040071504	1	0.668231040071504
