section	patient	gene	compartment	n_spots	rho	p
mel1_rep1	mel1	TPI1	tumor	271	0.23152197259275414	0.00012001212990653756
mel1_rep1	mel1	TPI1	lymphoid	271	-0.17006879411535997	0.004997057284343901
mel1_rep1	mel1	TPI1	bcell	271	-0.204081923929179	0.0007255909850165881
mel1_rep1	mel1	TPI1	myeloid	271	-0.09854240358350844	0.10552126159622689
mel1_rep1	mel1	TPI1	stroma	271	-0.13027628771380284	0.03204492954117233
mel1_rep1	mel1	TPI1	glycolysis	271	0.20032004151161062	0.0009127769431578419
mel1_rep1	mel1	TPI1	prolif	271	0.24367703694446832	5.0313412462135495e-05
mel1_rep1	mel1	SMC2	tumor	271	0.1403345462927822	0.020834670613156987
mel1_rep1	mel1	SMC2	lymphoid	271	0.020182352031992527	0.7408398367814829
mel1_rep1	mel1	SMC2	bcell	271	-0.03844486138100772	0.528570343026316
mel1_rep1	mel1	SMC2	myeloid	271	0.08457991234448003	0.16501097200391757
mel1_rep1	mel1	SMC2	stroma	271	-0.03844216906366909	0.5285992357894552
mel1_rep1	mel1	SMC2	glycolysis	271	0.1495905832239618	0.013698467573247624
mel1_rep1	mel1	SMC2	prolif	271	0.15017283605878687	0.013331840132803734
mel1_rep1	mel1	ZFYVE19	tumor	271	-0.09763523041214955	0.10878394337016946
mel1_rep1	mel1	ZFYVE19	lymphoid	271	0.12323644606791297	0.04265386144081573
mel1_rep1	mel1	ZFYVE19	bcell	271	0.10907682695440442	0.07302352540044628
mel1_rep1	mel1	ZFYVE19	myeloid	271	-0.017471922101611487	0.7746357276058612
mel1_rep1	mel1	ZFYVE19	stroma	271	-0.10229669771038499	0.0928321385780749
mel1_rep1	mel1	ZFYVE19	glycolysis	271	-0.030077449601928236	0.6220407407835626
mel1_rep1	mel1	ZFYVE19	prolif	271	-0.04382991087200054	0.4724234065404429
mel1_rep1	mel1	SPSB2	tumor	271	0.004113990218925359	0.9462536665772449
mel1_rep1	mel1	SPSB2	lymphoid	271	0.09824877538780896	0.10656874672051564
mel1_rep1	mel1	SPSB2	bcell	271	0.07227214218292685	0.23570072395965647
mel1_rep1	mel1	SPSB2	myeloid	271	0.07683478419759152	0.2073527161946123
mel1_rep1	mel1	SPSB2	stroma	271	0.01276768459716757	0.8342768103636378
mel1_rep1	mel1	SPSB2	glycolysis	271	0.04394067938162102	0.47130381486710227
mel1_rep1	mel1	SPSB2	prolif	271	0.11566538638913286	0.05721319560354125
mel1_rep1	mel1	HLA-C	tumor	271	-0.09124425297636798	0.13406730639608727
mel1_rep1	mel1	HLA-C	lymphoid	271	0.2848929753370385	1.8660640290948055e-06
mel1_rep1	mel1	HLA-C	bcell	271	0.1498504670481943	0.013533746225760469
mel1_rep1	mel1	HLA-C	myeloid	271	0.28680724114112893	1.5798817517554008e-06
mel1_rep1	mel1	HLA-C	stroma	271	0.16134185390439454	0.007786215076491916
mel1_rep1	mel1	HLA-C	glycolysis	271	-0.07676997795644126	0.20773733064380195
mel1_rep1	mel1	HLA-C	prolif	271	0.00925751801468789	0.8794260878187432
mel1_rep1	mel1	KIAA0040	tumor	271	-0.19530833681321683	0.001231442299606916
mel1_rep1	mel1	KIAA0040	lymphoid	271	0.23693554393324467	8.194129673959967e-05
mel1_rep1	mel1	KIAA0040	bcell	271	0.25971777919314776	1.4892790965517793e-05
mel1_rep1	mel1	KIAA0040	myeloid	271	0.07559929342378531	0.21477394716492282
mel1_rep1	mel1	KIAA0040	stroma	271	-0.03437384604484149	0.5731517660833623
mel1_rep1	mel1	KIAA0040	glycolysis	271	-0.12170458084936862	0.045317419308833574
mel1_rep1	mel1	KIAA0040	prolif	271	0.07013548404808212	0.24987362128376134
mel1_rep2	mel1	TPI1	tumor	292	0.3048740739459352	1.0701086012503523e-07
mel1_rep2	mel1	TPI1	lymphoid	292	-0.10414576717432589	0.0755937381607971
mel1_rep2	mel1	TPI1	bcell	292	-0.14197809464164676	0.01518114590308088
mel1_rep2	mel1	TPI1	myeloid	292	0.016546761000287135	0.778282712735408
mel1_rep2	mel1	TPI1	stroma	292	-0.044756878049793544	0.44611533771471884
mel1_rep2	mel1	TPI1	glycolysis	292	0.22467716415192934	0.00010775066036958501
mel1_rep2	mel1	TPI1	prolif	292	0.08738984805918962	0.13628613555563587
mel1_rep2	mel1	SMC2	tumor	292	0.18686913910819167	0.0013374153197868823
mel1_rep2	mel1	SMC2	lymphoid	292	-0.12846156081006863	0.028175214298388974
mel1_rep2	mel1	SMC2	bcell	292	-0.0689855709617651	0.23992665113175918
mel1_rep2	mel1	SMC2	myeloid	292	-0.08460252383704517	0.14928144515147718
mel1_rep2	mel1	SMC2	stroma	292	-0.09319219031545417	0.11203819728334102
mel1_rep2	mel1	SMC2	glycolysis	292	0.20700061097142763	0.00036987000246640827
mel1_rep2	mel1	SMC2	prolif	292	0.1791718721834821	0.0021158740481027694
mel1_rep2	mel1	ZFYVE19	tumor	292	0.046442808771301226	0.4291554081338758
mel1_rep2	mel1	ZFYVE19	lymphoid	292	0.019579525960183284	0.7390044954151158
