gene	compartment	n_sections	rho_meta	ci_lo	ci_hi	p	n_sections_pos	FDR
TPI1	tumor	8	0.1368680883283404	0.09650008009708033	0.17678656905133783	4.2423153740511476e-11	5	3.5635449142029637e-10
TPI1	lymphoid	8	-0.07980112792638948	-0.12031666691797929	-0.03902019417812063	0.00012843410525889215	2	0.0004495193684061225
TPI1	bcell	8	-0.10041071931464006	-0.1407409235210966	-0.059747825146535184	1.403879650294726e-06	1	7.370368164047312e-06
TPI1	myeloid	8	-0.030845851587156907	-0.0716637388997199	0.010075178129430314	0.13953336742784744	4	0.18313754474904978
TPI1	stroma	8	-0.10066586070877898	-0.14099355558847765	-0.06000464776666649	1.3194915865303377e-06	1	7.370368164047312e-06
TPI1	glycolysis	8	0.1741476738804193	0.13419537724040462	0.2135347498377134	3.6081410259044453e-17	8	5.051397436266224e-16
TPI1	prolif	8	0.07572002892638696	0.03491987967434108	0.11626819535254912	0.00028033148859207466	6	0.0009056863477590103
SMC2	tumor	8	0.04314426450342188	0.002239901503851826	0.08390449282955795	0.03870980350169979	5	0.07068746726397353
SMC2	lymphoid	8	-0.025713540103148937	-0.06655185070332975	0.015210776410929864	0.2181091786316558	3	0.26173101435798696
SMC2	bcell	8	-0.022538002743911396	-0.0633878759798565	0.018387266498409726	0.28039993517923345	2	0.3182918183115623
SMC2	myeloid	8	0.007423660309378861	-0.033494828050720515	0.048317303188805505	0.7222221008110599	5	0.7777776470272952
SMC2	stroma	8	-0.02680708423359473	-0.06764122299220439	0.014116712949567673	0.19915163206407493	2	0.24601083960856313
SMC2	glycolysis	8	0.050660505699784204	0.009772442126202477	0.09137944398544619	0.015183556432999668	5	0.03542829834366589
SMC2	prolif	8	0.10535238146835049	0.06472300761094214	0.14563305015102662	4.1137372409197006e-07	8	2.87961606864379e-06
ZFYVE19	tumor	8	0.0014973555295415967	-0.039413375043289615	0.04240307449354606	0.9428395883571263	5	0.9428395883571263
ZFYVE19	lymphoid	8	0.05414967539775932	0.013270756071316621	0.09484788734304277	0.009445033187320503	6	0.023334787874556534
ZFYVE19	bcell	8	0.012235149130990823	-0.028687525865220324	0.05311687943934599	0.5579341321347279	4	0.6166640407804888
ZFYVE19	myeloid	8	0.05738023699502858	0.016510676648877533	0.09805837806602896	0.005946985249544519	6	0.015610836280054361
ZFYVE19	stroma	8	0.03524208551831368	-0.005674411583372891	0.07604077429554007	0.09135820279270888	6	0.13231187990668183
ZFYVE19	glycolysis	8	0.045861288842877226	0.00496228228654461	0.08660712085530994	0.027976038080534893	6	0.05595207616106979
ZFYVE19	prolif	8	0.06566933245251315	0.024827713830441012	0.10629210336055583	0.0016375935324552694	7	0.004912780597365808
SPSB2	tumor	8	0.05877167950667984	0.017906414677966425	0.09944091497581029	0.004839228237926286	8	0.013549839066193602
SPSB2	lymphoid	8	0.0319203127688623	-0.008999755502523424	0.07273365304435055	0.12625637336432877	6	0.17675892271006027
SPSB2	bcell	8	0.003066074495110333	-0.03784698890932816	0.043968875903728236	0.8832738656010912	4	0.9092969247129199
SPSB2	myeloid	8	0.040173697621065735	-0.0007358280012581519	0.08094897930004263	0.05425880655535589	6	0.09115479501299789
SPSB2	stroma	8	0.03137626740345722	-0.00954429951917173	0.07219192177698203	0.13285073346137638	4	0.17999131630250992
SPSB2	glycolysis	8	0.03874955113744111	-0.0021621926591125413	0.07953179534829612	0.0633876436081944	6	0.1023954242901602
SPSB2	prolif	8	0.04397564664627886	0.0030728582907438343	0.08473153352226873	0.03510500042700952	6	0.06701863717883637
HLA-C	tumor	8	-0.04254059858537261	-0.08330394404288771	-0.0016351278054776396	0.04152007762685542	1	0.07266013584699697
HLA-C	lymphoid	8	0.18741005553638757	0.1476335912978644	0.226581257243678	1.0706955122536606e-19	8	2.2484605757326873e-18
HLA-C	bcell	8	0.037415701741871026	-0.0034979686300384057	0.0782043175028599	0.07305321149681031	5	0.10957981724521547
HLA-C	myeloid	8	0.2306638409270106	0.19156312755325144	0.2690335381323037	2.3744807899229e-29	8	9.97281931767618e-28
HLA-C	stroma	8	0.15342496432077893	0.11322730295897372	0.19312118317033755	1.3088253912882777e-13	8	1.3742666608526917e-12
HLA-C	glycolysis	8	0.02509210689558024	-0.01583246107768665	0.06593274485987789	0.22944303352410433	3	0.2676835391114551
HLA-C	prolif	8	0.049732576180541554	0.008842249189555035	0.09045686020754823	0.017152397354263212	7	0.037915825730476575
KIAA0040	tumor	8	-0.049199858795926296	-0.08992718018868191	-0.008308264367213014	0.018380984100311807	3	0.03860006661065479
KIAA0040	lymphoid	8	0.08517341855130839	0.04441987443648075	0.12564395351404892	4.3424874707084816e-05	5	0.00016580406706341477
KIAA0040	bcell	8	0.09854204817974302	0.057867004694302754	0.13889047073750832	2.2005430739262638e-06	6	1.0269201011655898e-05
KIAA0040	myeloid	8	0.03811261166103903	-0.002800070326758557	0.07889791645703904	0.06786268987381898	4	0.10556418424816284
KIAA0040	stroma	8	0.029318234822535358	-0.011603998879585282	0.07014242516421176	0.16022526982746965	5	0.20392307068950682
KIAA0040	glycolysis	8	0.0029504225038716777	-0.037962475780506474	0.04385344586691819	0.8876469979340408	4	0.9092969247129199
KIAA0040	prolif	8	0.08531883134944684	0.04456606170042229	0.12578811574528662	4.213075975777606e-05	8	0.00016580406706341477
