gene	group_a	group_b	n_a	n_b	median_a	median_b	diff	p	FDR
TPI1	tumor	lymphoid	869	450	0.24206411910168812	0.0596464304829587	0.18241768861872942	2.4638703559788706e-07	4.434966640761967e-06
TPI1	tumor	stroma	869	586	0.24206411910168812	0.057203371206050346	0.18486074789563778	5.602569595192749e-07	5.042312635673474e-06
TPI1	lymphoid	stroma	450	586	0.0596464304829587	0.057203371206050346	0.0024430592769083548	0.5549969498584766	0.7135675069608984
SMC2	tumor	lymphoid	869	450	-0.05357618884386349	-0.05413224543307293	0.0005560565892094374	0.12399198430493073	0.27898196468609415
SMC2	tumor	stroma	869	586	-0.05357618884386349	-0.05413224543307293	0.0005560565892094374	9.093847300763213e-05	0.00032737850282747564
SMC2	lymphoid	stroma	450	586	-0.05413224543307293	-0.05413224543307293	0.0	0.057574705439020414	0.14804924255748106
ZFYVE19	tumor	lymphoid	869	450	-0.13411442792835618	-0.13533285013380433	0.0012184222054481553	0.7803826075812652	0.7877064825037525
ZFYVE19	tumor	stroma	869	586	-0.13411442792835618	-0.13411442792835618	0.0	0.7877064825037525	0.7877064825037525
ZFYVE19	lymphoid	stroma	450	586	-0.13533285013380433	-0.13411442792835618	-0.0012184222054481553	0.618182112296364	0.7391675074016238
SPSB2	tumor	lymphoid	869	450	-0.09323937891964851	-0.09323937891964851	0.0	0.19049211236152797	0.38098422472305593
SPSB2	tumor	stroma	869	586	-0.09323937891964851	-0.09213034358665356	-0.0011090353329949454	0.3030329211709212	0.49587205282514374
SPSB2	lymphoid	stroma	450	586	-0.09323937891964851	-0.09213034358665356	-0.0011090353329949454	0.03725134299922957	0.1117540289976887
HLA-C	tumor	lymphoid	869	450	-0.005752332456042897	0.2168186010312605	-0.2225709334873034	1.8971873505148602e-06	1.1383124103089161e-05
HLA-C	tumor	stroma	869	586	-0.005752332456042897	0.19779991967334493	-0.20355225212938782	4.623385622427409e-05	0.0002080523530092334
HLA-C	lymphoid	stroma	450	586	0.2168186010312605	0.19779991967334493	0.019018681357915568	0.36354017233180635	0.5033633155363473
KIAA0040	tumor	lymphoid	869	450	-0.17169729143067441	-0.17169729143067441	0.0	0.34158164121270473	0.5033633155363473
KIAA0040	tumor	stroma	869	586	-0.17169729143067441	-0.17169729143067441	0.0	0.657037784356999	0.7391675074016238
KIAA0040	lymphoid	stroma	450	586	-0.17169729143067441	-0.17169729143067441	0.0	0.2402819099356588	0.43250743788418583
