gene	subset	n_sections	n_spots	rho_partial	ci_lo	ci_hi	p	n_sections_pos
TPI1	lymphoid-dominant spots	8	450	-0.07377714062849952	-0.16728651821499008	0.021047763897228882	0.12713072494001015	2
TPI1	all spots	8	2317	-0.03288287385337384	-0.07369206087981423	0.0080362527115842	0.11521640041901042	3
HLA-C	lymphoid-dominant spots	8	450	0.05827336157048028	-0.03660648825143087	0.15211201393642623	0.2285459691419922	4
HLA-C	all spots	8	2317	0.14524535133157962	0.10496068438565907	0.18505412366307872	2.476010682365419e-12	6
SMC2	lymphoid-dominant spots	8	450	-0.04749348177853033	-0.14153494280405446	0.047397529674696195	0.32659646540993903	3
SMC2	all spots	8	2317	-0.040994244381017786	-0.08176543962205131	-8.607239050964267e-05	0.049515991803846665	1
ZFYVE19	lymphoid-dominant spots	8	450	0.025611432231206863	-0.06923433424662494	0.11999834046461455	0.5969930188265211	6
ZFYVE19	all spots	8	2317	0.019336232574670337	-0.02158916106070051	0.06019693236991008	0.3544271023526433	6
SPSB2	lymphoid-dominant spots	7	408	0.054965794296691385	-0.04458157867817054	0.15343234293123442	0.2790768763088327	6
SPSB2	all spots	8	2317	0.011060023912806964	-0.029861803303606913	0.051944837963326156	0.5963657622523596	6
KIAA0040	lymphoid-dominant spots	8	450	0.043953138184038246	-0.050936713911341434	0.13805651571657496	0.3640011163989364	4
KIAA0040	all spots	8	2317	0.007862789085645095	-0.03305615987704087	0.048755423069347624	0.7065306373827204	5
