marker	marker_class	rho_meta	ci_lo	ci_hi	p	n_sections_pos
CD4	T cell	0.03449349754852254	-0.006423883340765565	0.07529556649942579	0.09845582270840374	6
CD3E	T cell	-0.009835958842806981	-0.05072386528790221	0.031084865186983297	0.6376315735409879	3
CD3D	T cell	-0.015443054017646162	-0.05876100753496786	0.027932947092520213	0.4853442294354511	3
CD2	T cell	-0.04349938501271479	-0.0842577657817356	-0.002595687669765393	0.03713329561771607	1
CD247	T cell	-0.045792231372729406	-0.08653843671726348	-0.004893081164534658	0.028213243861280428	2
PTPRC	T cell	-0.04671083960949039	-0.08745204716734695	-0.005813632323051248	0.025195598038105397	2
IL7R	T cell	-0.05187874498183252	-0.09259055895522521	-0.01099376039853669	0.012902089142297388	1
CD52	T cell	-0.09190385642226553	-0.1323147181043067	-0.05118798808749327	1.0180896131322716e-05	3
GAPDH	glycolysis	0.2045686189293214	0.16504146160166447	0.24343969610208413	2.9022308167944536e-23	8
ENO1	glycolysis	0.12537667480044434	0.08490382583094927	0.16543647594096894	1.5851521382251743e-09	8
PKM	glycolysis	0.12125346148465563	0.0807456658546647	0.16136138100149755	5.380189555236161e-09	8
ALDOA	glycolysis	0.10533686289112912	0.06470738060587317	0.1456176902156482	4.129991327105531e-07	8
LDHA	glycolysis	0.07966342733627776	0.03888182284550314	0.1201800891763493	0.00013194155192362928	7
MLANA	melanocyte	0.11077476132573419	0.07018449367300986	0.15099881009658808	1.0021215876620286e-07	6
PMEL	melanocyte	0.11044734634572675	0.06985464833003417	0.150674881174484	1.0934516318528994e-07	6
SOX10	melanocyte	0.08256794870210303	0.04180082366879995	0.12306060130346269	7.407236435640128e-05	8
TYR	melanocyte	0.06908821215136048	0.02551857143311725	0.1123958773990404	0.0018998253454428772	5
TYRP1	melanocyte	0.044584915145900204	-0.047337459166858074	0.13575847838569516	0.34180071625117936	1
DCT	melanocyte	0.02278658744159918	-0.020880770748094517	0.06636717259036902	0.30640967287554	4
