cell	glyco_grp	tpi1_grp
A10_P1_M68_L001	hi	lo
A10_P1_M71_L001	hi	lo
A10_P2_MMD1-84B_L001	lo	hi
A10_P4_MMD1-84B_L001	lo	hi
A10_P5_M45_L001	lo	lo
A10_P6_M51_L001	lo	hi
A10_P8_MMD2-36B_L001	hi	lo
A11_P2_MMD6_L001	hi	hi
A11_P3_MMD1-84B_L001	lo	lo
A11_P8_M63-B1	hi	hi
A12_P1_M39_T_enriched	lo	lo
A12_P2_MMD1-84B_L001	lo	lo
A12_P5_M83_L001	lo	lo
A1_P1_M51_L001	lo	hi
A1_P6_M51_L001	lo	lo
A2_P11_MMD5_L001	hi	hi
A2_P12_MMD2-36B_T_enriched	lo	hi
A2_P1_MMD1-84B_L001	lo	lo
A2_P2_M71_L001	lo	lo
A2_P3_MMD9_L001	hi	hi
A2_P4_M44_L001	hi	lo
A2_P6_M68_L001	hi	hi
A2_P9_MMD2-36B_L001	hi	hi
A3_P2_M39	lo	hi
A3_P3_M68_L001	hi	hi
A3_P3_MMD1-84B_L001	hi	lo
A3_P4_M55_L001	hi	hi
A3_P4_M74_L001	lo	lo
A3_P5_M44_L001	lo	hi
A3_P6_M36_L001	lo	lo
A3_P8_M63-B1	hi	hi
A4_P1_M43_L001	hi	hi
A4_P1_M47	lo	lo
A4_P1_M67_L001	hi	hi
A4_P1_M74_L001	lo	lo
A4_P1_MMD8_L001	hi	hi
A4_P2_M71_L001	hi	lo
A4_P2_MMD1-84B_L001	lo	lo
A4_P3_M55_L001	hi	hi
A4_P5_MMD8_L001	lo	lo
A4_P7_M36_L001	hi	lo
A5_P1_MMD1-84A_L001	hi	hi
A5_P3_M67_L001	lo	lo
A5_P5_M45_L001	lo	hi
A6_P1_M71_L001	lo	lo
A6_P2_M13_L001	hi	lo
A6_P2_M83_L001	lo	hi
A6_P2_MMD1-84A_L001	lo	lo
A6_P3_MMD9_L001	hi	lo
A6_P4_MMD1-84A_L001	hi	hi
A6_P5_MMD8_L001	hi	hi
A6_P5_MMD9_L001	hi	hi
A6_P6_M36_L001	hi	hi
A7_P2_MMD1-84B_L001	lo	lo
A7_P3_MMD9_L001	hi	lo
A7_P4_M74_L001	hi	hi
A7_P8_MMD2-36B_L001	hi	hi
A8_P1_MMD1-84A_L001	lo	hi
A8_P1_MMD9_L001	lo	lo
A8_P2_M47	hi	hi
A8_P3_M23	hi	hi
A8_P3_M68_L001	hi	lo
A8_P4_M43_L001	lo	hi
A8_P9_M47_T_enriched	hi	hi
A8_P9_MMD2-36B_L001	hi	lo
A9_P1_M90-7-24-17	hi	hi
A9_P1_MMD8_L001	hi	hi
A9_P2_M71_L001	lo	lo
A9_P4_M44_L001	hi	hi
A9_P4_MMD8_L001	lo	lo
A9_P5_MMD9_L001	lo	lo
B10_P1_M39_T_enriched	lo	lo
B10_P1_M79_L001	lo	hi
B10_P2_MMD8_L001	lo	lo
B10_P2_MMD9_L001	lo	lo
B10_P3_M13_L001	hi	hi
B10_P3_MMD5_L001	hi	lo
B10_P3_MMD9_L001	hi	hi
