gene	detection_fraction	detection_pct	used_in_module
SLC2A1	0.154976792160908	15.5	FALSE
SLC2A3	0.650077359463641	65.01	TRUE
HK1	0.294739556472408	29.47	FALSE
HK2	0.0613718411552347	6.14	FALSE
HK3	0.0139247034553894	1.39	FALSE
GPI	0.571170706549768	57.12	TRUE
PFKL	0.318978855079938	31.9	TRUE
PFKM	0.0453842186694172	4.54	FALSE
PFKP	0.323104693140794	32.31	TRUE
ALDOA	0.785972150593089	78.6	TRUE
ALDOC	0.0858690046415678	8.59	FALSE
GAPDH	0.95074780814853	95.07	TRUE
PGK1	0.726921093347086	72.69	TRUE
PGAM1	0.533264569365652	53.33	TRUE
ENO1	0.742135121196493	74.21	TRUE
ENO2	0.149303764827231	14.93	FALSE
PKM	0.711191335740072	71.12	TRUE
LDHA	0.748066013408974	74.81	TRUE
PGM1	0.091542031975245	9.15	FALSE
PFKFB3	0.391438886023724	39.14	TRUE
PFKFB4	0.0128932439401753	1.29	FALSE
