cell	cell_group
A10_P1_M15	CD8T
A10_P4_M15	CD8T
A11_P2_M15	CD8T
A11_P5_M15	Tprolif
A11_P6_M15	CD8T
A12_P5_M15	CD8T
A2_P1_M15	CD8T
A2_P2_M15	CD4_Glyco_hi
A2_P3_M15	Plasma
A3_P2_M15	CD8T
A3_P6_M15	CD8T
A4_P1_M15	CD8T
A4_P3_M15	CD8T
A4_P5_M15	NK
A4_P6_M15	CD8T
A5_P1_M15	CD8T
A5_P5_M15	CD8T
A5_P6_M15	MonoMacro
A6_P1_M15	CD8T
A6_P2_M15	CD8T
A7_P1_M15	CD4_Glyco_lo
A7_P2_M15	MonoMacro
A8_P2_M15	CD8T
B10_P2_M15	MonoMacro
B10_P4_M15	Tprolif
B11_P1_M15	NK
B11_P2_M15	CD8T
B11_P6_M15	CD8T
B1_P2_M15	CD8T
B2_P1_M15	NK
B2_P2_M15	Tprolif
B3_P1_M15	CD8T
B3_P5_M15	B
B4_P3_M15	CD8T
B5_P5_M15	Tprolif
B6_P6_M15	B
B7_P6_M15	NK
B9_P2_M15	CD4_Glyco_hi
B9_P6_M15	CD8T
C11_P1_M15	NK
C12_P1_M15	CD4_Glyco_lo
C12_P2_M15	CD8T
C12_P5_M15	CD8T
C12_P6_M15	CD4_Glyco_hi
C1_P1_M15	CD8T
C2_P1_M15	NK
C2_P2_M15	Tprolif
C3_P2_M15	CD8T
C3_P6_M15	NK
C4_P1_M15	CD8T
C4_P2_M15	CD8T
C4_P3_M15	pDC
C4_P6_M15	CD8T
C5_P5_M15	CD8T
C5_P6_M15	CD4_Glyco_lo
C6_P1_M15	NK
C6_P2_M15	CD8T
C7_P1_M15	CD8T
C8_P1_M15	CD8T
C8_P6_M15	CD4_Glyco_lo
C9_P1_M15	CD8T
D10_P1_M15	CD4_Glyco_hi
D10_P4_M15	CD8T
D10_P5_M15	NK
D11_P1_M15	MonoMacro
D11_P2_M15	MonoMacro
D11_P5_M15	CD8T
D11_P6_M15	NK
D12_P1_M15	CD8T
D12_P2_M15	Tprolif
D12_P5_M15	CD4_Glyco_lo
