source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
CD4_Glyco_hi	MonoMacro	CCL5	CCR1	0.0640074656052948	0	CCL5_CCR1	CCL5 - CCR1	CCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_lo	MonoMacro	CCL5	CCR1	0.085305904616301	0	CCL5_CCR1	CCL5 - CCR1	CCL	Secreted Signaling	KEGG: hsa04060
CD8T	MonoMacro	CCL5	CCR1	0.0913448645262189	0	CCL5_CCR1	CCL5 - CCR1	CCL	Secreted Signaling	KEGG: hsa04060
NK	MonoMacro	CCL5	CCR1	0.0872593209672546	0	CCL5_CCR1	CCL5 - CCR1	CCL	Secreted Signaling	KEGG: hsa04060
Tprolif	MonoMacro	CCL5	CCR1	0.0900627091849133	0	CCL5_CCR1	CCL5 - CCR1	CCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_lo	MonoMacro	CCL3	CCR1	0.00465772648171258	0	CCL3_CCR1	CCL3 - CCR1	CCL	Secreted Signaling	KEGG: hsa04060
CD8T	MonoMacro	CCL3	CCR1	0.0110761140655287	0	CCL3_CCR1	CCL3 - CCR1	CCL	Secreted Signaling	KEGG: hsa04060
MonoMacro	MonoMacro	CCL3	CCR1	0.0395551350610555	0	CCL3_CCR1	CCL3 - CCR1	CCL	Secreted Signaling	KEGG: hsa04060
NK	MonoMacro	CCL3	CCR1	0.01911807920245	0	CCL3_CCR1	CCL3 - CCR1	CCL	Secreted Signaling	KEGG: hsa04060
Tprolif	MonoMacro	CCL3	CCR1	0.0199135087908089	0	CCL3_CCR1	CCL3 - CCR1	CCL	Secreted Signaling	KEGG: hsa04060
MonoMacro	MonoMacro	CCL3L1	CCR1	0.0145471231192701	0	CCL3L1_CCR1	CCL3L1 - CCR1	CCL	Secreted Signaling	KEGG: hsa04060
MonoMacro	MonoMacro	CCL3L3	CCR1	0.0105613993194477	0	CCL3L3_CCR1	CCL3L3 - CCR1	CCL	Secreted Signaling	KEGG: hsa04060
CD8T	CD4_Glyco_hi	CCL4	CCR5	0.0341639226160358	0	CCL4_CCR5	CCL4 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
NK	CD4_Glyco_hi	CCL4	CCR5	0.0356046047429472	0	CCL4_CCR5	CCL4 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
Tprolif	CD4_Glyco_hi	CCL4	CCR5	0.0337305967397691	0	CCL4_CCR5	CCL4 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_hi	CD4_Glyco_lo	CCL4	CCR5	0.0206844016302884	0.03	CCL4_CCR5	CCL4 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_lo	CD4_Glyco_lo	CCL4	CCR5	0.0222421235899072	0.03	CCL4_CCR5	CCL4 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
CD8T	CD4_Glyco_lo	CCL4	CCR5	0.0600017423614133	0	CCL4_CCR5	CCL4 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
NK	CD4_Glyco_lo	CCL4	CCR5	0.062461533700828	0	CCL4_CCR5	CCL4 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
Tprolif	CD4_Glyco_lo	CCL4	CCR5	0.0592608045342155	0	CCL4_CCR5	CCL4 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
