direction	partner	pathway	prob_hi	prob_lo	pval_hi	pval_lo	delta_prob	abs_delta	sig_hi	sig_lo	sig_either	favored
Outgoing_CD4_to_partner	B	MHC-I	0.0417128186264254	0.0403161135620192			0.00139670506440624	0.00139670506440624				Glyco_hi
Outgoing_CD4_to_partner	B	MHC-II	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	MIF	0.554052237386063	0.289727691174869			0.264324546211194	0.264324546211194				Glyco_hi
Outgoing_CD4_to_partner	B	GALECTIN	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	CD99	0.0519308548978999	0.052066916189852			-0.000136061291952094	0.000136061291952094				Glyco_lo
Outgoing_CD4_to_partner	B	ICAM	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	CypA	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	APP	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	ANNEXIN	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	CCL	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	SELPLG	0.130859880476474	0.0957981119484455			0.035061768528029	0.035061768528029				Glyco_hi
Outgoing_CD4_to_partner	B	CD45	0.294963623875903	0.294629124278348			0.000334499597555271	0.000334499597555271				Glyco_hi
Outgoing_CD4_to_partner	B	SIRP	0.0625190735812931	0.0644059276024043			-0.00188685402111119	0.00188685402111119				Glyco_lo
Outgoing_CD4_to_partner	B	LCK	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	IL16	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	SEMA4	0.0472506293821629	0.0716935200769912			-0.0244428906948283	0.0244428906948283				Glyco_lo
Outgoing_CD4_to_partner	B	CLEC	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	CXCL	0.0213327373421552	0.0278190964765515			-0.00648635913439627	0.00648635913439627				Glyco_lo
Outgoing_CD4_to_partner	B	CD23	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	PARs	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	LAIR1	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	IFN-II	0.0113123377541885	0.0119895864963247			-0.000677248742136117	0.000677248742136117				Glyco_lo
Outgoing_CD4_to_partner	B	JAM	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	CD86	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	VISFATIN	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	TNF	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	VCAM	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	APRIL	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	BTLA	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	BAFF	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	CD6	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	CADM	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	ICOS	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	LAMININ	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	CD48	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	GRN	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	CD137	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	CD39	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	CDH1	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	GAS	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	SEMA3	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	SEMA7	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	FASLG	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	COMPLEMENT	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	CALCR	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	MPZ	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	CDH	0	0			0	0				Equal
Outgoing_CD4_to_partner	B	NCAM	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	MHC-I	3.70680583964759	3.68482896324522			0.0219768764023667	0.0219768764023667				Glyco_hi
Outgoing_CD4_to_partner	CD8T	MHC-II	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	MIF	0.247763490938988	0			0.247763490938988	0.247763490938988				Glyco_hi
Outgoing_CD4_to_partner	CD8T	GALECTIN	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	CD99	0.197792501312813	0.198269691589633			-0.000477190276820055	0.000477190276820055				Glyco_lo
Outgoing_CD4_to_partner	CD8T	ICAM	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	CypA	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	APP	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	ANNEXIN	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	CCL	0.0872274690087238	0.110676850592506			-0.0234493815837822	0.0234493815837822				Glyco_lo
Outgoing_CD4_to_partner	CD8T	SELPLG	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	CD45	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	SIRP	0	0.0536660439110442			-0.0536660439110442	0.0536660439110442				Glyco_lo
Outgoing_CD4_to_partner	CD8T	LCK	0.228325674891759	0.238811534886537			-0.0104858599947785	0.0104858599947785				Glyco_lo
Outgoing_CD4_to_partner	CD8T	IL16	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	SEMA4	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	CLEC	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	CXCL	0.0100444456086341	0.0131446248292157			-0.00310017922058159	0.00310017922058159				Glyco_lo
Outgoing_CD4_to_partner	CD8T	CD23	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	PARs	0.0191063018464359	0.049288763417444			-0.0301824615710082	0.0301824615710082				Glyco_lo
Outgoing_CD4_to_partner	CD8T	LAIR1	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	IFN-II	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	JAM	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	CD86	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	VISFATIN	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	TNF	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	VCAM	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	APRIL	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	BTLA	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	BAFF	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	CD6	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	CADM	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	ICOS	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	LAMININ	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	CD48	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	GRN	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	CD137	0	0.00326561510854697			-0.00326561510854697	0.00326561510854697				Glyco_lo
Outgoing_CD4_to_partner	CD8T	CD39	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	CDH1	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	GAS	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	SEMA3	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	SEMA7	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	FASLG	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	COMPLEMENT	0	0			0	0				Equal
Outgoing_CD4_to_partner	CD8T	CALCR	0	0			0	0				Equal
