pathway	interaction_name	ligand	receptor	source_hi	target_hi	prob_hi	pval_hi	source_lo	target_lo	prob_lo	pval_lo	partner	direction	delta_prob	sig_hi	sig_lo	abs_delta	sig_either
MHC-I	HLA-B_CD8A	HLA-B	CD8A	NK	CD4_Glyco_hi	0.14268001089442	0.03	NK	CD4_Glyco_lo	0.321705816391597	0	NK	Incoming_partner_to_CD4	-0.179025805497177	TRUE	TRUE	0.179025805497177	TRUE
MHC-I	HLA-B_CD8A	HLA-B	CD8A	CD8T	CD4_Glyco_hi	0.142020257696922	0.03	CD8T	CD4_Glyco_lo	0.320527744002461	0	CD8T	Incoming_partner_to_CD4	-0.17850748630554	TRUE	TRUE	0.17850748630554	TRUE
MHC-I	HLA-B_CD8A	HLA-B	CD8A	Tprolif	CD4_Glyco_hi	0.141528016338112	0.03	Tprolif	CD4_Glyco_lo	0.319647300653311	0	Tprolif	Incoming_partner_to_CD4	-0.178119284315199	TRUE	TRUE	0.178119284315199	TRUE
MHC-I	HLA-B_CD8A	HLA-B	CD8A	pDC	CD4_Glyco_hi	0.139325464559633	0.49	pDC	CD4_Glyco_lo	0.315692110739696	0	pDC	Incoming_partner_to_CD4	-0.176366646180063	FALSE	TRUE	0.176366646180063	TRUE
MHC-I	HLA-A_CD8A	HLA-A	CD8A	CD8T	CD4_Glyco_hi	0.138640963987971	0.02	CD8T	CD4_Glyco_lo	0.314457707415155	0	CD8T	Incoming_partner_to_CD4	-0.175816743427184	TRUE	TRUE	0.175816743427184	TRUE
MHC-I	HLA-A_CD8A	HLA-A	CD8A	Tprolif	CD4_Glyco_hi	0.137602359377085	0.03	Tprolif	CD4_Glyco_lo	0.312579967036664	0	Tprolif	Incoming_partner_to_CD4	-0.174977607659579	TRUE	TRUE	0.174977607659579	TRUE
MHC-I	HLA-A_CD8A	HLA-A	CD8A	NK	CD4_Glyco_hi	0.136744769942614	0.05	NK	CD4_Glyco_lo	0.311025151642013	0	NK	Incoming_partner_to_CD4	-0.174280381699399	FALSE	TRUE	0.174280381699399	TRUE
MHC-I	HLA-E_KLRK1	HLA-E	KLRK1	NK	CD4_Glyco_hi	0.122384252989293	1	NK	CD4_Glyco_lo	0.295557968168904	0	NK	Incoming_partner_to_CD4	-0.173173715179611	FALSE	TRUE	0.173173715179611	TRUE
MHC-I	HLA-B_CD8A	HLA-B	CD8A	MonoMacro	CD4_Glyco_hi	0.135050779779974	1	MonoMacro	CD4_Glyco_lo	0.307942337521346	0	MonoMacro	Incoming_partner_to_CD4	-0.172891557741372	FALSE	TRUE	0.172891557741372	TRUE
MHC-I	HLA-C_CD8A	HLA-C	CD8A	NK	CD4_Glyco_hi	0.134418759479031	0.02	NK	CD4_Glyco_lo	0.306788189657732	0	NK	Incoming_partner_to_CD4	-0.172369430178701	TRUE	TRUE	0.172369430178701	TRUE
MHC-I	HLA-C_CD8A	HLA-C	CD8A	Tprolif	CD4_Glyco_hi	0.13413536744388	0.02	Tprolif	CD4_Glyco_lo	0.30626997835363	0	Tprolif	Incoming_partner_to_CD4	-0.17213461090975	TRUE	TRUE	0.17213461090975	TRUE
MHC-I	HLA-C_CD8A	HLA-C	CD8A	CD8T	CD4_Glyco_hi	0.13309907945263	0.03	CD8T	CD4_Glyco_lo	0.304371307810043	0	CD8T	Incoming_partner_to_CD4	-0.171272228357413	TRUE	TRUE	0.171272228357413	TRUE
MHC-I	HLA-B_CD8A	HLA-B	CD8A	B	CD4_Glyco_hi	0.132225884060156	1	B	CD4_Glyco_lo	0.302766912474177	0	B	Incoming_partner_to_CD4	-0.17054102841402	FALSE	TRUE	0.17054102841402	TRUE
MHC-I	HLA-E_KLRK1	HLA-E	KLRK1	CD8T	CD4_Glyco_hi	0.118539637764975	1	CD8T	CD4_Glyco_lo	0.288058830395705	0	CD8T	Incoming_partner_to_CD4	-0.169519192630729	FALSE	TRUE	0.169519192630729	TRUE
