gene	mean_hi	mean_lo	median_hi	median_lo	detected_hi	detected_lo	mean_delta
CD3D	8.08883561643836	7.85527397260274	9.74	9.72	0.813356164383562	0.796232876712329	0.233561643835616
CD3E	6.18195205479452	6.27565068493151	7.035	7.11	0.861301369863014	0.868150684931507	-0.093698630136986
TRAC	9.5803595890411	9.34	10.48	10.3	0.917808219178082	0.910958904109589	0.240359589041097
CD4	3.42157534246575	1.53440068493151	0	0	0.400684931506849	0.195205479452055	1.88717465753425
IL7R	3.46625	3.27561643835616	0	0	0.410958904109589	0.392123287671233	0.190633561643836
CD40LG	1.04628424657534	0.683578767123288	0	0	0.148972602739726	0.0907534246575342	0.362705479452055
CD8A	4.63940068493151	6.31327054794521	0	9.19	0.476027397260274	0.638698630136986	-1.6738698630137
CD8B	3.19922945205479	4.27553082191781	0	0	0.352739726027397	0.479452054794521	-1.07630136986301
CCL5	6.91960616438356	8.80282534246575	9.815	11.12	0.650684931506849	0.792808219178082	-1.88321917808219
GZMK	3.19299657534247	4.8283904109589	0	1.44	0.345890410958904	0.503424657534247	-1.63539383561644
GZMB	2.29856164383562	3.13602739726027	0	0	0.236301369863014	0.311643835616438	-0.837465753424658
NKG7	4.99493150684932	7.06061643835616	0	9.94	0.464041095890411	0.643835616438356	-2.06568493150685
FOXP3	0.951917808219178	0.438852739726027	0	0	0.169520547945206	0.077054794520548	0.513065068493151
IL2RA	0.95777397260274	0.468595890410959	0	0	0.133561643835616	0.0633561643835617	0.489178082191781
CTLA4	3.71734589041096	3.45948630136986	0	0	0.493150684931507	0.458904109589041	0.257859589041096
