old_cluster	gene	n_hi	n_lo	mean_hi	mean_lo	delta_mean	detected_hi	detected_lo	delta_detection
1	CD4	191	181	3.47450261780105	1.49723756906077	1.97726504874027	0.424083769633508	0.198895027624309	0.225188742009198
1	IL7R	191	181	3.46151832460733	3.51276243093923	-0.0512441063318967	0.408376963350785	0.425414364640884	-0.0170374012900987
1	CD40LG	191	181	1.26282722513089	1.00430939226519	0.258517832865697	0.183246073298429	0.12707182320442	0.0561742500940094
1	CD8A	191	181	4.60418848167539	6.80430939226519	-2.2001209105898	0.476439790575916	0.674033149171271	-0.197593358595355
1	CD8B	191	181	3.32178010471204	5.06381215469613	-1.74203204998409	0.350785340314136	0.552486187845304	-0.201700847531168
1	CCL5	191	181	7.0661780104712	8.76265193370166	-1.69647392323045	0.654450261780105	0.790055248618785	-0.13560498683868
1	GZMK	191	181	2.80549738219895	4.66767955801105	-1.8621821758121	0.303664921465969	0.497237569060774	-0.193572647594805
1	GZMB	191	181	2.43146596858639	3.19685082872928	-0.765384860142894	0.246073298429319	0.325966850828729	-0.0798935523994099
1	NKG7	191	181	5.11722513089005	7.03022099447514	-1.91299586358509	0.481675392670157	0.6353591160221	-0.153683723351942
1	FOXP3	191	181	0.993298429319372	0.321657458563536	0.671640970755836	0.183246073298429	0.0662983425414365	0.116947730756993
1	IL2RA	191	181	0.989057591623037	0.321823204419889	0.667234387203147	0.141361256544503	0.0441988950276243	0.0971623615168783
1	CTLA4	191	181	3.8486387434555	3.39674033149171	0.451898411963785	0.534031413612565	0.491712707182321	0.042318706430245
12	CD4	73	73	3.51945205479452	1.47342465753425	2.04602739726027	0.410958904109589	0.164383561643836	0.246575342465753
12	IL7R	73	73	3.09602739726027	2.82082191780822	0.275205479452055	0.36986301369863	0.342465753424658	0.0273972602739726
12	CD40LG	73	73	0.986164383561644	0.863150684931507	0.123013698630137	0.136986301369863	0.10958904109589	0.0273972602739726
12	CD8A	73	73	4.02643835616438	6.11150684931507	-2.08506849315068	0.424657534246575	0.63013698630137	-0.205479452054795
12	CD8B	73	73	2.34506849315069	4.22041095890411	-1.87534246575342	0.273972602739726	0.479452054794521	-0.205479452054795
12	CCL5	73	73	7.0058904109589	8.85397260273973	-1.84808219178082	0.671232876712329	0.808219178082192	-0.136986301369863
12	GZMK	73	73	3.12369863013699	5.93520547945206	-2.81150684931507	0.356164383561644	0.616438356164384	-0.26027397260274
12	GZMB	73	73	2.80917808219178	1.98520547945205	0.823972602739726	0.273972602739726	0.205479452054795	0.0684931506849315
12	NKG7	73	73	5.2086301369863	7.37753424657534	-2.16890410958904	0.479452054794521	0.698630136986301	-0.219178082191781
12	FOXP3	73	73	0.960684931506849	0.293835616438356	0.666849315068493	0.178082191780822	0.0547945205479452	0.123287671232877
12	IL2RA	73	73	1.55027397260274	0.497534246575343	1.0527397260274	0.219178082191781	0.0684931506849315	0.150684931506849
12	CTLA4	73	73	4.47082191780822	3.25767123287671	1.21315068493151	0.520547945205479	0.397260273972603	0.123287671232877
15	CD4	44	50	4.02795454545455	1.799	2.22895454545455	0.454545454545455	0.22	0.234545454545455
15	IL7R	44	50	3.87431818181818	2.583	1.29131818181818	0.454545454545455	0.32	0.134545454545455
15	CD40LG	44	50	1.04727272727273	0.3058	0.741472727272727	0.136363636363636	0.04	0.0963636363636363
15	CD8A	44	50	4.19772727272727	6.253	-2.05527272727273	0.409090909090909	0.6	-0.190909090909091
15	CD8B	44	50	3.48704545454545	4.0964	-0.609354545454546	0.363636363636364	0.46	-0.0963636363636364
15	CCL5	44	50	6.24045454545455	8.3908	-2.15034545454546	0.568181818181818	0.76	-0.191818181818182
15	GZMK	44	50	2.92954545454545	5.2066	-2.27705454545455	0.318181818181818	0.56	-0.241818181818182
15	GZMB	44	50	2.05704545454545	4.0146	-1.95755454545455	0.227272727272727	0.4	-0.172727272727273
15	NKG7	44	50	4.32272727272727	7.7938	-3.47107272727273	0.409090909090909	0.7	-0.290909090909091
15	FOXP3	44	50	0.604090909090909	0.731	-0.126909090909091	0.0909090909090909	0.14	-0.0490909090909091
15	IL2RA	44	50	1.01681818181818	0.31	0.706818181818182	0.136363636363636	0.04	0.0963636363636363
15	CTLA4	44	50	3.44340909090909	3.5858	-0.142390909090909	0.454545454545455	0.5	-0.0454545454545455
5	CD4	163	166	3.6859509202454	1.62596385542169	2.05998706482371	0.417177914110429	0.204819277108434	0.212358637001996
5	IL7R	163	166	2.92760736196319	2.84319277108434	0.0844145908788527	0.355828220858896	0.355421686746988	0.000406534111907775
5	CD40LG	163	166	0.911165644171779	0.473975903614458	0.437189740557321	0.134969325153374	0.0662650602409639	0.0687042649124104
5	CD8A	163	166	4.65742331288344	6.57740963855422	-1.91998632567078	0.47239263803681	0.662650602409639	-0.190257964372829
5	CD8B	163	166	3.3119018404908	4.00789156626506	-0.695989725774263	0.368098159509202	0.451807228915663	-0.0837090694064602
5	CCL5	163	166	6.99570552147239	8.87138554216867	-1.87568002069628	0.662576687116564	0.789156626506024	-0.12657993938946
5	GZMK	163	166	3.42300613496933	5.04831325301205	-1.62530711804272	0.368098159509202	0.506024096385542	-0.13792593687634
5	GZMB	163	166	2.65460122699387	3.68048192771084	-1.02588070071698	0.276073619631902	0.355421686746988	-0.0793480671150861
5	NKG7	163	166	5.11656441717791	7.20367469879518	-2.08711028161727	0.478527607361963	0.644578313253012	-0.166050705891049
5	FOXP3	163	166	1.18650306748466	0.480240963855422	0.706262103629241	0.214723926380368	0.072289156626506	0.142434769753862
5	IL2RA	163	166	0.855705521472393	0.531144578313253	0.32456094315914	0.116564417177914	0.072289156626506	0.0442752605514081
5	CTLA4	163	166	4.00723926380368	3.79072289156627	0.216516372237416	0.52760736196319	0.475903614457831	0.0517037475053588
6	CD4	113	114	2.65141592920354	1.3830701754386	1.26834575376494	0.309734513274336	0.184210526315789	0.125523986958547
6	IL7R	113	114	4.33150442477876	4.12377192982456	0.2077324949542	0.504424778761062	0.456140350877193	0.048284427883869
6	CD40LG	113	114	0.913628318584071	0.530263157894737	0.383365160689334	0.123893805309735	0.0789473684210526	0.0449464368886819
6	CD8A	113	114	5.24088495575221	5.30464912280702	-0.0637641670548055	0.539823008849558	0.570175438596491	-0.0303524297469338
6	CD8B	113	114	3.26929203539823	3.52754385964912	-0.258251824250892	0.380530973451327	0.412280701754386	-0.0317497283030586
6	CCL5	113	114	6.77079646017699	8.91473684210526	-2.14394038192827	0.646017699115044	0.807017543859649	-0.160999844744605
6	GZMK	113	114	3.66353982300885	3.88868421052632	-0.225144387517466	0.389380530973451	0.412280701754386	-0.0229001707809347
6	GZMB	113	114	1.32451327433628	2.59824561403509	-1.2737323396988	0.141592920353982	0.254385964912281	-0.112793044558298
6	NKG7	113	114	4.73646017699115	6.37605263157895	-1.6395924545878	0.424778761061947	0.596491228070175	-0.171712467008229
6	FOXP3	113	114	0.673362831858407	0.529385964912281	0.143976866946126	0.106194690265487	0.087719298245614	0.0184753920198727
6	IL2RA	113	114	0.646371681415929	0.661578947368421	-0.0152072659524919	0.0884955752212389	0.087719298245614	0.000776276975624907
6	CTLA4	113	114	2.69716814159292	3.15061403508772	-0.453445893494799	0.371681415929204	0.403508771929825	-0.031827356000621
