gene	n_clusters	n_hi_higher	n_lo_higher	median_delta	mean_delta	direction
CD4	5	5	0	2.04602739726027	1.91611596200875	Glyco_hi
IL7R	5	4	1	0.2077324949542	0.361485328154279	Glyco_hi
CD40LG	5	5	0	0.383365160689334	0.388711832003043	Glyco_hi
CD8A	5	0	5	-2.05527272727273	-1.66484252474776	Glyco_lo
CD8B	5	0	5	-0.695989725774263	-1.03619412224344	Glyco_lo
CCL5	5	0	5	-1.87568002069628	-1.94290439443626	Glyco_lo
GZMK	5	0	5	-1.8621821758121	-1.76023901522838	Glyco_lo
GZMB	5	1	4	-1.02588070071698	-0.839715968654699	Glyco_lo
NKG7	5	0	5	-2.08711028161727	-2.25593508733038	Glyco_lo
FOXP3	5	4	1	0.666849315068493	0.412364033098121	Glyco_hi
IL2RA	5	4	1	0.667234387203147	0.547229194451075	Glyco_hi
CTLA4	5	3	2	0.216516372237416	0.2571457333094	Glyco_hi
