direction	partner	pathway	interaction_name	ligand	receptor	prob_hi	prob_lo	pval_hi	pval_lo	delta_prob	abs_delta	sig_hi	sig_lo	sig_either
Incoming_partner_to_CD4	pDC	IL16	IL16_CD4	IL16	CD4	0.0567064491893449	0	0	1	0.0567064491893449	0.0567064491893449	TRUE	FALSE	TRUE
Incoming_partner_to_CD4	B	IL16	IL16_CD4	IL16	CD4	0.0456555904706983	0	0	1	0.0456555904706983	0.0456555904706983	TRUE	FALSE	TRUE
Incoming_partner_to_CD4	CD8T	CCL	CCL5_CCR5	CCL5	CCR5	0.0524145685936354	0.0907581367606204	0.03	0	-0.0383435681669849	0.0383435681669849	TRUE	TRUE	TRUE
Incoming_partner_to_CD4	Tprolif	CCL	CCL5_CCR5	CCL5	CCR5	0.0516477957559674	0.0894834059502497	0.06	0	-0.0378356101942823	0.0378356101942823	FALSE	TRUE	TRUE
Incoming_partner_to_CD4	NK	CCL	CCL5_CCR5	CCL5	CCR5	0.0499744800279388	0.0866963317039958	0.09	0	-0.0367218516760569	0.0367218516760569	FALSE	TRUE	TRUE
Incoming_partner_to_CD4	Plasma	IL16	IL16_CD4	IL16	CD4	0.0361194907599737	0	0	1	0.0361194907599737	0.0361194907599737	TRUE	FALSE	TRUE
Incoming_partner_to_CD4	NK	CCL	CCL4_CCR5	CCL4	CCR5	0.0356046047429472	0.062461533700828	0	0	-0.0268569289578809	0.0268569289578809	TRUE	TRUE	TRUE
Incoming_partner_to_CD4	CD8T	CCL	CCL4_CCR5	CCL4	CCR5	0.0341639226160358	0.0600017423614133	0	0	-0.0258378197453775	0.0258378197453775	TRUE	TRUE	TRUE
Incoming_partner_to_CD4	Tprolif	CCL	CCL4_CCR5	CCL4	CCR5	0.0337305967397691	0.0592608045342155	0	0	-0.0255302077944463	0.0255302077944463	TRUE	TRUE	TRUE
Outgoing_CD4_to_partner	Tprolif	CCL	CCL5_CCR5	CCL5	CCR5	0.0695470092705014	0.0925065514943542	0	0	-0.0229595422238527	0.0229595422238527	TRUE	TRUE	TRUE
Outgoing_CD4_to_partner	CD8T	CCL	CCL5_CCR5	CCL5	CCR5	0.0657910301603939	0.0876273875832361	0	0	-0.0218363574228422	0.0218363574228422	TRUE	TRUE	TRUE
Outgoing_CD4_to_partner	MonoMacro	CCL	CCL5_CCR1	CCL5	CCR1	0.0640074656052948	0.085305904616301	0	0	-0.0212984390110063	0.0212984390110063	TRUE	TRUE	TRUE
Incoming_partner_to_CD4	Tprolif	IL16	IL16_CD4	IL16	CD4	0.0211642496856347	0	0	1	0.0211642496856347	0.0211642496856347	TRUE	FALSE	TRUE
Incoming_partner_to_CD4	CD8T	IL16	IL16_CD4	IL16	CD4	0.0200868009504616	0	0	1	0.0200868009504616	0.0200868009504616	TRUE	FALSE	TRUE
Incoming_partner_to_CD4	MonoMacro	IL16	IL16_CD4	IL16	CD4	0.0173579613645908	0	0	1	0.0173579613645908	0.0173579613645908	TRUE	FALSE	TRUE
Incoming_partner_to_CD4	MonoMacro	CCL	CCL3_CCR5	CCL3	CCR5	0.0221588557221337	0.0392866811318993	0	0	-0.0171278254097655	0.0171278254097655	TRUE	TRUE	TRUE
Incoming_partner_to_CD4	NK	IL16	IL16_CD4	IL16	CD4	0.0159665067469513	0	0	1	0.0159665067469513	0.0159665067469513	TRUE	FALSE	TRUE
Outgoing_CD4_to_partner	MonoMacro	CCL	CCL5_CCR5	CCL5	CCR5	0.0402845091809794	0.0541457957658746	0.22	0.05	-0.0138612865848952	0.0138612865848952	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	pDC	IL16	IL16_CD4	IL16	CD4	0.0780315829599243	0.0911191950725328	0	0	-0.0130876121126085	0.0130876121126085	TRUE	TRUE	TRUE
Outgoing_CD4_to_partner	pDC	MIF	MIF_CD74_CXCR4	MIF	CD74_CXCR4	0.307612792892354	0.296209152385589	0	0	0.0114036405067647	0.0114036405067647	TRUE	TRUE	TRUE
Outgoing_CD4_to_partner	B	MIF	MIF_CD74_CXCR4	MIF	CD74_CXCR4	0.300988519146544	0.289727691174869	0	0	0.0112608279716741	0.0112608279716741	TRUE	TRUE	TRUE
Outgoing_CD4_to_partner	Tprolif	MIF	MIF_CD74_CXCR4	MIF	CD74_CXCR4	0.275212174126127	0.264550734046117	0.14	0.9	0.01066144008001	0.01066144008001	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	CD8T	MIF	MIF_CD74_CXCR4	MIF	CD74_CXCR4	0.274699079223113	0.264050274533054	0.21	0.92	0.0106488046900586	0.0106488046900586	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	MonoMacro	MIF	MIF_CD74_CD44	MIF	CD74_CD44	0.273036877793757	0.262429194678101	0	0	0.0106076831156559	0.0106076831156559	TRUE	TRUE	TRUE
Outgoing_CD4_to_partner	MonoMacro	IL16	IL16_CD4	IL16	CD4	0.0605176434291768	0.0708936562547754	0	0	-0.0103760128255986	0.0103760128255986	TRUE	TRUE	TRUE
Outgoing_CD4_to_partner	MonoMacro	MIF	MIF_CD74_CXCR4	MIF	CD74_CXCR4	0.261522325439739	0.251207406492116	0.92	1	0.0103149189476224	0.0103149189476224	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	MIF	MIF_CD74_CD44	MIF	CD74_CD44	0.25306371823952	0.242972654187579	0	0.32	0.0100910640519411	0.0100910640519411	TRUE	FALSE	TRUE
Outgoing_CD4_to_partner	CD8T	MIF	MIF_CD74_CD44	MIF	CD74_CD44	0.247763490938988	0.237816485092979	0.05	0.79	0.00994700584600966	0.00994700584600966	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	Tprolif	MIF	MIF_CD74_CD44	MIF	CD74_CD44	0.245160661917254	0.235285467854085	0.19	0.88	0.00987519406316897	0.00987519406316897	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	NK	MIF	MIF_CD74_CXCR4	MIF	CD74_CXCR4	0.234806680748318	0.225224109486573	1	1	0.00958257126174578	0.00958257126174578	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	MonoMacro	CD86	CD86_CD28	CD86	CD28	0.0540015856539752	0.0446011566012345	0	0	0.00940042905274072	0.00940042905274072	TRUE	TRUE	TRUE
Outgoing_CD4_to_partner	NK	MIF	MIF_CD74_CD44	MIF	CD74_CD44	0.216913240781168	0.207862541737632	1	1	0.00905069904353684	0.00905069904353684	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	Tprolif	CCL	CCL3_CCR5	CCL3	CCR5	0.0110561421625375	0.0197756144719207	0.02	0	-0.00871947230938318	0.00871947230938318	TRUE	TRUE	TRUE
Incoming_partner_to_CD4	NK	CCL	CCL3_CCR5	CCL3	CCR5	0.0106106828392801	0.0189855862657588	0.03	0	-0.00837490342647866	0.00837490342647866	TRUE	TRUE	TRUE
Outgoing_CD4_to_partner	pDC	MIF	MIF_CD74_CD44	MIF	CD74_CD44	0.187042933971611	0.178953755157138	1	1	0.00808917881447269	0.00808917881447269	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	MonoMacro	CCL	CCL4_CCR5	CCL4	CCR5	0.00956774373937124	0.017133721419131	0.28	0.09	-0.00756597767975978	0.00756597767975978	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	Plasma	MIF	MIF_CD74_CD44	MIF	CD74_CD44	0.167505326526328	0.160094708138089	1	1	0.00741061838823973	0.00741061838823973	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	Plasma	MIF	MIF_CD74_CXCR4	MIF	CD74_CXCR4	0.129888399367357	0.123894321637025	1	1	0.00599407773033286	0.00599407773033286	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	Tprolif	CCL	CCL3_CCR5	CCL3	CCR5	0	0.00508875622816294	1	0.13	-0.00508875622816294	0.00508875622816294	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	CD8T	CCL	CCL3_CCR5	CCL3	CCR5	0.00612498340773797	0.0109987289650574	0.11	0	-0.00487374555731944	0.00487374555731944	FALSE	TRUE	TRUE
Outgoing_CD4_to_partner	CD8T	CCL	CCL3_CCR5	CCL3	CCR5	0	0.00479598766472082	1	0.13	-0.00479598766472082	0.00479598766472082	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	MonoMacro	CCL	CCL3_CCR1	CCL3	CCR1	0	0.00465772648171258	1	0	-0.00465772648171258	0.00465772648171258	FALSE	TRUE	TRUE
Incoming_partner_to_CD4	Plasma	MIF	MIF_CD74_CD44	MIF	CD74_CD44	0.269283950749164	0.265170459405358	0	0	0.00411349134380612	0.00411349134380612	TRUE	TRUE	TRUE
Incoming_partner_to_CD4	Tprolif	MIF	MIF_CD74_CD44	MIF	CD74_CD44	0.254896238323973	0.250927056007887	0	0	0.00396918231608684	0.00396918231608684	TRUE	TRUE	TRUE
Incoming_partner_to_CD4	MonoMacro	MIF	MIF_CD74_CD44	MIF	CD74_CD44	0.249850921959131	0.245934372532682	0	0.13	0.00391654942644956	0.00391654942644956	TRUE	FALSE	TRUE
Incoming_partner_to_CD4	pDC	MIF	MIF_CD74_CD44	MIF	CD74_CD44	0.234392375674202	0.230643642424298	0.8	0.88	0.00374873324990419	0.00374873324990419	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	CD8T	MIF	MIF_CD74_CD44	MIF	CD74_CD44	0.232605382338155	0.228876685242707	1	1	0.0037286970954476	0.0037286970954476	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	MonoMacro	CCL	CCL3_CCR5	CCL3	CCR5	0	0.00286413309276882	1	0.4	-0.00286413309276882	0.00286413309276882	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	MonoMacro	CD86	CD86_CTLA4	CD86	CTLA4	0.0605004917894538	0.0579975374229632	0	0	0.00250295436649051	0.00250295436649051	TRUE	TRUE	TRUE
Incoming_partner_to_CD4	NK	MIF	MIF_CD74_CD44	MIF	CD74_CD44	0.105650160441955	0.103681612585376	1	1	0.0019685478565788	0.0019685478565788	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	B	MIF	MIF_CD74_CD44	MIF	CD74_CD44	0.103131774477256	0.101204840984828	1	1	0.00192693349242871	0.00192693349242871	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	Tprolif	CCL	CCL4_CCR5	CCL4	CCR5	0.0227218228365516	0.0244291534995263	0.04	0	-0.00170733066297471	0.00170733066297471	TRUE	TRUE	TRUE
Outgoing_CD4_to_partner	CD8T	CCL	CCL4_CCR5	CCL4	CCR5	0.0214364388483298	0.0230494630092699	0.02	0	-0.00161302416094007	0.00161302416094007	TRUE	TRUE	TRUE
Outgoing_CD4_to_partner	MonoMacro	CCL	CCL4_CCR5	CCL4	CCR5	0.0128885103462286	0.0138674449448725	0.29	0.19	-0.000978934598643911	0.000978934598643911	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	Plasma	MIF	MIF_CD74_CXCR4	MIF	CD74_CXCR4	0.296521754314835	0.296628218670256	0	0	-0.000106464355421498	0.000106464355421498	TRUE	TRUE	TRUE
Incoming_partner_to_CD4	Tprolif	MIF	MIF_CD74_CXCR4	MIF	CD74_CXCR4	0.281238857759725	0.281342029391497	0	0	-0.00010317163177187	0.00010317163177187	TRUE	TRUE	TRUE
Incoming_partner_to_CD4	MonoMacro	MIF	MIF_CD74_CXCR4	MIF	CD74_CXCR4	0.275865173341203	0.275967130537959	0.13	0.07	-0.000101957196756319	0.000101957196756319	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	pDC	MIF	MIF_CD74_CXCR4	MIF	CD74_CXCR4	0.259353569699336	0.259451610849808	0.88	0.86	-9.80411504725165e-05	9.80411504725165e-05	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	CD8T	MIF	MIF_CD74_CXCR4	MIF	CD74_CXCR4	0.257440264155785	0.257537833531902	1	1	-9.75693761165464e-05	9.75693761165464e-05	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	NK	MIF	MIF_CD74_CXCR4	MIF	CD74_CXCR4	0.119032771476715	0.119086297211573	1	1	-5.35257348576596e-05	5.35257348576596e-05	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	B	MIF	MIF_CD74_CXCR4	MIF	CD74_CXCR4	0.116236843827327	0.116289278270525	1	1	-5.24344431981905e-05	5.24344431981905e-05	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	MIF	MIF_CD74_CXCR2	MIF	CD74_CXCR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	MIF	MIF_ACKR3	MIF	ACKR3	0	0	1	1	0	0	FALSE	FALSE	FALSE
