direction	pathway	delta_mean	delta_sum	mean_prob_hi	mean_prob_lo	abs_delta_mean	max_abs_delta	n_sig_hi	n_sig_lo	n_sig_either	favored
Outgoing_CD4_to_partner	MIF	0.0762999086818004	0.534099360772603	0.197495057001595	0.121195148319794	0.0762999086818004	0.264324546211194				Glyco_hi
Outgoing_CD4_to_partner	GALECTIN	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	CD99	-0.000378027577628119	-0.00264619304339683	0.15855286225703	0.158930889834658	0.000378027577628119	0.000607859517765208				Glyco_lo
Outgoing_CD4_to_partner	ICAM	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	CypA	0.000682064710870079	0.00477445297609055	0.124443260634551	0.123761195923681	0.000682064710870079	0.00125273624527966				Glyco_hi
Outgoing_CD4_to_partner	APP	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	ANNEXIN	-3.23265935583247e-05	-0.000226286154908273	0.0521549725047752	0.0521872990983335	3.23265935583247e-05	0.000226286154908273				Glyco_lo
Outgoing_CD4_to_partner	CCL	-0.0183168879613147	-0.128218215729203	0.0347862523887245	0.0531031403500393	0.0183168879613147	0.0801019612585935				Glyco_lo
Outgoing_CD4_to_partner	SELPLG	0.0181519068666275	0.127063348066393	0.0538380728026807	0.0356861659360532	0.0181519068666275	0.0431485904765731				Glyco_hi
Outgoing_CD4_to_partner	CD45	4.77856567936102e-05	0.000334499597555271	0.0421376605537005	0.0420898748969069	4.77856567936102e-05	0.000334499597555271				Glyco_hi
Outgoing_CD4_to_partner	SIRP	-0.00904090480327028	-0.063286333622892	0.0456375048009759	0.0546784096042462	0.00904090480327028	0.0536660439110442				Glyco_lo
Outgoing_CD4_to_partner	LCK	-0.00149797999925407	-0.0104858599947785	0.0326179535559655	0.0341159335552196	0.00149797999925407	0.0104858599947785				Glyco_lo
Outgoing_CD4_to_partner	IL16	-0.00335194641974387	-0.0234636249382071	0.0197927466270145	0.0231446930467583	0.00335194641974387	0.0130876121126085				Glyco_lo
Outgoing_CD4_to_partner	SEMA4	-0.0110288660036067	-0.0772020620252469	0.0211286010129888	0.0321574670165955	0.0110288660036067	0.0293307261159407				Glyco_lo
Outgoing_CD4_to_partner	CLEC	-0.00141686903597227	-0.0099180832518059	0.0236282896041677	0.02504515864014	0.00141686903597227	0.0099180832518059				Glyco_lo
Outgoing_CD4_to_partner	CXCL	-0.00385092240560799	-0.0269564568392559	0.0127456287872703	0.0165965511928783	0.00385092240560799	0.0107311554177556				Glyco_lo
Outgoing_CD4_to_partner	CD23	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	PARs	-0.00878010059816896	-0.0614607041871828	0.00556348535943722	0.0143435859576062	0.00878010059816896	0.0312782426161746				Glyco_lo
Outgoing_CD4_to_partner	LAIR1	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	IFN-II	-0.00069730262337691	-0.00488111836363837	0.0121064328108186	0.0128037354341955	0.00069730262337691	0.00343722174962361				Glyco_lo
Outgoing_CD4_to_partner	JAM	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	CD86	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	VISFATIN	0.000449748280221183	0.00314823796154828	0.00375106794056272	0.00330131966034154	0.000449748280221183	0.00314823796154828				Glyco_hi
Outgoing_CD4_to_partner	TNF	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	VCAM	-0.000255091187462049	-0.00178563831223435	0.0034558795410181	0.00371097072848015	0.000255091187462049	0.00178563831223435				Glyco_lo
Outgoing_CD4_to_partner	APRIL	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	BTLA	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	BAFF	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	CD6	-9.52842129929954e-05	-0.000666989490950968	0.0059755144681787	0.0060707986811717	9.52842129929954e-05	0.000313851069975259				Glyco_lo
Outgoing_CD4_to_partner	CADM	-0.00267174907829333	-0.0187022435480533	0	0.00267174907829333	0.00267174907829333	0.0103735042887219				Glyco_lo
Outgoing_CD4_to_partner	ICOS	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	LAMININ	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	CD48	-6.47571191338299e-06	-4.53299833936809e-05	0.001205975510174	0.00121245122208739	6.47571191338299e-06	4.53299833936809e-05				Glyco_lo
Outgoing_CD4_to_partner	GRN	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	CD137	-0.00113957941824027	-0.00797705592768188	0	0.00113957941824027	0.00113957941824027	0.00471144081913491				Glyco_lo
Outgoing_CD4_to_partner	CD39	-0.000196390123760728	-0.0013747308663251	0	0.000196390123760728	0.000196390123760728	0.0013747308663251				Glyco_lo
Outgoing_CD4_to_partner	CDH1	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	GAS	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	SEMA3	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	SEMA7	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	FASLG	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	COMPLEMENT	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	CALCR	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	MPZ	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	CDH	0	0	0	0	0	0				Equal
Outgoing_CD4_to_partner	NCAM	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	MIF	0.036817708518833	0.257723959631831	0.193113103300975	0.156295394782142	0.036817708518833	0.249850921959131				Glyco_hi
Incoming_partner_to_CD4	GALECTIN	-0.00559619186858323	-0.0391733430800826	0.191004949757096	0.196601141625679	0.00559619186858323	0.0159705140250969				Glyco_lo
Incoming_partner_to_CD4	CD99	-0.0159372173228275	-0.111560521259793	0.108285854570902	0.124223071893729	0.0159372173228275	0.0497211538472988				Glyco_lo
Incoming_partner_to_CD4	ICAM	0.00091282062582722	0.00638974438079054	0.135849988148844	0.134937167523017	0.00091282062582722	0.00251764728043835				Glyco_hi
Incoming_partner_to_CD4	CypA	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	APP	-0.000427130130010858	-0.00298991091007601	0.0505077047592262	0.050934834889237	0.000427130130010858	0.00240542373384028				Glyco_lo
Incoming_partner_to_CD4	ANNEXIN	0	0	0	0	0	0				Equal
