direction	partner	pathway	n_LR	raw_sum_hi	raw_sum_lo	raw_delta_sum	raw_mean_hi	raw_mean_lo	raw_delta_mean	n_sig_hi	n_sig_lo	threshold_sum_hi	threshold_sum_lo	threshold_delta	threshold_effect	raw_relative_pct	netP_hi	netP_lo	netP_delta	error_hi	error_lo
Incoming_partner_to_CD4	B	ACTIVIN	20	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	ADIPONECTIN	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	ADM	6	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	AGRN	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	AGT	3	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	AMH	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	ANGPT	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	ANGPTL	15	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	ANNEXIN	6	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	B	APP	4	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	B	APRIL	2	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	B	ApoA	4	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	ApoB	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	ApoE	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	BAFF	3	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	B	BAG	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	BMP	75	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	BMP10	4	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	BRADYKININ	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	B	BSP	2	0	0	0	0	0	0	0	0	0	0	0	0						
