direction	pathway	total_raw_delta	mean_partner_raw_delta	mean_delta_per_LR	total_threshold_delta	threshold_distortion
Incoming_partner_to_CD4	ACTIVIN	0	0	0	0	0
Incoming_partner_to_CD4	ADIPONECTIN	0	0	0	0	0
Incoming_partner_to_CD4	ADM	0	0	0	0	0
Incoming_partner_to_CD4	AGRN	0	0	0	0	0
Incoming_partner_to_CD4	AGT	0	0	0	0	0
Incoming_partner_to_CD4	AMH	0	0	0	0	0
Incoming_partner_to_CD4	ANGPT	0	0	0	0	0
Incoming_partner_to_CD4	ANGPTL	0	0	0	0	0
Incoming_partner_to_CD4	ANNEXIN	0	0	0	0	0
Incoming_partner_to_CD4	APP	-0.00298991091007601	-0.000427130130010858	-0.000106782532502715	-0.00298991091007601	0
Incoming_partner_to_CD4	APRIL	0	0	0	0	0
Incoming_partner_to_CD4	ApoA	0	0	0	0	0
Incoming_partner_to_CD4	ApoB	0	0	0	0	0
Incoming_partner_to_CD4	ApoE	0	0	0	0	0
Incoming_partner_to_CD4	BAFF	0	0	0	0	0
Incoming_partner_to_CD4	BAG	0	0	0	0	0
Incoming_partner_to_CD4	BMP	0	0	0	0	0
Incoming_partner_to_CD4	BMP10	0	0	0	0	0
Incoming_partner_to_CD4	BRADYKININ	0	0	0	0	0
Incoming_partner_to_CD4	BSP	0	0	0	0	0
Incoming_partner_to_CD4	BTLA	-0.000144122583274055	-2.05889404677221e-05	-2.05889404677221e-05	-0.000144122583274055	0
Incoming_partner_to_CD4	CADM	0	0	0	0	0
Incoming_partner_to_CD4	CALC	0	0	0	0	0
Incoming_partner_to_CD4	CALCR	0	0	0	0	0
Incoming_partner_to_CD4	CCL	-0.237787910917736	-0.0339697015596765	-0.000617630937448664	-0.33796919242962	-0.100181281511884
Incoming_partner_to_CD4	CD137	0.0114099472137865	0.00162999245911236	0.00162999245911236	0.0114099472137865	0
Incoming_partner_to_CD4	CD160	0	0	0	0	0
Incoming_partner_to_CD4	CD200	0	0	0	0	0
Incoming_partner_to_CD4	CD23	0	0	0	0	0
Incoming_partner_to_CD4	CD276	0	0	0	0	0
Incoming_partner_to_CD4	CD30	0	0	0	0	0
Incoming_partner_to_CD4	CD34	0	0	0	0	0
Incoming_partner_to_CD4	CD39	0.00513432101925886	0.000733474431322694	0.000183368607830673	0.00513432101925886	0
Incoming_partner_to_CD4	CD40	0	0	0	0	0
Incoming_partner_to_CD4	CD45	0	0	0	0	0
Incoming_partner_to_CD4	CD46	0	0	0	0	0
Incoming_partner_to_CD4	CD48	0	0	0	0	0
Incoming_partner_to_CD4	CD6	0	0	0	0	0
Incoming_partner_to_CD4	CD70	0	0	0	0	0
Incoming_partner_to_CD4	CD80	0	0	0	0	0
Incoming_partner_to_CD4	CD86	0.0119033834192312	0.00170048334560446	0.000850241672802231	0.0119033834192312	6.93889390390723e-18
Incoming_partner_to_CD4	CD96	0	0	0	0	0
Incoming_partner_to_CD4	CD99	-0.0319426047805525	-0.00456322925436464	-0.00114080731359116	-0.111560521259793	-0.0796179164792403
Incoming_partner_to_CD4	CDH	0	0	0	0	0
Incoming_partner_to_CD4	CDH1	-0.00210782435047302	-0.000301117764353289	-0.000100372588117763	-0.00210782435047302	0
Incoming_partner_to_CD4	CEACAM	0	0	0	0	0
Incoming_partner_to_CD4	CHAD	0	0	0	0	0
Incoming_partner_to_CD4	CHEMERIN	0	0	0	0	0
Incoming_partner_to_CD4	CLDN	0	0	0	0	0
Incoming_partner_to_CD4	CLEC	0	0	0	0	0
Incoming_partner_to_CD4	CNTN	0	0	0	0	0
Incoming_partner_to_CD4	COLLAGEN	0	0	0	0	0
Incoming_partner_to_CD4	COMPLEMENT	0	0	0	0	0
Incoming_partner_to_CD4	CRH	0	0	0	0	0
Incoming_partner_to_CD4	CSF	0	0	0	0	0
Incoming_partner_to_CD4	CSF3	0	0	0	0	0
Incoming_partner_to_CD4	CSPG4	0	0	0	0	0
Incoming_partner_to_CD4	CTSG	0	0	0	0	0
Incoming_partner_to_CD4	CX3C	0	0	0	0	0
Incoming_partner_to_CD4	CXCL	0.000114117868635367	1.63025526621953e-05	7.41025121008878e-07	0.000114117868635367	0
Incoming_partner_to_CD4	CypA	0.0215730872635973	0.00308186960908532	0.00308186960908532	0	-0.0215730872635973
