partner	interaction_name	Glyco_prob_hi	Glyco_prob_lo	Glyco_delta	TPI1_prob_hi	TPI1_prob_lo	TPI1_delta	concordant	max_abs_effect
B	CCL11_ACKR2	0	0	0	0	0	0	TRUE	0
B	CCL11_CCR3	0	0	0	0	0	0	TRUE	0
B	CCL13_ACKR2	0	0	0	0	0	0	TRUE	0
B	CCL13_ACKR4	0	0	0	0	0	0	TRUE	0
B	CCL13_CCR1	0	0	0	0	0	0	TRUE	0
B	CCL14_ACKR2	0	0	0	0	0	0	TRUE	0
B	CCL14_CCR1	0	0	0	0	0	0	TRUE	0
B	CCL15_CCR1	0	0	0	0	0	0	TRUE	0
B	CCL16_CCR1	0	0	0	0	0	0	TRUE	0
B	CCL17_ACKR2	0	0	0	0	0	0	TRUE	0
B	CCL17_CCR4	0	0	0	0	0	0	TRUE	0
B	CCL19_ACKR4	0	0	0	0	0	0	TRUE	0
B	CCL19_CCR7	0	0	0	0	0	0	TRUE	0
B	CCL1_ACKR4	0	0	0	0	0	0	TRUE	0
B	CCL1_CCR8	0	0	0	0	0	0	TRUE	0
B	CCL20_CCR6	0	0	0	0	0	0	TRUE	0
B	CCL21_ACKR4	0	0	0	0	0	0	TRUE	0
B	CCL21_CCR7	0	0	0	0	0	0	TRUE	0
B	CCL22_ACKR2	0	0	0	0	0	0	TRUE	0
B	CCL22_CCR4	0	0	0	0	0	0	TRUE	0
B	CCL23_CCR1	0	0	0	0	0	0	TRUE	0
B	CCL24_ACKR2	0	0	0	0	0	0	TRUE	0
B	CCL24_CCR3	0	0	0	0	0	0	TRUE	0
B	CCL25_ACKR4	0	0	0	0	0	0	TRUE	0
B	CCL25_CCR9	0	0	0	0	0	0	TRUE	0
B	CCL26_ACKR2	0	0	0	0	0	0	TRUE	0
B	CCL26_CCR3	0	0	0	0	0	0	TRUE	0
B	CCL27_CCR10	0	0	0	0	0	0	TRUE	0
B	CCL27_CCR2	0	0	0	0	0	0	TRUE	0
B	CCL27_CCR3	0	0	0	0	0	0	TRUE	0
B	CCL28_CCR10	0	0	0	0	0	0	TRUE	0
B	CCL28_CCR3	0	0	0	0	0	0	TRUE	0
B	CCL2_ACKR2	0	0	0	0	0	0	TRUE	0
B	CCL2_CCR2	0	0	0	0	0	0	TRUE	0
B	CCL3L1_ACKR2	0	0	0	0	0	0	TRUE	0
B	CCL3L1_CCR1	0	0	0	0	0	0	TRUE	0
B	CCL3L3_CCR1	0	0	0	0	0	0	TRUE	0
B	CCL3_ACKR2	0	0	0	0	0	0	TRUE	0
B	CCL3_CCR1	0	0	0	0	0	0	TRUE	0
B	CCL3_CCR5	0	0	0	0	0	0	TRUE	0
B	CCL4_ACKR2	0	0	0	0	0	0	TRUE	0
B	CCL4_CCR5	0	0	0	0	0	0	TRUE	0
B	CCL5_ACKR2	0	0	0	0	0	0	TRUE	0
B	CCL5_CCR1	0	0	0	0	0	0	TRUE	0
B	CCL5_CCR3	0	0	0	0	0	0	TRUE	0
B	CCL5_CCR4	0	0	0	0	0	0	TRUE	0
B	CCL5_CCR5	0	0	0	0	0	0	TRUE	0
B	CCL7_ACKR2	0	0	0	0	0	0	TRUE	0
B	CCL7_CCR1	0	0	0	0	0	0	TRUE	0
B	CCL7_CCR2	0	0	0	0	0	0	TRUE	0
B	CCL7_CCR3	0	0	0	0	0	0	TRUE	0
B	CCL8_ACKR2	0	0	0	0	0	0	TRUE	0
B	CCL8_ACKR4	0	0	0	0	0	0	TRUE	0
B	CCL8_CCR1	0	0	0	0	0	0	TRUE	0
B	CCL8_CCR2	0	0	0	0	0	0	TRUE	0
CD8T	CCL11_ACKR2	0	0	0	0	0	0	TRUE	0
CD8T	CCL11_CCR3	0	0	0	0	0	0	TRUE	0
CD8T	CCL13_ACKR2	0	0	0	0	0	0	TRUE	0
CD8T	CCL13_ACKR4	0	0	0	0	0	0	TRUE	0
CD8T	CCL13_CCR1	0	0	0	0	0	0	TRUE	0
CD8T	CCL14_ACKR2	0	0	0	0	0	0	TRUE	0
