direction	pathway	Glyco_delta	Glyco_mean_delta_per_LR	TPI1_delta	TPI1_mean_delta_per_LR	Glyco_direction	TPI1_direction	concordant
Incoming_partner_to_CD4	CCL	-0.237787910917736	-0.000617630937448664	-0.213350660216674	-0.000554157559004348	lo	lo	TRUE
Incoming_partner_to_CD4	CD99	-0.0319426047805525	-0.00114080731359116	-0.0486393045262295	-0.00173711801879391	lo	lo	TRUE
Incoming_partner_to_CD4	GALECTIN	-0.027770349344974	-0.000793438552713544	0.00848474535690064	0.000242421295911447	lo	hi	FALSE
Incoming_partner_to_CD4	IL16	0.213057049167655	0.030436721309665	0.0570659566746929	0.00815227952495613	hi	hi	TRUE
Incoming_partner_to_CD4	LCK	-0.15880920397032	-0.0226870291386171	-0.0261904616954415	-0.00374149452792021	lo	lo	TRUE
Incoming_partner_to_CD4	MIF	0.0227589708921072	0.000812820389003829	-0.0173487449536573	-0.000619598034059188	hi	lo	FALSE
Incoming_partner_to_CD4	SIRP	-0.045824843954325	-0.00654640627918928	-0.0546459176188608	-0.00780655965983726	lo	lo	TRUE
Outgoing_CD4_to_partner	CCL	-0.10166151813252	-0.000264055891253299	-0.00732894160541588	-1.90362119621192e-05	lo	lo	TRUE
Outgoing_CD4_to_partner	CD99	-0.00333763106436108	-0.000119201109441467	-0.00962754141679949	-0.000343840764885696	lo	lo	TRUE
Outgoing_CD4_to_partner	GALECTIN	0	0	0	0	equal	equal	TRUE
Outgoing_CD4_to_partner	IL16	-0.0234636249382071	-0.00335194641974387	-0.00391350342100205	-0.000559071917286007	lo	lo	TRUE
Outgoing_CD4_to_partner	LCK	-0.0104858599947785	-0.00149797999925407	0.000927763033871876	0.000132537576267411	lo	hi	FALSE
Outgoing_CD4_to_partner	MIF	0.134937724511233	0.00481920444682976	0.303129991190351	0.0108260711139411	hi	hi	TRUE
Outgoing_CD4_to_partner	SIRP	-0.0116859722679506	-0.00166942460970723	0.0170657590677625	0.00243796558110893	lo	hi	FALSE
