direction	partner	pathway	n_LR	raw_sum_hi	raw_sum_lo	raw_delta_sum	raw_delta_mean	n_sig_hi	n_sig_lo
Outgoing_CD4_to_partner	B	TGFb	12	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	BMP	75	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	BMP10	4	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	GDF	6	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	MSTN	4	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	AMH	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	GDNF	5	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	NODAL	12	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	ACTIVIN	20	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	WNT	320	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	ncWNT	31	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	EGF	18	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	NRG	13	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	FGF	46	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	PDGF	6	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	VEGF	8	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	IGF	8	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	INSULIN	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	HH	6	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CCL	55	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CXCL	22	0.0454391979330316	0	0.0454391979330316	0.00206541808786507	1	0
Outgoing_CD4_to_partner	B	MIF	4	0.560885280456917	0.512873396707701	0.0480118837492152	0.0120029709373038	2	1
Outgoing_CD4_to_partner	B	CX3C	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	XCR	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	IL2	8	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	IL4	10	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	IL6	3	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	IL12	3	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	LIFR	4	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	OSM	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	IL10	8	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	IL1	10	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	IL17	6	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CSF	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	IL16	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	EPO	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	GH	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	PRL	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CSF3	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	IFN-I	17	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	IFN-II	1	0.0119349362514363	0.0118130023777063	0.000121933873729939	0.000121933873729939	1	1
Outgoing_CD4_to_partner	B	TNF	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	LT	4	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	LIGHT	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	FASLG	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	VEGI	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	TRAIL	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	NGF	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	RANKL	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	TWEAK	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CD70	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CD30	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CD137	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	OX40	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	GITRL	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	APRIL	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	BAFF	3	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CD40	4	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	SPP1	9	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	ADIPONECTIN	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	RESISTIN	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	VISFATIN	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	ANGPTL	15	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	ANGPT	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	MK	9	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	PTN	8	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	PERIOSTIN	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	AGT	3	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	GPR	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	BRADYKININ	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	COMPLEMENT	7	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	EDN	5	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	GALANIN	6	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	GHRELIN	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	MELANOCORTIN	5	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	NMU	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	NPFF	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	NPY	16	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	NPW-B	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	NTS	3	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	OPIOID	12	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	HCRT	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	OXT	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	SOMATOSTATIN	7	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	TAC	4	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	UTS2	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	PARs	29	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	PMCH	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	PROK	4	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	NPR1	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	NPR2	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	KIT	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	GIPR	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	FSH	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	TSH	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	NT	9	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	FLT3	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	HGF	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	SEMA3	39	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CALCR	8	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	ANNEXIN	6	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CRH	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	ENHO	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	GAS	3	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	GCG	3	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	GHRH	4	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	GNRH	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	GRN	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	GUCA	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	RLN	16	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	LEP	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	GALECTIN	5	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	NPVF	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	PROS	3	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	PSAP	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	PTH	3	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	QRFP	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CHEMERIN	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	SAA	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	UGRP1	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	SCT	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	SLURP	16	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	BTLA	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	TRH	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	UCN	4	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	UROTENSIN	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	BAG	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	KLK	12	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	ADM	6	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CALC	12	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	IAPP	6	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	PROCR	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CTSG	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	GRP	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	PTPR	11	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	SLITRK	8	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	IGFBP	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CypA	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	PROC	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	MHC-I	41	0.0406089121961608	0.0406100848962509	-1.17270009008554e-06	-2.86024412215984e-08	2	2
Outgoing_CD4_to_partner	B	RBP4	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	SLIT	3	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	TULP	5	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	PLAU	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	COLLAGEN	187	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	FN1	13	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	LAMININ	139	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CHAD	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	RELN	3	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	THBS	30	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	VTN	7	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	TENASCIN	28	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	NPNT	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	DSPP	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	VWF	3	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	BSP	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	DMP1	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	AGRN	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	HSPG	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	APP	4	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CADM	6	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CD23	4	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CD34	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CD39	4	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CD45	2	0.294698837866563	0.294405948156404	0.000292889710159006	0.000146444855079503	1	1
Outgoing_CD4_to_partner	B	CD46	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CD48	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CD6	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CD80	3	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CD86	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CD96	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CD99	4	0.101857442918585	0.102633672640484	-0.000776229721898995	-0.000194057430474749	1	1
Outgoing_CD4_to_partner	B	CDH	4	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CDH1	3	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CEACAM	7	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CLDN	4	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CLEC	6	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CNTN	7	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	CSPG4	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	DESMOSOME	11	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	EPGN	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	EPHA	32	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	EPHB	16	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	ESAM	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	GP1BA	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	ICAM	8	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	ICOS	3	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	JAM	10	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	L1CAM	3	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	LCK	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	MADCAM	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	MHC-II	12	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	MPZ	3	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	NCAM	5	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	NEGR	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	NGL	3	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	NOTCH	24	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	NRXN	24	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	PD-L1	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	PDL2	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	PTPRM	1	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	PVR	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	SELE	2	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	SELL	4	0	0	0	0	0	0
Outgoing_CD4_to_partner	B	SELPLG	3	0.0777949314303121	0.134654355122097	-0.0568594236917849	-0.018953141230595	1	1
