direction	pathway	total_raw_delta	mean_partner_raw_delta	mean_delta_per_LR
Outgoing_CD4_to_partner	TGFb	0	0	0
Outgoing_CD4_to_partner	BMP	0	0	0
Outgoing_CD4_to_partner	BMP10	0	0	0
Outgoing_CD4_to_partner	GDF	0	0	0
Outgoing_CD4_to_partner	MSTN	0	0	0
Outgoing_CD4_to_partner	AMH	0	0	0
Outgoing_CD4_to_partner	GDNF	0	0	0
Outgoing_CD4_to_partner	NODAL	0	0	0
Outgoing_CD4_to_partner	ACTIVIN	0	0	0
Outgoing_CD4_to_partner	WNT	0	0	0
Outgoing_CD4_to_partner	ncWNT	0	0	0
Outgoing_CD4_to_partner	EGF	0	0	0
Outgoing_CD4_to_partner	NRG	0	0	0
Outgoing_CD4_to_partner	FGF	0	0	0
Outgoing_CD4_to_partner	PDGF	0	0	0
Outgoing_CD4_to_partner	VEGF	0	0	0
Outgoing_CD4_to_partner	IGF	0	0	0
Outgoing_CD4_to_partner	INSULIN	0	0	0
Outgoing_CD4_to_partner	HH	0	0	0
Outgoing_CD4_to_partner	CCL	-0.00732894160541588	-0.00104699165791655	-1.90362119621192e-05
Outgoing_CD4_to_partner	CXCL	0.189017911669171	0.0270025588098816	0.0012273890368128
Outgoing_CD4_to_partner	MIF	0.303129991190351	0.0433042844557644	0.0108260711139411
Outgoing_CD4_to_partner	CX3C	0	0	0
Outgoing_CD4_to_partner	XCR	0	0	0
Outgoing_CD4_to_partner	IL2	0	0	0
Outgoing_CD4_to_partner	IL4	0	0	0
Outgoing_CD4_to_partner	IL6	0	0	0
Outgoing_CD4_to_partner	IL12	0	0	0
Outgoing_CD4_to_partner	LIFR	0	0	0
Outgoing_CD4_to_partner	OSM	0	0	0
Outgoing_CD4_to_partner	IL10	0	0	0
Outgoing_CD4_to_partner	IL1	0	0	0
Outgoing_CD4_to_partner	IL17	0	0	0
Outgoing_CD4_to_partner	CSF	0	0	0
Outgoing_CD4_to_partner	IL16	-0.00391350342100205	-0.000559071917286007	-0.000559071917286007
Outgoing_CD4_to_partner	EPO	0	0	0
Outgoing_CD4_to_partner	GH	0	0	0
Outgoing_CD4_to_partner	PRL	0	0	0
Outgoing_CD4_to_partner	CSF3	0	0	0
Outgoing_CD4_to_partner	IFN-I	0	0	0
Outgoing_CD4_to_partner	IFN-II	0.000877588469179293	0.000125369781311328	0.000125369781311328
Outgoing_CD4_to_partner	TNF	0	0	0
Outgoing_CD4_to_partner	LT	0	0	0
Outgoing_CD4_to_partner	LIGHT	0	0	0
Outgoing_CD4_to_partner	FASLG	0	0	0
Outgoing_CD4_to_partner	VEGI	0	0	0
