sample	response	grp	n_cells	mean_expr	median_expr	detection	gene	analysis
Post_P1	Responder	hi	16	1.068125	0	0.125	CCR5	Glyco
Post_P1	Responder	lo	16	1.045625	0	0.125	CCR5	Glyco
Post_P1_2	Non-responder	hi	28	2.62285714285714	0	0.321428571428571	CCR5	Glyco
Post_P1_2	Non-responder	lo	28	2.34428571428571	0	0.321428571428571	CCR5	Glyco
Post_P2	Non-responder	hi	21	3.32619047619048	0	0.476190476190476	CCR5	Glyco
Post_P2	Non-responder	lo	21	3.00857142857143	0	0.380952380952381	CCR5	Glyco
Post_P3	Non-responder	hi	19	2.05210526315789	0	0.263157894736842	CCR5	Glyco
Post_P3	Non-responder	lo	19	3.71315789473684	0	0.473684210526316	CCR5	Glyco
Post_P3_2	Non-responder	hi	18	0.612222222222222	0	0.0555555555555556	CCR5	Glyco
Post_P3_2	Non-responder	lo	18	3.02055555555556	0	0.333333333333333	CCR5	Glyco
Post_P4	Responder	hi	38	0.433684210526316	0	0.0526315789473684	CCR5	Glyco
Post_P4	Responder	lo	38	0.991578947368421	0	0.131578947368421	CCR5	Glyco
Post_P5	Non-responder	hi	14	2.08785714285714	0	0.285714285714286	CCR5	Glyco
Post_P5	Non-responder	lo	14	4.57571428571429	6.695	0.571428571428571	CCR5	Glyco
Post_P5_2	Responder	hi	28	1.38428571428571	0	0.214285714285714	CCR5	Glyco
Post_P5_2	Responder	lo	28	2.70821428571429	0	0.321428571428571	CCR5	Glyco
Post_P6	Non-responder	hi	12	2.60916666666667	0	0.416666666666667	CCR5	Glyco
Post_P6	Non-responder	lo	12	4.32583333333333	5.2	0.583333333333333	CCR5	Glyco
Post_P7	Responder	hi	8	3.56	0	0.375	CCR5	Glyco
Post_P7	Responder	lo	8	2.28375	0	0.375	CCR5	Glyco
Post_P8	Responder	hi	18	0.837222222222222	0	0.111111111111111	CCR5	Glyco
Post_P8	Responder	lo	18	1.28166666666667	0	0.166666666666667	CCR5	Glyco
Post_P10	Non-responder	hi	33	2.3230303030303	0	0.303030303030303	CCR5	Glyco
Post_P10	Non-responder	lo	33	2.44060606060606	0	0.303030303030303	CCR5	Glyco
Post_P11	Non-responder	hi	17	4.23176470588235	0	0.470588235294118	CCR5	Glyco
Post_P11	Non-responder	lo	17	2.58	0	0.352941176470588	CCR5	Glyco
Post_P12	Non-responder	hi	31	4.0658064516129	1.56	0.516129032258065	CCR5	Glyco
Post_P12	Non-responder	lo	31	5.01516129032258	7.3	0.580645161290323	CCR5	Glyco
Post_P13	Non-responder	hi	19	1.09736842105263	0	0.210526315789474	CCR5	Glyco
Post_P13	Non-responder	lo	19	2.10842105263158	0	0.263157894736842	CCR5	Glyco
Post_P14	Non-responder	hi	15	3.41266666666667	0	0.4	CCR5	Glyco
Post_P14	Non-responder	lo	15	2.05333333333333	0	0.266666666666667	CCR5	Glyco
Post_P15	Non-responder	hi	15	1.66466666666667	0	0.2	CCR5	Glyco
Post_P15	Non-responder	lo	15	1.02	0	0.133333333333333	CCR5	Glyco
Post_P16	Non-responder	hi	28	1.63321428571429	0	0.214285714285714	CCR5	Glyco
Post_P16	Non-responder	lo	28	1.58142857142857	0	0.214285714285714	CCR5	Glyco
Post_P17	Responder	hi	31	0.504193548387097	0	0.0645161290322581	CCR5	Glyco
Post_P17	Responder	lo	31	0.297096774193548	0	0.032258064516129	CCR5	Glyco
Post_P18	Non-responder	hi	20	1.253	0	0.2	CCR5	Glyco
