gene	Glyco_delta	Glyco_median_delta	Glyco_hi_higher	Glyco_hi_lower	Glyco_p	Glyco_FDR	TPI1_delta	TPI1_median_delta	TPI1_hi_higher	TPI1_hi_lower	TPI1_p	TPI1_FDR	concordant
CCL5	-1.85890450514544	-1.50375	4	24	0.000179748797211619	0.000675530163494317	-0.47317600772109	-0.536428571428571	9	19	0.231891842274368	0.364401466431149	TRUE
CD4	1.94941152652098	2.12375	27	1	1.0516565541314e-05	0.000115682220954454	0.606158029009143	0.413681818181818	20	8	0.0122472944103816	0.067360119257099	TRUE
CD40LG	0.392190243202643	0.295595238095238	21	7	0.0264042592493652	0.0318402062576344	0.0986306590142764	0.0872222222222222	14	12	0.387845458153092	0.533287504960502	TRUE
CD8A	-1.82817558476705	-1.98375939849624	4	24	0.00030705916522469	0.000675530163494317	-0.744971093638801	-0.366760869565217	13	15	0.113509487391612	0.249720872261547	TRUE
CD8B	-1.09515479192081	-0.564561403508772	7	21	0.00566219855239807	0.0103806973460631	-0.646604408949986	-0.511631578947369	8	20	0.0296547844748976	0.0815506573059684	TRUE
FOXP3	0.447528660478314	0.300133928571429	19	8	0.00793642896747733	0.0124715312346072	0.0538732670555985	0.0360164835164835	15	11	0.576328596521652	0.633961456173817	TRUE
GZMB	-0.900414188777565	-0.301578947368421	9	18	0.0246824042703588	0.0318402062576344	0.128197912670451	0.152047619047619	14	14	0.501738413648285	0.613235838903459	FALSE
GZMK	-1.79271174100505	-1.62972426470588	6	22	0.000281187306881917	0.000675530163494317	-1.36077186817768	-1.33558823529412	6	22	0.000335147110925678	0.00368661822018245	TRUE
IL2RA	0.485849712594056	0.315297619047619	18	8	0.0289456420523949	0.0318402062576344	0.314388105316271	0.291866883116883	18	7	0.0292975240056653	0.0815506573059684	TRUE
IL7R	0.112011504649499	0.144404761904762	16	12	0.51634770530381	0.51634770530381	-0.14450572370701	-0.227794117647059	13	15	0.707118758175719	0.707118758175719	FALSE
NKG7	-2.15919198666046	-2.14383838383838	3	25	0.000235452738026986	0.000675530163494317	-0.501157416669016	-0.15700925925926	12	16	0.18281804252244	0.33516641129114	TRUE
