analysis	gene	n_samples	mean_hi	mean_lo	median_delta	mean_delta	n_hi_higher	n_hi_lower	wilcox_p	p_adj
Glyco	CCL5	28	7.02133118407803	8.88023568922347	-1.50375	-1.85890450514544	4	24	0.000179748797211619	0.000675530163494317
Glyco	CD4	28	3.47584674704769	1.5264352205267	2.12375	1.94941152652098	27	1	1.0516565541314e-05	0.000115682220954454
Glyco	CD40LG	28	1.06754339086539	0.675353147662742	0.295595238095238	0.392190243202643	21	7	0.0264042592493652	0.0318402062576344
Glyco	CD8A	28	4.50722335129517	6.33539893606222	-1.98375939849624	-1.82817558476705	4	24	0.00030705916522469	0.000675530163494317
Glyco	CD8B	28	3.05837134304126	4.15352613496206	-0.564561403508772	-1.09515479192081	7	21	0.00566219855239807	0.0103806973460631
Glyco	FOXP3	28	0.905248180044514	0.4577195195662	0.300133928571429	0.447528660478314	19	8	0.00793642896747733	0.0124715312346072
Glyco	GZMB	28	2.35881253295967	3.25922672173723	-0.301578947368421	-0.900414188777565	9	18	0.0246824042703588	0.0318402062576344
Glyco	GZMK	28	2.99066569650243	4.78337743750748	-1.62972426470588	-1.79271174100505	6	22	0.000281187306881917	0.000675530163494317
Glyco	IL2RA	28	0.983661168655747	0.497811456061691	0.315297619047619	0.485849712594056	18	8	0.0289456420523949	0.0318402062576344
Glyco	IL7R	28	3.28862409624682	3.17661259159732	0.144404761904762	0.112011504649499	16	12	0.51634770530381	0.51634770530381
Glyco	NKG7	28	4.99382520243322	7.15301718909368	-2.14383838383838	-2.15919198666046	3	25	0.000235452738026986	0.000675530163494317
TPI1	CCL5	28	7.73764773960333	8.21082374732442	-0.536428571428571	-0.47317600772109	9	19	0.231891842274368	0.364401466431149
TPI1	CD4	28	2.93636382273429	2.33020579372515	0.413681818181818	0.606158029009143	20	8	0.0122472944103816	0.067360119257099
TPI1	CD40LG	28	0.91665337998648	0.818022720972204	0.0872222222222222	0.0986306590142764	14	12	0.387845458153092	0.533287504960502
TPI1	CD8A	28	5.00996181879657	5.75493291243537	-0.366760869565217	-0.744971093638801	13	15	0.113509487391612	0.249720872261547
TPI1	CD8B	28	3.45191434987055	4.09851875882054	-0.511631578947369	-0.646604408949986	8	20	0.0296547844748976	0.0815506573059684
TPI1	FOXP3	28	0.671890558873859	0.618017291818261	0.0360164835164835	0.0538732670555985	15	11	0.576328596521652	0.633961456173817
TPI1	GZMB	28	2.90576849998768	2.77757058731723	0.152047619047619	0.128197912670451	14	14	0.501738413648285	0.613235838903459
TPI1	GZMK	28	3.0396536105717	4.40042547874937	-1.33558823529412	-1.36077186817768	6	22	0.000335147110925678	0.00368661822018245
TPI1	IL2RA	28	0.959397339555118	0.645009234238848	0.291866883116883	0.314388105316271	18	7	0.0292975240056653	0.0815506573059684
TPI1	IL7R	28	3.24214888721794	3.38665461092495	-0.227794117647059	-0.14450572370701	13	15	0.707118758175719	0.707118758175719
TPI1	NKG7	28	5.87005762325662	6.37121503992564	-0.15700925925926	-0.501157416669016	12	16	0.18281804252244	0.33516641129114
