section	comp_a	comp_b	moran_I	p
mel1_rep1	lymphoid	lymphoid	0.3940937522787825	0.001
mel1_rep1	lymphoid	myeloid	0.12023696022730046	0.001
mel1_rep1	lymphoid	bcell	0.4004976275609533	0.001
mel1_rep1	lymphoid	tumor	-0.3257823689834886	1.0
mel1_rep1	myeloid	myeloid	0.07487600509696717	0.004
mel1_rep1	myeloid	bcell	0.09149048483031394	0.002
mel1_rep1	myeloid	tumor	-0.06465563842612444	0.992
mel1_rep1	bcell	bcell	0.5163205051309302	0.001
mel1_rep1	bcell	tumor	-0.40654488850605347	1.0
mel1_rep1	tumor	tumor	0.5266466919357051	0.001
mel1_rep2	lymphoid	lymphoid	0.43457744845709795	0.001
mel1_rep2	lymphoid	myeloid	0.17807217636964232	0.001
mel1_rep2	lymphoid	bcell	0.40537958015450015	0.001
mel1_rep2	lymphoid	tumor	-0.34697375734283903	1.0
mel1_rep2	myeloid	myeloid	0.22674999100713125	0.001
mel1_rep2	myeloid	bcell	0.05586527900702575	0.034
mel1_rep2	myeloid	tumor	0.006720812341169643	0.411
mel1_rep2	bcell	bcell	0.5511723224769306	0.001
mel1_rep2	bcell	tumor	-0.47313527972051556	1.0
mel1_rep2	tumor	tumor	0.6410579108254366	0.001
mel2_rep1	lymphoid	lymphoid	0.596766048698978	0.001
mel2_rep1	lymphoid	myeloid	0.23028259827876363	0.001
mel2_rep1	lymphoid	bcell	0.4291982055096806	0.001
mel2_rep1	lymphoid	tumor	-0.35667806286406856	1.0
mel2_rep1	myeloid	myeloid	0.353689698976924	0.001
mel2_rep1	myeloid	bcell	-0.009653367297483383	0.618
mel2_rep1	myeloid	tumor	0.06266418368967118	0.02
mel2_rep1	bcell	bcell	0.5418114720899265	0.001
mel2_rep1	bcell	tumor	-0.40796707431220813	1.0
mel2_rep1	tumor	tumor	0.49112030347689706	0.001
mel2_rep2	lymphoid	lymphoid	0.5245344485924728	0.001
mel2_rep2	lymphoid	myeloid	0.16610122552199466	0.001
mel2_rep2	lymphoid	bcell	0.5185687962989435	0.001
mel2_rep2	lymphoid	tumor	-0.38677420542210855	1.0
mel2_rep2	myeloid	myeloid	0.2930828511272416	0.001
mel2_rep2	myeloid	bcell	0.01838053192421832	0.285
mel2_rep2	myeloid	tumor	0.012344196574042126	0.39
mel2_rep2	bcell	bcell	0.6050532416678505	0.001
mel2_rep2	bcell	tumor	-0.45606768278490223	1.0
mel2_rep2	tumor	tumor	0.37981599466361193	0.001
mel3_rep1	lymphoid	lymphoid	0.07019107462408644	0.009
mel3_rep1	lymphoid	myeloid	0.03341076445362699	0.114
mel3_rep1	lymphoid	bcell	0.008980080510441114	0.349
mel3_rep1	lymphoid	tumor	-0.016372598402809115	0.723
mel3_rep1	myeloid	myeloid	0.03913190099444336	0.067
mel3_rep1	myeloid	bcell	0.047744861167498154	0.029
mel3_rep1	myeloid	tumor	0.03551545171192057	0.09
mel3_rep1	bcell	bcell	0.13615026708180764	0.001
mel3_rep1	bcell	tumor	0.07405309012504875	0.013
mel3_rep1	tumor	tumor	0.12252432668213055	0.001
mel3_rep2	lymphoid	lymphoid	0.16188455306185343	0.001
mel3_rep2	lymphoid	myeloid	0.0627847812507074	0.031
mel3_rep2	lymphoid	bcell	0.09688426777733453	0.011
mel3_rep2	lymphoid	tumor	-0.0337592654520145	0.883
mel3_rep2	myeloid	myeloid	0.009095949822369075	0.331
mel3_rep2	myeloid	bcell	0.03980413072261223	0.047
mel3_rep2	myeloid	tumor	-0.036199048102838985	0.943
mel3_rep2	bcell	bcell	0.06059300951464246	0.035
mel3_rep2	bcell	tumor	-0.07730182219515802	1.0
mel3_rep2	tumor	tumor	0.09155858675849016	0.001
mel4_rep1	lymphoid	lymphoid	-0.04203608508754363	0.947
mel4_rep1	lymphoid	myeloid	0.06780919177980618	0.007
mel4_rep1	lymphoid	bcell	0.07427123838446854	0.01
mel4_rep1	lymphoid	tumor	-0.028687300587261592	0.845
mel4_rep1	myeloid	myeloid	0.13653063469283708	0.001
mel4_rep1	myeloid	bcell	0.049488730113310966	0.059
mel4_rep1	myeloid	tumor	-0.01043092220559495	0.631
mel4_rep1	bcell	bcell	0.008921305890681644	0.321
mel4_rep1	bcell	tumor	-0.0037098245987991947	0.588
mel4_rep1	tumor	tumor	0.39268648298501224	0.001
mel4_rep2	lymphoid	lymphoid	0.09121850489671955	0.002
mel4_rep2	lymphoid	myeloid	0.14224340045349565	0.001
mel4_rep2	lymphoid	bcell	0.027303758234483735	0.178
mel4_rep2	lymphoid	tumor	-0.14408311374823038	1.0
mel4_rep2	myeloid	myeloid	0.21232815999264035	0.001
mel4_rep2	myeloid	bcell	0.05233700060740832	0.057
mel4_rep2	myeloid	tumor	-0.24972692395964446	1.0
mel4_rep2	bcell	bcell	0.040718881122082946	0.074
mel4_rep2	bcell	tumor	-0.04432450815179112	0.961
mel4_rep2	tumor	tumor	0.29856454190395926	0.001
