timepoint	variable	n_R	n_NR	median_R	median_NR	diff	p	FDR
Pre	TPI1	9	10	3.52304695422134	4.85054014265453	-1.32749318843319	0.010132282578103	0.0168871376301717
Pre	Glyco	9	10	0.560734689353158	0.760961445911259	-0.200226756558101	0.094719521964104	0.094719521964104
Pre	Oxphos	9	10	-0.618222878513833	-0.398291251680569	-0.219931626833264	0.094719521964104	0.094719521964104
Pre	Prolif	9	10	0.2830253735062	0.765001773465333	-0.481976399959132	0.0076208621100262	0.0168871376301717
Pre	Exhaust	9	10	1.57259545381213	2.49513767778494	-0.922542223972806	0.010132282578103	0.0168871376301717
Post	TPI1	9	18	3.29253298078759	4.59856175370587	-1.30602877291828	0.00220389667137571	0.0110194833568786
Post	Glyco	9	18	0.518561796548703	0.698423136271052	-0.179861339722349	0.0108721079159956	0.0271802697899889
Post	Oxphos	9	18	-0.600292785688916	-0.289931178405442	-0.310361607283474	0.0287694215297819	0.0479490358829699
Post	Prolif	9	18	0.380850096965265	0.559957105876108	-0.179107008910844	0.0758928618583575	0.0948660773229469
Post	Exhaust	9	18	2.00614933778225	2.54354263023559	-0.537393292453344	0.207478643524066	0.207478643524066
