gene	timepoint	n_R	n_NR	median_R	median_NR	diff	p	pct_detected	FDR
TPI1	Post	9	18	3.29253298078759	4.59856175370587	-1.30602877291828	0.00220389667137571	64.9	0.0484857267702657
PGAM1	Post	9	18	2.73964730655288	3.59967727256688	-0.860029966014002	0.00805672989280488	53.3	0.069211505517473
GAPDH	Post	9	18	5.99955173334647	6.46905100689405	-0.469499273547578	0.0108721079159956	95.1	0.069211505517473
PFKP	Post	9	18	1.39884683901837	2.05750639181628	-0.658659552797907	0.012583910094086	32.3	0.069211505517473
ENO1	Post	9	18	4.23223683834884	4.92998097093896	-0.697744132590118	0.0287694215297819	74.2	0.102257672165458
PFKL	Post	9	18	1.64315198220372	2.12109351027286	-0.477941528069147	0.0287694215297819	31.9	0.102257672165458
LDHA	Post	9	18	4.20693168656052	4.91696073296549	-0.710029046404975	0.0327461842794244	74.8	0.102257672165458
PKM	Post	9	18	3.62978686403467	4.69766565512575	-1.06787879109108	0.0371846080601667	71.1	0.102257672165458
ALDOA	Post	9	18	4.65916941600119	5.28479828886355	-0.625628872862362	0.047610221672843	78.6	0.116380541866949
GPI	Post	9	18	3.1248979316766	3.60336050417241	-0.478462572495808	0.0677779018529321	57.1	0.149111384076451
HK1	Post	9	18	1.30084079275119	1.8015697520084	-0.500728959257207	0.172747291395305	29.5	0.34549458279061
ALDOC	Post	9	18	0.397690340208859	0.460916520265336	-0.0632261800564773	0.207409237277279	8.6	0.351117704425343
PGK1	Post	9	18	4.43808966950772	4.8260499042669	-0.387960234759182	0.207478643524066	72.7	0.351117704425343
SLC2A1	Post	9	18	0.855671143929838	0.928179992075875	-0.0725088481460372	0.226632610445854	15.5	0.356136959272057
SLC2A3	Post	9	18	3.91411903605189	4.22267601950563	-0.308556983453742	0.341184262441063	65	0.500403584913559
ENO2	Post	9	18	0.773465682155012	0.830524588715346	-0.0570589065603342	0.395921580069294	14.9	0.544392172595279
PFKM	Post	9	18	0.234873742115607	0.217554152250856	0.0173195898647513	0.44019127838255	4.5	0.569659301436241
HK2	Post	9	18	0.185917835030583	0.23679623915085	-0.0508784041202671	0.553824752051239	6.1	0.676896919173737
PFKFB4	Post	9	18	0.0603384761464653	0.0751514634138019	-0.0148129872673366	0.675002900826238	1.3	0.781582306219854
PFKFB3	Post	9	18	2.41432891199336	2.23861882965108	0.175710082342277	0.816906415027109	39.1	0.85580672050459
PGM1	Post	9	18	0.386091331830418	0.577811517411082	-0.191720185580664	0.816906415027109	9.2	0.85580672050459
HK3	Post	9	18	0	0	0	0.910032064806188	1.4	0.910032064806188
PGAM1	Pre	9	10	2.52515582219343	3.70168766840456	-1.17653184621113	0.00145056182207885	53.3	0.0319123600857347
PGM1	Pre	9	10	0.217308021892987	0.616270758286043	-0.398962736393056	0.0076208621100262	9.2	0.0729935698975947
TPI1	Pre	9	10	3.52304695422134	4.85054014265453	-1.32749318843319	0.010132282578103	64.9	0.0729935698975947
PGK1	Pre	9	10	3.79409696677268	4.86951457568843	-1.07541760891575	0.013271558163199	72.7	0.0729935698975947
HK1	Pre	9	10	1.38905172930534	1.80634077507906	-0.417289045773722	0.0172118902769058	29.5	0.0757323172183854
GAPDH	Pre	9	10	6.11169479030763	6.46580103919111	-0.354106248883477	0.0279287276191301	95.1	0.102405334603477
ENO1	Pre	9	10	4.36783794979658	4.75098928057183	-0.383151330775251	0.0788932429799303	74.2	0.247950192222638
GPI	Pre	9	10	2.9163159759922	3.41082604944132	-0.494510073449126	0.112754118946069	57.1	0.293260300071446
ALDOA	Pre	9	10	4.74470442669682	5.21276942922401	-0.468065002527198	0.133300136396112	78.6	0.293260300071446
PKM	Pre	9	10	4.06936785124068	4.46292638793519	-0.393558536694502	0.133300136396112	71.1	0.293260300071446
PFKP	Pre	9	10	1.42206320720352	1.94532711089157	-0.523263903688044	0.156400874667129	32.3	0.312801749334257
LDHA	Pre	9	10	4.53909246173692	5.3454744916678	-0.806382029930882	0.211024269847799	74.8	0.357117995127045
SLC2A1	Pre	9	10	0.723781423862301	1.05164517981777	-0.327863755955472	0.211024269847799	15.5	0.357117995127045
ALDOC	Pre	9	10	0.639633024210828	0.383548108634797	0.256084915576031	0.24280672887484	8.6	0.381553431089035
HK2	Pre	9	10	0.284195487772721	0.380118209145928	-0.0959227213732069	0.277511961722488	6.1	0.407017543859649
PFKL	Pre	9	10	1.71926354474532	1.66737903494723	0.0518845097980885	0.315378120331681	31.9	0.433644915456061
ENO2	Pre	9	10	0.569575609172832	0.978502581596602	-0.408926972423771	0.356232003290827	14.9	0.461006121905776
SLC2A3	Pre	9	10	4.44120141718949	3.84085534155098	0.600346075638509	0.400181861482171	65	0.489111164033765
PFKFB3	Pre	9	10	1.68423747972017	2.37703969105241	-0.692802211332238	0.496698348091537	39.1	0.575124403053359
PFKM	Pre	9	10	0.188797718128016	0.248223582807784	-0.0594258646797679	0.567458527195413	4.5	0.624204379914955
HK3	Pre	9	10	0	0.036373074996935	-0.036373074996935	0.658892422553708	1.4	0.690268252199123
PFKFB4	Pre	9	10	0	0	0	0.963752881847805	1.3	0.963752881847805
