cell	sample	grp	match_pair	nFeature	Glyco
A11_P6_M36_L001	Post_P3_2	hi	Post_P3_2__6__1	1379	2.69704380225373
A12_P1_M39_T_enriched	Post_P2	lo	Post_P2__13__1	2699	0.983999454743732
A12_P4_M89_L001	Post_P28_2	hi	Post_P28_2__15__4	3063	2.95279534714649
A12_P6_MMD2-36B_L001	Post_P10	hi	Post_P10__13__6	2754	2.63364412940749
A1_P1_M51_L001	Post_P21	lo	Post_P21__9__6	1956	0.0545647037440982
A1_P6_M51_L001	Post_P21	lo	Post_P21__9__1	1859	-1.04909123954926
A2_P12_MMD2-36B_T_enriched	Post_P10	lo	Post_P10__9__4	1875	1.11082878953108
A2_P3_M23	Post_P3	hi	Post_P3__15__1	3090	4.39760178117048
A4_P1_M67_L001	Post_P6	hi	Post_P6__16__3	3393	3.24935750636132
A4_P1_M74_L001	Post_P13	lo	Post_P13__7__2	1504	0.535960559796437
A5_P5_M45_L001	Post_P18	lo	Post_P18__10__6	2098	1.03078244274809
A6_P2_M83_L001	Post_P23	lo	Post_P23__11__1	2202	0.305471646673933
A6_P5_MMD8_L001	Post_P16	hi	Post_P16__9__3	1940	3.17168029807343
A7_P5_MMD8_L001	Post_P16	hi	Post_P16__10__1	2004	3.4856070519811
A7_P8_MMD2-36B_L001	Post_P10	hi	Post_P10__9__4	1872	2.43699291166848
A8_P2_M47	Post_P4	hi	Post_P4__11__4	2399	2.77684205743366
A8_P3_M23	Post_P3	hi	Post_P3__12__1	2450	2.12813340603417
B10_P3_MMD5_L001	Post_P8	hi	Post_P8__11__1	2212	2.8843302435478
B11_P1_M45_L001	Post_P18	hi	Post_P18__10__2	2042	2.81571882951654
B12_P1_M51_L001	Post_P21	lo	Post_P21__7__2	1449	0.12607324609233
B12_P4_MMD7_L001	Post_P19	lo	Post_P19__9__4	1867	-0.779472010178115
B1_P1_M55_L001	Post_P1_2	lo	Post_P1_2__13__3	2704	1.86697201017812
B2_P12_MMD2-36B_T_enriched	Post_P10	lo	Post_P10__23__1	4626	1.16655125408943
B2_P3_MMD1-84A_L001	Post_P5	hi	Post_P5__6__1	1347	2.48591239549255
B3_P1_M45_L001	Post_P18	hi	Post_P18__9__1	1856	2.10978189749182
B3_P2_M55_L001	Post_P1_2	hi	Post_P1_2__15__3	3093	2.97300617957106
B3_P5_M89_L001	Post_P28_2	hi	Post_P28_2__13__3	2715	3.21593147946201
B4_P3_MMD7_L001	Post_P19	lo	Post_P19__8__6	1741	0.549837331879314
B4_P4_M74_L001	Post_P13	hi	Post_P13__8__3	1674	2.25444929116685
B4_P8_M36_L001	Post_P3_2	lo	Post_P3_2__9__1	1848	-0.845736095965103
B5_P3_M67_L001	Post_P6	lo	Post_P6__19__1	3855	2.06168393311523
B7_P2_M13_L001	Post_P15	lo	Post_P15__10__3	2173	1.53808433296983
B8_P4_M23	Post_P3	lo	Post_P3__12__1	2409	1.03361686659396
B8_P6_M63-B1	Post_P7	lo	Post_P7__14__2	2948	1.30083242457288
B9_P12_MMD2-36B_T_enriched	Post_P10	hi	Post_P10__15__1	3000	3.21598237004725
B9_P4_MMD7_L001	Post_P19	lo	Post_P19__8__4	1719	0.482053798618684
B9_P7_MMD7_L001_myeloid_enriched	Post_P19	lo	Post_P19__9__3	1843	-0.94692475463468
C10_P10_MMD2-36B_L001	Post_P10	hi	Post_P10__23__1	4647	2.71625136314067
C10_P5_M67_L001_T_enriched	Post_P6	lo	Post_P6__11__1	2332	1.65791984732825
C11_P1_M51_L001	Post_P21	hi	Post_P21__9__6	1938	3.39110050890585
C11_P3_M47	Post_P4	lo	Post_P4__9__2	1834	-0.365846055979644
C12_P3_MMD5_L001	Post_P8	lo	Post_P8__11__1	2203	0.617466375863323
C1_P1_M44_L001	Post_P11	hi	Post_P11__7__1	1419	2.86839058524173
