gene	n_samples	mean_delta	n_hi_higher	n_hi_lower	p	FDR
CD4	27	1.53746384479718	16	10	0.088818283271724	0.293318488470668
CD40LG	27	0.966232804232804	13	9	0.0977728294902228	0.293318488470668
FOXP3	27	0.0184260728982951	12	8	0.48978275936519	0.534308464762025
IL2RA	27	0.757937242798354	12	8	0.380314081024951	0.456376897229942
CTLA4	27	0.380190623162846	14	7	0.297073591495103	0.406411737494969
CD8A	27	0	0	0		
CD8B	27	0	0	0		
CCL5	27	-1.52046972369195	9	17	0.15494303062453	0.371863273498873
GZMK	27	-0.711344062316285	8	11	0.304808803121227	0.406411737494969
GZMB	27	-0.456508230452675	3	6	0.286320596793059	0.406411737494969
NKG7	27	-1.72391402116402	4	14	0.00306219875895581	0.0367463851074697
PRF1	27	0.00398985890652553	10	12	0.922411166197264	0.922411166197264
GNLY	27	-0.444550264550265	3	6	0.236136970221653	0.406411737494969
IFNG	27	1.45286463844797	10	7	0.0883489873405658	0.293318488470668
