gene	n_samples	mean_delta	n_hi_higher	n_hi_lower	p	FDR
CD4	28	0.79773725133993	18	8	0.0147603673630064	0.20664514308209
CD40LG	28	0.181994722956659	15	8	0.16639508773146	0.465906245648089
FOXP3	28	0.150177663110699	12	13	0.72649641480556	0.932763049133557
IL2RA	28	0.253135429550608	13	8	0.297073591495103	0.594147182990206
CTLA4	28	-0.0271635671659168	12	14	0.799511184971621	0.932763049133557
CD8A	28	-0.0547485853223636	15	13	0.990915712694351	1
CD8B	28	0.034196701116344	15	11	0.760536969512658	0.932763049133557
CCL5	28	-0.4025112552965	9	19	0.135822864546937	0.465906245648089
GZMK	28	-0.750440700329328	10	17	0.133210150220477	0.465906245648089
GZMB	28	0.0185705190538367	11	15	1	1
NKG7	28	-0.492884647542307	13	15	0.214590021312922	0.50071004973015
PRF1	28	-0.285622856258195	12	16	0.51634770530381	0.903608484281667
GNLY	28	-0.0442195525339323	12	10	0.745441058829586	0.932763049133557
IFNG	28	0.936301808310737	18	9	0.0315364403470999	0.220755082429699
