set	timepoint	variable	n_R	n_NR	median_R	median_NR	diff	p	FDR
all fixed CD4	Pre	TPI1	9	10	3.52304695422134	4.85054014265453	-1.32749318843319	0.010132282578103	0.020264565156206
all fixed CD4	Pre	Glyco	9	10	-0.159459729778069	0.0485845073824028	-0.208044237160472	0.053475935828877	0.053475935828877
all fixed CD4	Pre	TPI1_resid	9	10	-0.612346521271156	0.713356583318011	-1.32570310458917	0.010132282578103	0.020264565156206
all fixed CD4	Pre	Glyco_resid	9	10	-0.167720191437065	0.0550460723526636	-0.222766263789728	0.0434735543094676	0.053475935828877
all fixed CD4	Post	TPI1	9	18	3.29253298078759	4.59856175370587	-1.30602877291828	0.00220389667137571	0.00440779334275142
all fixed CD4	Post	Glyco	9	18	-0.127596505851903	0.0563829407107108	-0.183979446562614	0.0050467647445529	0.00591270787306432
all fixed CD4	Post	TPI1_resid	9	18	-0.850741639167938	0.464195559067176	-1.31493719823511	0.00220389667137571	0.00440779334275142
all fixed CD4	Post	Glyco_resid	9	18	-0.135532724788066	0.0556091081529481	-0.191141832941015	0.00591270787306432	0.00591270787306432
CD8-free cells only	Pre	TPI1	8	8	3.78897217069518	4.75455313264131	-0.965580961946126	0.13038073038073	0.260761460761461
CD8-free cells only	Pre	Glyco	8	8	-0.0505354717890507	-0.00644254720485895	-0.0440929245841918	0.382284382284382	0.382284382284382
CD8-free cells only	Pre	TPI1_resid	8	8	-0.331428951542203	0.634152010403923	-0.965580961946127	0.13038073038073	0.260761460761461
CD8-free cells only	Pre	Glyco_resid	8	8	-0.0734945390635574	-0.0294016144793657	-0.0440929245841918	0.382284382284382	0.382284382284382
CD8-free cells only	Post	TPI1	6	18	3.38363202287663	4.6745238495792	-1.29089182670258	0.00371663351999258	0.00743326703998515
CD8-free cells only	Post	Glyco	6	18	-0.0893905810446562	0.120486750580711	-0.209877331625367	0.0149168308346085	0.0149168308346085
CD8-free cells only	Post	TPI1_resid	6	18	-0.736769099360757	0.554122727341818	-1.29089182670258	0.00371663351999258	0.00743326703998515
CD8-free cells only	Post	Glyco_resid	6	18	-0.112349648319163	0.0975276833062042	-0.209877331625367	0.0149168308346085	0.0149168308346085
