timepoint	variable	n_R	n_NR	median_R	median_NR	diff	p	FDR
Post	GlycoScore	8	20	-0.17520169537905	0.0733196106184106	-0.24852130599746	0.00168784516610604	0.0151906064949543
Post	SMC2	8	20	0.154055419055419	0.655295652173913	-0.501240233118494	0.0046890307759873	0.0169569560873909
Post	TPI1	8	20	4.44597933070866	6.86208123569794	-2.41610190498928	0.00565231869579696	0.0169569560873909
Post	HLA-C	8	20	10.4743584493585	10.7715177865613	-0.297159337202809	0.0213075169596909	0.0479419131593045
Post	KIAA0040	8	20	0.711162162162162	0.94237643020595	-0.231214268043787	0.0704577226316357	0.126823900736944
Post	ExhaustScore	8	20	-0.0691978066759247	0.0913563586486946	-0.160554165324619	0.0886894104285409	0.133034115642811
Post	ProlifScore	8	20	-0.13883239110056	0.00807010652299856	-0.146902497623559	0.11034440599658	0.14187137913846
Post	SPSB2	8	20	0.346156496062992	0.489669783964042	-0.14351328790105	0.16525181742573	0.185908294603947
Post	ZFYVE19	8	20	0.467914277914278	0.544149008020262	-0.0762347301059839	0.671826080521733	0.671826080521733
Pre	TPI1	9	10	5.13488	7.16420125932836	-2.02932125932836	0.0076208621100262	0.0455952716014636
Pre	ProlifScore	9	10	-0.19600386706742	0.0758868512083874	-0.271890718275807	0.010132282578103	0.0455952716014636
Pre	ExhaustScore	9	10	-0.241918794265667	0.0788181122284904	-0.320736906494157	0.0172118902769058	0.0516356708307173
Pre	HLA-C	9	10	9.91845454545455	10.9163139204545	-0.997859375000001	0.112754118946069	0.234601312000693
Pre	ZFYVE19	9	10	0.449024390243902	0.777020460358056	-0.327996070114154	0.156400874667129	0.234601312000693
Pre	GlycoScore	9	10	-0.158779630010936	0.0544614188841877	-0.213241048895123	0.156400874667129	0.234601312000693
Pre	SMC2	9	10	0.398909090909091	0.525792588780237	-0.126883497871146	0.277511961722488	0.356801093643199
Pre	KIAA0040	9	10	0.655545454545455	0.924080459770115	-0.26853500522466	0.356232003290827	0.40076100370218
Pre	SPSB2	9	10	0.37616	0.402719056372549	-0.026559056372549	0.48690309777916	0.48690309777916
